Used 2023 Genesis, GV70 2.5T, $32,960, Excellent Price, 22,544 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $40,460, Excellent Price, 14,110 miles, 
Used 2023 Genesis, GV70 2.5T, $32,960, Excellent Price, 22,544 miles, 
Used 2023 Genesis, G90 3.5T E-Supercharger, $62,896, Excellent Price, 12,087 miles, 
Used 2023 Genesis, Electrified GV70 Advanced, $34,790, Excellent Price, 9,777 miles, 
Used 2023 Genesis, GV70 2.5T, $34,460, Excellent Price, 18,855 miles, 
Used 2023 Genesis, GV70 2.5T, $33,960, Excellent Price, 14,294 miles, 
Used 2023 Genesis, G90 3.5T, $57,998, Excellent Price, 10,300 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $43,595, Excellent Price, 32,059 miles, 
Used 2023 Genesis, G90 3.5T E-Supercharger, $62,500, Excellent Price, 11,949 miles, 
Used 2023 Genesis, GV80 3.5T AWD, $44,897, Excellent Price, 47,672 miles, 
Used 2023 Genesis, GV70 2.5T, $31,960, Great Price, 36,419 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $43,199, Excellent Price, 16,878 miles, 
Used 2023 Genesis, GV70 2.5T, $34,500, Great Price, 68,874 miles, 
Used 2023 Genesis, GV80 3.5T AWD, $49,650, Great Price, 13,044 miles, 
Used 2023 Genesis, G70 2.0T AWD, $26,595, Great Price, 23,957 miles, 
Used 2023 Genesis, G70 3.3T RWD, $35,999, Great Price, 17,956 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $39,999, Great Price, 44,284 miles, 
Used 2023 Genesis, GV60 Performance, $33,460, Great Price, 7,014 miles, 
Used 2023 Genesis, G80 3.5T Sport AWD, $44,992, Great Price, 27,894 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $39,991, Great Price, 64,489 miles, 
Used 2023 Genesis, GV70 2.5T, $40,088, Fair Price, 22,656 miles, 
Used 2023 Genesis, GV60 Performance, $32,960, Fair Price, 10,946 miles, 
Used 2023 Genesis, GV70 2.5T, $34,929, Fair Price, 50,275 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $47,885, Great Price, 24,001 miles, 
Used 2023 Genesis, GV70 2.5T, $32,488, Excellent Price, 27,299 miles, 
Used 2023 Genesis, GV70 2.5T, $38,500, Great Price, 27,778 miles, 
Used 2023 Genesis, GV70 3.5T Sport, $45,800, Excellent Price, 18,672 miles, 
Used 2023 Genesis, GV70 2.5T, $34,160, Fair Price, 18,326 miles, 
Used 2023 Genesis, GV70 2.5T, $39,595, Great Price, 24,859 miles, 
Used 2023 Genesis, GV70 2.5T, $38,000, Fair Price, 32,884 miles, 
Used 2023 Genesis, GV70 2.5T, $39,998, High Price, 19,564 miles, 
Used 2023 Genesis, Electrified GV70 Advanced, $34,460, Fair Price, 2,889 miles, 
Used 2023 Genesis, G70 2.0T RWD, $26,595, Great Price, 40,590 miles, 
Used 2023 Genesis, GV60 Advanced, $29,460, Fair Price, 17,008 miles, 
Used 2023 Genesis, GV70 2.5T, $37,893, High Price, 2,603 miles, 
Used 2023 Genesis, GV60 Advanced, $29,960, High Price, 22,920 miles, 
Used 2023 Genesis, G70 2.0T AWD, $27,320, Fair Price, 31,061 miles, 
Used 2023 Genesis, GV80 3.5T AWD, $43,960, High Price, 14,985 miles, 
Used 2023 Genesis, G70 2.0T AWD, $28,895, High Price, 35,852 miles, 
Used 2023 Genesis, GV70 2.5T, $37,474, Fair Price, 31,029 miles, 
Used 2023 Genesis, GV60 Advanced, $30,460, High Price, 11,487 miles, 
Used 2023 Genesis, G70 3.3T RWD, $31,999, High Price, 67,864 miles, 
Used 2023 Genesis, Electrified GV70 Advanced, $33,960, High Price, 8,962 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $52,388, High Price, 21,978 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $44,650, High Price, 35,152 miles, 
Used 2023 Genesis, G70 2.0T AWD, $28,500, Fair Price, 12,550 miles, 
Used 2023 Genesis, G80 2.5T AWD, $41,990, High Price, 10,515 miles, 
Used 2023 Genesis, G70 2.0T AWD, $31,300, High Price, 27,933 miles, 
Used 2023 Genesis, G70 3.3T AWD, $32,718, Fair Price, 70,284 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $39,412, High Price, 47,088 miles, 
Used 2023 Genesis, GV80 2.5T AWD, $43,682, High Price, 42,363 miles, 
Used 2023 Genesis, G70 3.3T RWD, $38,592, High Price, 15,785 miles, 
