Used 2022 Lincoln, Nautilus Reserve AWD, $29,895, Excellent Price, 59,955 miles, 
Used 2022 Lincoln, Navigator Black Label 4WD, $60,811, Excellent Price, 33,046 miles, 
Used 2022 Lincoln, Nautilus Reserve AWD, $35,200, Great Price, 34,660 miles, 
Used 2022 Lincoln, Aviator Reserve AWD, $38,888, Great Price, 49,956 miles, 
Used 2022 Lincoln, Nautilus Reserve AWD, $39,423, Fair Price, 19,303 miles, 
Used 2022 Lincoln, Corsair Grand Touring AWD, $32,900, Excellent Price, 25,125 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $31,900, Great Price, 14,939 miles, 
Used 2022 Lincoln, Nautilus Reserve AWD, $35,000, Great Price, 36,523 miles, 
Used 2022 Lincoln, Aviator Standard AWD, $28,500, Excellent Price, 70,277 miles, 
Used 2022 Lincoln, Corsair Reserve AWD, $31,500, Great Price, 39,322 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $29,900, Great Price, 26,813 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $27,996, Excellent Price, 27,664 miles, 
Used 2022 Lincoln, Aviator Standard AWD, $34,500, Great Price, 65,168 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $31,500, Great Price, 14,036 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $31,000, Great Price, 27,696 miles, 
Used 2022 Lincoln, Corsair Reserve AWD, $31,000, Great Price, 35,584 miles, 
Used 2022 Lincoln, Corsair Reserve AWD, $26,997, Great Price, 64,540 miles, 
Used 2022 Lincoln, Nautilus Reserve AWD, $34,733, Fair Price, 44,757 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $29,500, Fair Price, 38,691 miles, 
Used 2022 Lincoln, Aviator Reserve AWD, $39,500, Great Price, 48,505 miles, 
Used 2022 Lincoln, Nautilus Reserve AWD, $33,900, Fair Price, 63,932 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $29,900, Fair Price, 35,226 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $31,900, Fair Price, 21,725 miles, 
Used 2022 Lincoln, Navigator L Reserve 4WD, $65,998, High Price, 25,321 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $26,999, Excellent Price, 31,333 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $28,500, Fair Price, 47,517 miles, 
Used 2022 Lincoln, Corsair Reserve AWD, $33,500, Great Price, 28,277 miles, 
Used 2022 Lincoln, Aviator Grand Touring AWD, $42,995, Excellent Price, 38,843 miles, 
Used 2022 Lincoln, Aviator Grand Touring AWD, $45,650, Fair Price, 40,869 miles, 
Used 2022 Lincoln, Corsair Standard AWD, $26,722, High Price, 65,609 miles, 
Used 2022 Lincoln, Aviator Standard AWD, $39,989, High Price, 44,171 miles, 
