Used 2018 Mazda, CX-9 Touring AWD, $16,251, Excellent Price, 80,009 miles, 
Used 2018 Mazda, MX-5 Miata RF Grand Touring Automatic, $23,987, Great Price, 28,496 miles, 
Used 2018 Mazda, Mazda6 Signature Automatic, $22,319, Great Price, 34,754 miles, 
Used 2018 Mazda, Mazda6 Grand Touring Automatic, $16,947, Great Price, 82,095 miles, 
Used 2018 Mazda, CX-5 Grand Touring AWD, $15,777, Great Price, 105,548 miles, 
Used 2018 Mazda, Mazda3 Sport 4-Door Manual, $11,733, Excellent Price, 68,788 miles, 
Used 2018 Mazda, CX-9 Touring AWD, $16,251, Excellent Price, 80,009 miles, 
Used 2018 Mazda, Mazda3 Touring 5-Door Automatic, $19,998, High Price, 47,106 miles, 
Used 2018 Mazda, CX-5 Touring AWD, $14,999, Excellent Price, 99,214 miles, 
Used 2018 Mazda, CX-5 Sport AWD, $15,555, Great Price, 92,955 miles, 
Used 2018 Mazda, CX-3 Grand Touring AWD, $12,999, Fair Price, 125,463 miles, 
Used 2018 Mazda, CX-5 Grand Touring AWD, $19,995, Fair Price, 65,160 miles, 
Used 2018 Mazda, CX-5 Grand Touring AWD, $14,499, High Price, 130,667 miles, 
Used 2018 Mazda, CX-5 Sport FWD, $13,999, Excellent Price, 89,781 miles, 
Used 2018 Mazda, Mazda6 Signature Automatic, $18,999, Great Price, 85,609 miles, 
Used 2018 Mazda, CX-5 Sport AWD, $15,392, Great Price, 95,205 miles, 
Used 2018 Mazda, CX-5 Touring AWD, $16,803, Great Price, 94,849 miles, 
Used 2018 Mazda, Mazda6 Signature Automatic, $22,995, Fair Price, 42,306 miles, 
Used 2018 Mazda, Mazda3 Sport 5-Door Automatic, $11,995, High Price, 122,982 miles, 
Used 2018 Mazda, Mazda3 Touring 5-Door Automatic, $15,995, High Price, 68,203 miles, 
Used 2018 Mazda, CX-3 Sport AWD, $16,998, Fair Price, 54,455 miles, 
Used 2018 Mazda, CX-5 Touring AWD, $14,998, Excellent Price, 106,521 miles, 
Used 2018 Mazda, CX-5 Grand Touring AWD, $17,995, Fair Price, 79,999 miles, 
