Used 2020 Acura, MDX SH-AWD with Advance Package, $29,499, Excellent Price, 73,555 miles, 
Used 2020 Acura, RDX FWD with Advance Package, $20,200, Excellent Price, 106,018 miles, 
Used 2020 Acura, MDX SH-AWD with A-Spec/Technology Package, $23,235, Great Price, 119,867 miles, 
Used 2020 Acura, RDX Standard FWD, $25,998, Fair Price, 45,330 miles, 
Used 2020 Acura, RDX FWD with Technology Package, $26,299, Fair Price, 51,712 miles, 
Used 2020 Acura, TLX Standard 3.5L FWD, $24,998, Fair Price, 40,486 miles, 
Used 2020 Acura, MDX FWD with Advance Package, $23,999, Excellent Price, 106,240 miles, 
Used 2020 Acura, RDX SH-AWD with Technology Package, $22,499, High Price, 73,123 miles, 
Used 2020 Acura, RDX FWD with Technology Package, $29,491, High Price, 68,508 miles, 
Used 2020 Acura, MDX Standard SH-AWD, $19,950, High Price, 140,480 miles, 
Used 2020 Acura, MDX SH-AWD with Technology Package, $24,758, Fair Price, 99,699 miles, 
Used 2020 Acura, TLX Standard 2.4L FWD, $24,998, High Price, 31,148 miles, 
Used 2020 Acura, RDX Standard FWD, $23,998, Fair Price, 75,179 miles, 
Used 2020 Acura, MDX FWD with Advance Package, $31,495, Excellent Price, 57,308 miles, 
Used 2020 Acura, MDX FWD with Technology Package, $26,303, Fair Price, 79,475 miles, 
Used 2020 Acura, TLX 2.4L FWD with A-Spec Package, $20,499, High Price, 54,942 miles, 
Used 2020 Acura, RDX Standard FWD, $25,555, High Price, 71,530 miles, 
Used 2020 Acura, RDX FWD with Advance Package, $26,555, Excellent Price, 56,739 miles, 
Used 2020 Acura, MDX SH-AWD with Technology Package, $25,900, Fair Price, 85,436 miles, 
Used 2020 Acura, MDX Standard FWD, $21,888, High Price, 117,743 miles, 
Used 2020 Acura, RDX Standard FWD, $26,998, High Price, 63,176 miles, 
