Year/Make, Model, Price, Rating, Mileage
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 2WD, 16485, Excellent Price, 117966, 
Used 2019 Ford, Super Duty F-250 XL 4WD Crew Cab 6.75' Box, 23617, Excellent Price, 163525, 
Used 2019 Ford, Edge Titanium AWD, 12999, Excellent Price, 79245, 
Used 2019 Ford, Edge Titanium FWD, 14999, Excellent Price, 43260, 
Used 2019 Ford, Edge Titanium FWD, 13897, Excellent Price, 96822, 
Used 2019 Ford, F-150 XL SuperCab 6.5' Box 4WD, 18999, Excellent Price, 87027, 
Used 2019 Ford, Super Duty F-250 Platinum 4WD Crew Cab 6.75' Box, 44969, Excellent Price, 73199, 
Used 2019 Ford, Fusion SEL FWD, 11636, Excellent Price, 87555, 
Used 2019 Ford, Fiesta SE Sedan, 11299, Excellent Price, 52002, 
Used 2019 Ford, Escape SE FWD, 9110, Excellent Price, 118347, 
Used 2019 Ford, Fiesta SE Hatchback, 6500, Excellent Price, 131941, 
Used 2019 Ford, F-150 King Ranch SuperCrew 5.5' Box 2WD, 29499, Excellent Price, 85775, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 2WD, 15999, Excellent Price, 156025, 
Used 2019 Ford, F-150 XLT SuperCab 6.5' Box 4WD, 28998, Great Price, 56895, 
Used 2019 Ford, Ranger XL SuperCrew 5' Box 4WD, 22000, Excellent Price, 46766, 
Used 2019 Ford, Fusion Titanium FWD, 18998, Great Price, 68926, 
Used 2019 Ford, Fusion SE FWD, 16998, Great Price, 55460, 
Used 2019 Ford, F-150 XL SuperCab 6.5' Box 2WD, 19419, Great Price, 110880, 
Used 2019 Ford, Mustang EcoBoost Fastback, 16371, Excellent Price, 103639, 
Used 2019 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 28920, Excellent Price, 118997, 
Used 2019 Ford, Transit Cargo Van T-250 with Sliding RH Door 148" EL High Roof 9000 GVWR, 16280, Excellent Price, 152778, 
Used 2019 Ford, Ranger XL SuperCab 6' Box 4WD, 25998, Excellent Price, 23705, 
Used 2019 Ford, F-150 King Ranch SuperCrew 5.5' Box 4WD, 26000, Excellent Price, 128115, 
Used 2019 Ford, Transit Cargo Van T-250 with Sliding RH Door 148" EL High Roof 9000 GVWR, 19993, Excellent Price, 109174, 
Used 2019 Ford, Mustang EcoBoost Premium Convertible, 17582, Excellent Price, 71155, 
Used 2019 Ford, Escape Titanium FWD, 12999, Excellent Price, 98322, 
Used 2019 Ford, Mustang EcoBoost Premium Convertible, 20998, Great Price, 73630, 
Used 2019 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, 37998, Great Price, 50684, 
Used 2019 Ford, Mustang EcoBoost Premium Convertible, 22998, Great Price, 48666, 
Used 2019 Ford, Transit Cargo Van T-250 with Sliding RH Door 148" EL High Roof 9000 GVWR, 18493, Excellent Price, 127723, 
Used 2019 Ford, Explorer Base FWD, 17999, Excellent Price, 60380, 
Used 2019 Ford, Transit Cargo Van T-150 with Sliding RH Door 148" Medium Roof 8600 GVWR, 17999, Excellent Price, 113103, 
Used 2019 Ford, F-150 Raptor SuperCrew 5.5' Box 4WD, 43500, Excellent Price, 75517, 
Used 2019 Ford, Edge Titanium AWD, 21998, Great Price, 48098, 
Used 2019 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, 26770, Great Price, 103502, 
Used 2019 Ford, Ranger XLT SuperCrew 5' Box 4WD, 24900, Excellent Price, 43506, 
Used 2019 Ford, Escape Titanium FWD, 19998, Fair Price, 44964, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 30920, Excellent Price, 45791, 
Used 2019 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, 27473, Excellent Price, 100253, 
Used 2019 Ford, Super Duty F-350 XL 2WD Crew Cab 8' Box DRW, 40000, Great Price, 60791, 
Used 2019 Ford, F-150 Lariat SuperCrew 6.5' Box 4WD, 23999, Excellent Price, 137130, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 27500, Great Price, 82739, 
Used 2019 Ford, Ranger XLT SuperCab 6' Box 2WD, 19499, Excellent Price, 80474, 
Used 2019 Ford, Super Duty F-250 Lariat 4WD Crew Cab 6.75' Box, 42445, Great Price, 77873, 
Used 2019 Ford, Super Duty F-250 Platinum 4WD Crew Cab 6.75' Box, 51998, Excellent Price, 129359, 
Used 2019 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, 33577, Excellent Price, 77463, 
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 2WD, 16485, Excellent Price, 117966, 
Used 2019 Ford, Transit Cargo Van T-250 with Swing-Out RH Door 130" Low Roof 9000 GVWR, 16785, Great Price, 126458, 
Used 2019 Ford, F-150 XL SuperCab 8.0' Box 4WD, 21750, Excellent Price, 91920, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 2WD, 24995, Great Price, 87618, 
Used 2019 Ford, Ranger XL SuperCrew 5' Box 2WD, 23920, Great Price, 35659, 
Used 2019 Ford, Transit Passenger Wagon T-350 XL with Sliding RH Door 148" Medium Roof, 32991, Great Price, 61018, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 2WD, 12999, Excellent Price, 171971, 
Used 2019 Ford, Edge Titanium AWD, 21998, Excellent Price, 35699, 
Used 2019 Ford, Ranger XLT SuperCrew 5' Box 4WD, 25979, Great Price, 69542, 
Used 2019 Ford, Flex Limited FWD, 20395, Great Price, 64723, 
Used 2019 Ford, Super Duty F-250 Lariat 4WD Crew Cab 6.75' Box, 48420, Great Price, 96802, 
Used 2019 Ford, Ranger XL SuperCrew 5' Box 4WD, 24345, Great Price, 73216, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 2WD, 14999, Excellent Price, 165563, 
Used 2019 Ford, Fusion S FWD, 13000, Fair Price, 84607, 
Used 2019 Ford, Ranger XLT SuperCrew 5' Box 2WD, 21999, Great Price, 72126, 
Used 2019 Ford, Edge SEL AWD, 15200, Great Price, 82656, 
Used 2019 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 37898, Great Price, 66672, 
Used 2019 Ford, Fusion SEL FWD, 18998, Great Price, 35075, 
Used 2019 Ford, Edge Titanium FWD, 17790, Fair Price, 68296, 
Used 2019 Ford, EcoSport SES 4WD, 15998, Excellent Price, 51366, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 21695, Excellent Price, 114365, 
Used 2019 Ford, Escape SE FWD, 16998, Fair Price, 53342, 
Used 2019 Ford, F-150 XLT SuperCab 6.5' Box 4WD, 19995, Excellent Price, 129856, 
Used 2019 Ford, F-150 XL SuperCab 6.5' Box 2WD, 16999, Excellent Price, 77971, 
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 26999, Excellent Price, 13477, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 29995, Great Price, 62338, 
Used 2019 Ford, Transit Connect Van XL with Rear Symmetrical Doors LWB, 14999, Excellent Price, 71374, 
Used 2019 Ford, Expedition Platinum 4WD, 44998, Great Price, 39119, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 30394, Fair Price, 69865, 
Used 2019 Ford, Escape SEL AWD, 8888, Excellent Price, 93924, 
Used 2019 Ford, Ranger XLT SuperCab 6' Box 4WD, 27522, Great Price, 32174, 
Used 2019 Ford, Transit Cargo Van T-150 with Sliding RH Door 148" Medium Roof 8600 GVWR, 16500, Excellent Price, 123481, 
