Year/Make, Model, Price, Rating, Mileage
Used 2023 Lexus, ES 300h F SPORT Handling FWD, 39523, Excellent Price, 19471, 
Used 2023 Lexus, NX 350 Premium AWD, 37464, Excellent Price, 40969, 
Used 2023 Lexus, IS 300 RWD, 34998, Excellent Price, 29493, 
Used 2023 Lexus, GX 460 Premium, 51998, Great Price, 43635, 
Used 2023 Lexus, ES 300h F SPORT Handling FWD, 39523, Excellent Price, 19471, 
Used 2023 Lexus, LX 600 Ultra Luxury, 109999, Excellent Price, 18006, 
Used 2023 Lexus, ES 350 F SPORT Handling FWD, 39970, Excellent Price, 20003, 
Used 2023 Lexus, RX 500h F SPORT Performance AWD, 47500, Excellent Price, 12759, 
Used 2023 Lexus, RX 350 Premium Plus AWD, 42920, Great Price, 86954, 
Used 2023 Lexus, ES 350 F SPORT Handling FWD, 38399, Excellent Price, 35900, 
Used 2023 Lexus, RX 350 Premium Plus FWD, 49490, Great Price, 22873, 
Used 2023 Lexus, IS 350 F SPORT RWD, 40000, Great Price, 10867, 
Used 2023 Lexus, RX 350 Luxury FWD, 51444, Excellent Price, 1205, 
Used 2023 Lexus, RX 350 F SPORT Handling AWD, 45950, Excellent Price, 46315, 
Used 2023 Lexus, RX 350 F SPORT Handling AWD, 49990, Excellent Price, 41702, 
Used 2023 Lexus, RX 350 Premium Plus AWD, 51999, Great Price, 21448, 
Used 2023 Lexus, RX 350 Premium Plus FWD, 46490, Great Price, 51733, 
Used 2023 Lexus, ES 300h Luxury FWD, 39990, Excellent Price, 28478, 
Used 2023 Lexus, IS 300 RWD, 32895, Great Price, 46371, 
Used 2023 Lexus, RX 350 Premium Plus FWD, 51460, Great Price, 27598, 
Used 2023 Lexus, LX 600 F SPORT, 88999, Excellent Price, 37392, 
Used 2023 Lexus, IS 300 RWD, 39494, Great Price, 15087, 
Used 2023 Lexus, IS 300 RWD, 34497, Great Price, 35128, 
Used 2023 Lexus, RX 350 Luxury FWD, 53490, Great Price, 33091, 
Used 2023 Lexus, GX 460 Premium, 53500, Great Price, 44958, 
Used 2023 Lexus, RX 350 F SPORT Handling AWD, 54490, Great Price, 18029, 
Used 2023 Lexus, RX 350 Premium FWD, 47998, Fair Price, 14514, 
Used 2023 Lexus, GX 460 Luxury, 59017, Excellent Price, 58095, 
Used 2023 Lexus, RX 350 Luxury FWD, 51850, Great Price, 23363, 
Used 2023 Lexus, RX 350h Luxury AWD, 54990, Great Price, 38410, 
Used 2023 Lexus, RX 350 Premium FWD, 49990, Great Price, 19578, 
Used 2023 Lexus, RX 500h F SPORT Performance AWD, 54420, Great Price, 56421, 
Used 2023 Lexus, ES 350 FWD, 38990, Great Price, 23532, 
Used 2023 Lexus, RX 350 Premium FWD, 48048, Fair Price, 19025, 
Used 2023 Lexus, RX 350 F SPORT Handling AWD, 48400, Excellent Price, 29500, 
Used 2023 Lexus, GX 460 Luxury, 57600, Excellent Price, 40872, 
Used 2023 Lexus, NX 350 Premium AWD, 41920, Great Price, 12639, 
Used 2023 Lexus, RX 350 F SPORT Handling AWD, 56990, Great Price, 18638, 
Used 2023 Lexus, ES 350 F SPORT Handling FWD, 43990, Fair Price, 23843, 
Used 2023 Lexus, RX 350 Luxury FWD, 56490, Fair Price, 14227, 
Used 2023 Lexus, RX 350 F SPORT Handling AWD, 49995, Great Price, 45662, 
Used 2023 Lexus, IS 350 F SPORT Design RWD, 38699, Fair Price, 40279, 
Used 2023 Lexus, RX 350h Premium Plus AWD, 53990, Fair Price, 35638, 
Used 2023 Lexus, NX 250 FWD, 34295, Fair Price, 34634, 
Used 2023 Lexus, ES 250 AWD, 37990, Fair Price, 18696, 
Used 2023 Lexus, NX 350 Premium AWD, 37464, Excellent Price, 40969, 
Used 2023 Lexus, GX 460 Premium, 59998, Fair Price, 14944, 
Used 2023 Lexus, IS 350 F SPORT Design RWD, 38995, Great Price, 41450, 
Used 2023 Lexus, LS 500 RWD, 68000, Fair Price, 11576, 
Used 2023 Lexus, RX 350 Luxury AWD, 46000, Fair Price, 14301, 
Used 2023 Lexus, GX 460 Luxury, 61000, Excellent Price, 16745, 
Used 2023 Lexus, IS 350 F SPORT RWD, 44498, Fair Price, 6794, 
Used 2023 Lexus, IS 300 RWD, 37998, Great Price, 4479, 
Used 2023 Lexus, GX 460 Premium, 52999, Great Price, 16137, 
Used 2023 Lexus, RX 350 Premium FWD, 50690, Fair Price, 14411, 
Used 2023 Lexus, RZ 450e Premium with 18" Wheels AWD, 35979, Excellent Price, 8481, 
Used 2023 Lexus, RX 350 Luxury FWD, 55990, Fair Price, 16494, 
Used 2023 Lexus, RX 350 Premium Plus FWD, 53990, Fair Price, 14421, 
Used 2023 Lexus, RX 350 Luxury FWD, 49999, Fair Price, 41343, 
Used 2023 Lexus, GX 460 Premium, 58488, Fair Price, 26183, 
Used 2023 Lexus, RX 350 AWD, 49406, Fair Price, 28320, 
Used 2023 Lexus, GX 460 Premium, 56887, Fair Price, 49442, 
Used 2023 Lexus, LS 500 RWD, 72990, Fair Price, 25611, 
Used 2023 Lexus, RX 350 FWD, 46000, Fair Price, 11449, 
Used 2023 Lexus, RX 350 Premium FWD, 48191, Fair Price, 21571, 
Used 2023 Lexus, RX 350 Premium FWD, 46998, Fair Price, 40151, 
Used 2023 Lexus, NX 350 AWD, 35420, Fair Price, 71235, 
Used 2023 Lexus, GX 460 Premium, 57490, High Price, 43059, 
Used 2023 Lexus, RX 350 Luxury FWD, 47000, Fair Price, 12232, 
Used 2023 Lexus, GX 460 Premium, 61899, High Price, 20017, 
Used 2023 Lexus, RX 350 Premium Plus FWD, 52490, Fair Price, 30607, 
Used 2023 Lexus, ES 350 FWD, 38990, Fair Price, 35565, 
Used 2023 Lexus, RX 350 Luxury FWD, 55990, Fair Price, 33594, 
Used 2023 Lexus, GX 460 Premium, 60770, High Price, 25940, 
Used 2023 Lexus, RX 350 F SPORT Handling AWD, 46000, Great Price, 11527, 
Used 2023 Lexus, GX 460 Premium, 62899, High Price, 19242, 
Used 2023 Lexus, IS 350 F SPORT RWD, 45998, High Price, 9028, 
Used 2023 Lexus, IS 350 F SPORT RWD, 44990, Fair Price, 21883, 
Used 2023 Lexus, GX 460 Premium, 63290, High Price, 15847, 
Used 2023 Lexus, ES 350 FWD, 38990, Great Price, 8908, 
Used 2023 Lexus, RZ 450e Luxury AWD, 37990, Excellent Price, 15654, 
Used 2023 Lexus, RX 500h F SPORT Performance AWD, 62990, Fair Price, 18194, 
Used 2023 Lexus, NX 250 FWD, 37998, High Price, 11863, 
Used 2023 Lexus, GX 460 Premium, 57990, High Price, 44129, 
Used 2023 Lexus, IS 350 F SPORT RWD, 42988, Fair Price, 31120, 
Used 2023 Lexus, IS 350 F SPORT RWD, 43013, Fair Price, 18342, 
Used 2023 Lexus, RX 350h Luxury AWD, 54996, Fair Price, 46004, 
Used 2023 Lexus, RX 500h F SPORT Performance AWD, 52000, Fair Price, 18463, 
Used 2023 Lexus, RX 350 FWD, 47785, Fair Price, 28870, 
Used 2023 Lexus, GX 460 Premium, 64990, High Price, 14698, 
Used 2023 Lexus, GX 460 Premium, 61690, High Price, 36468, 
Used 2023 Lexus, IS 350 F SPORT RWD, 42900, High Price, 17352, 
Used 2023 Lexus, IS 350 F SPORT RWD, 42900, High Price, 18199, 
Used 2023 Lexus, GX 460 Premium, 62415, High Price, 13188, 
Used 2023 Lexus, GX 460 Premium, 62435, High Price, 19717, 
Used 2023 Lexus, NX 350 Luxury AWD, 43920, High Price, 32703, 
Used 2023 Lexus, RX 350 Luxury FWD, 55990, Fair Price, 20121, 
Used 2023 Lexus, IS 300 RWD, 35495, Great Price, 22977, 
Used 2023 Lexus, RX 350 Premium FWD, 49998, Fair Price, 23710, 
Used 2023 Lexus, GX 460 Premium, 62674, High Price, 17424, 
Used 2023 Lexus, RX 350 Premium Plus AWD, 45750, High Price, 36121, 
Used 2023 Lexus, GX 460 Premium, 52387, Fair Price, 47662, 
Used 2023 Lexus, ES 350 FWD, 31990, Excellent Price, 39606, 
