Used 2019 Lincoln, Navigator L Reserve 4WD, $31,451, Excellent Price, 108,779 miles, 
Used 2019 Lincoln, MKC Reserve AWD, $20,998, Excellent Price, 53,876 miles, 
Used 2019 Lincoln, MKC Reserve FWD, $21,998, Excellent Price, 41,132 miles, 
Used 2019 Lincoln, MKZ Reserve II AWD, $16,999, Excellent Price, 90,792 miles, 
Used 2019 Lincoln, Nautilus Reserve AWD, $16,500, Excellent Price, 105,121 miles, 
Used 2019 Lincoln, Nautilus Reserve FWD, $14,499, Excellent Price, 122,023 miles, 
Used 2019 Lincoln, Navigator Black Label 4WD, $32,895, Great Price, 106,925 miles, 
Used 2019 Lincoln, Navigator Reserve 4WD, $36,988, Great Price, 69,951 miles, 
Used 2019 Lincoln, MKC Standard FWD, $20,998, Great Price, 34,236 miles, 
Used 2019 Lincoln, Navigator L Select 2WD, $38,497, Great Price, 63,739 miles, 
Used 2019 Lincoln, Navigator Reserve 4WD, $38,999, Fair Price, 62,783 miles, 
Used 2019 Lincoln, Navigator Select 2WD, $28,995, Fair Price, 97,067 miles, 
Used 2019 Lincoln, Nautilus Reserve FWD, $15,988, Great Price, 113,724 miles, 
Used 2019 Lincoln, Navigator L Reserve 4WD, $31,451, Excellent Price, 108,779 miles, 
Used 2019 Lincoln, Nautilus Reserve AWD, $24,985, Fair Price, 58,237 miles, 
Used 2019 Lincoln, Nautilus Select FWD, $23,998, High Price, 58,799 miles, 
Used 2019 Lincoln, MKC Standard FWD, $15,799, Fair Price, 75,607 miles, 
Used 2019 Lincoln, Nautilus Reserve FWD, $22,998, High Price, 86,992 miles, 
Used 2019 Lincoln, Nautilus Reserve AWD, $24,998, High Price, 72,108 miles, 
Used 2019 Lincoln, Nautilus Reserve FWD, $20,995, Fair Price, 71,468 miles, 
Used 2019 Lincoln, MKC Reserve FWD, $21,520, Fair Price, 41,983 miles, 
Used 2019 Lincoln, Navigator L Reserve 4WD, $39,999, Fair Price, 65,144 miles, 
Used 2019 Lincoln, Navigator Reserve 4WD, $55,998, High Price, 18,023 miles, 
Used 2019 Lincoln, Nautilus Reserve FWD, $22,498, High Price, 70,974 miles, 
Used 2019 Lincoln, Nautilus Select FWD, $18,999, High Price, 97,748 miles, 
Used 2019 Lincoln, Navigator Black Label 4WD, $42,500, High Price, 75,118 miles, 
Used 2019 Lincoln, Nautilus Reserve AWD, $20,085, Fair Price, 86,944 miles, 
Used 2019 Lincoln, MKC Black Label AWD, $21,850, Fair Price, 73,015 miles, 
Used 2019 Lincoln, MKZ Hybrid Reserve I FWD, $16,477, High Price, 134,155 miles, 
