Year/Make, Model, Price, Rating, Mileage
Used 2022 Mazda, CX-30 Turbo Premium Plus, 22397, Excellent Price, 23090, 
Used 2022 Mazda, CX-30 Premium, 21994, Excellent Price, 37940, 
Used 2022 Mazda, CX-30 Premium, 21994, Excellent Price, 37940, 
Used 2022 Mazda, CX-30 Select, 16800, Excellent Price, 88605, 
Used 2022 Mazda, CX-9 Touring Plus AWD, 30998, Great Price, 13794, 
Used 2022 Mazda, CX-30 Turbo Premium Plus, 22397, Excellent Price, 23090, 
Used 2022 Mazda, CX-30 Premium, 24420, Excellent Price, 24833, 
Used 2022 Mazda, CX-9 Touring Plus AWD, 28998, Fair Price, 40187, 
Used 2022 Mazda, CX-9 Signature AWD, 31000, Great Price, 32735, 
Used 2022 Mazda, MX-5 Miata RF Grand Touring Automatic, 28998, Great Price, 13798, 
Used 2022 Mazda, CX-30 Turbo, 21703, Great Price, 47837, 
Used 2022 Mazda, CX-5 2.5 S Premium, 24888, Excellent Price, 33766, 
Used 2022 Mazda, CX-5 2.5 S Premium, 24991, Excellent Price, 24378, 
Used 2022 Mazda, CX-9 Touring Plus AWD, 26990, Great Price, 39721, 
Used 2022 Mazda, CX-30 Premium, 25000, Excellent Price, 17162, 
Used 2022 Mazda, CX-30 Turbo Premium Plus, 25275, Great Price, 27613, 
Used 2022 Mazda, CX-5 2.5 S Carbon Edition, 27000, Fair Price, 17219, 
Used 2022 Mazda, CX-5 2.5 Turbo, 26759, Excellent Price, 47915, 
Used 2022 Mazda, CX-5 2.5 S Carbon Edition, 23998, Great Price, 46511, 
Used 2022 Mazda, CX-9 Touring AWD, 26639, Great Price, 41048, 
Used 2022 Mazda, CX-5 2.5 S Preferred, 23498, Great Price, 38427, 
Used 2022 Mazda, CX-30 Carbon Edition, 23500, Great Price, 18499, 
Used 2022 Mazda, Mazda3 2.5 Turbo Premium Plus Hatchback Automatic AWD, 24888, Great Price, 32241, 
Used 2022 Mazda, CX-30 Preferred, 24998, High Price, 15076, 
Used 2022 Mazda, CX-5 2.5 S Premium Plus, 24900, Excellent Price, 54714, 
Used 2022 Mazda, CX-9 Carbon Edition AWD, 30000, Great Price, 33423, 
Used 2022 Mazda, CX-9 Carbon Edition AWD, 30411, Fair Price, 28694, 
Used 2022 Mazda, MX-5 Miata RF Grand Touring Automatic, 28588, Great Price, 12921, 
Used 2022 Mazda, CX-5 2.5 S Carbon Edition, 27378, Fair Price, 28969, 
Used 2022 Mazda, CX-5 2.5 S Premium, 24000, Fair Price, 63692, 
Used 2022 Mazda, CX-30 Select, 22998, High Price, 29508, 
Used 2022 Mazda, CX-5 2.5 S Preferred, 23420, High Price, 46635, 
Used 2022 Mazda, CX-30 Preferred, 24998, High Price, 15076, 
Used 2022 Mazda, CX-9 Signature AWD, 30524, Great Price, 28310, 
Used 2022 Mazda, CX-5 2.5 S Select, 24000, Fair Price, 23941, 
Used 2022 Mazda, CX-5 2.5 S Preferred, 23420, High Price, 46635, 
Used 2022 Mazda, CX-5 2.5 S Select, 24253, Fair Price, 27630, 
Used 2022 Mazda, CX-9 Grand Touring AWD, 29000, Fair Price, 57951, 
Used 2022 Mazda, CX-9 Sport AWD, 24888, Great Price, 26226, 
Used 2022 Mazda, CX-30 Select, 22998, High Price, 29508, 
Used 2022 Mazda, CX-5 2.5 S Premium Plus, 27497, Fair Price, 35989, 
Used 2022 Mazda, Mazda3 Premium Hatchback Automatic FWD, 23760, Great Price, 9583, 
Used 2022 Mazda, CX-30 Select, 20777, Fair Price, 37711, 
Used 2022 Mazda, CX-9 Touring AWD, 26458, Fair Price, 32438, 
Used 2022 Mazda, CX-5 2.5 S Preferred, 24849, High Price, 47841, 
Used 2022 Mazda, CX-9 Touring Plus AWD, 25998, Great Price, 52589, 
Used 2022 Mazda, CX-5 2.5 S Preferred, 26491, High Price, 24871, 
Used 2022 Mazda, MX-5 Miata Sport Manual, 22358, Fair Price, 37198, 
Used 2022 Mazda, CX-30 Select, 22988, High Price, 18743, 
Used 2022 Mazda, CX-5 2.5 S Carbon Edition, 24514, High Price, 77374, 
Used 2022 Mazda, CX-30 Carbon Edition, 21991, Great Price, 52482, 
Used 2022 Mazda, CX-5 2.5 S Premium Plus, 27998, Fair Price, 21071, 
Used 2022 Mazda, CX-5 2.5 S Carbon Edition, 27989, High Price, 36983, 
Used 2022 Mazda, CX-5 2.5 S, 24899, High Price, 21762, 
Used 2022 Mazda, CX-5 2.5 S Select, 21950, High Price, 76587, 
Used 2022 Mazda, CX-30 Turbo Premium, 24956, Fair Price, 34964, 
Used 2022 Mazda, CX-5 2.5 S Select, 23868, Fair Price, 30700, 
Used 2022 Mazda, CX-5 2.5 S Select, 23155, Fair Price, 42014, 
Used 2022 Mazda, CX-5 2.5 S Preferred, 28495, High Price, 18393, 
Used 2022 Mazda, CX-5 2.5 S Select, 23494, High Price, 36023, 
Used 2022 Mazda, CX-9 Carbon Edition AWD, 29349, Fair Price, 34684, 
Used 2022 Mazda, CX-9 Touring Plus AWD, 23798, High Price, 66981, 
Used 2022 Mazda, CX-9 Touring Plus AWD, 32230, High Price, 22136, 
Used 2022 Mazda, Mazda3 Preferred Hatchback Automatic FWD, 17728, High Price, 120123, 
