Year/Make, Model, Price, Rating, Mileage
Used 2024 Volvo, C40 Recharge Core RWD, 33969, Excellent Price, 2669, 
Used 2024 Volvo, XC90 Plus Bright Theme 7-Passenger, 46398, Excellent Price, 22652, 
Used 2024 Volvo, XC90 Plus Bright Theme 7-Passenger, 45499, Excellent Price, 27926, 
Used 2024 Volvo, XC40 Recharge Ultimate Twin Motor eAWD, 40294, Excellent Price, 17655, 
Used 2024 Volvo, XC90 Plus Bright Theme 7-Passenger, 46398, Great Price, 33753, 
Used 2024 Volvo, S60 Core Dark Theme AWD, 25988, Excellent Price, 35485, 
Used 2024 Volvo, V60 Cross Country Ultimate, 43899, Excellent Price, 12963, 
Used 2024 Volvo, XC40 Core Bright Theme, 28895, Great Price, 24410, 
Used 2024 Volvo, S60 Plus Dark Theme FWD, 28898, Great Price, 30859, 
Used 2024 Volvo, XC90 Recharge Plus Bright Theme 7-Passenger, 56073, Great Price, 11331, 
Used 2024 Volvo, XC90 Recharge Plus Bright Theme 7-Passenger, 54895, Great Price, 18877, 
Used 2024 Volvo, S60 Core Dark Theme FWD, 25987, Excellent Price, 21981, 
Used 2024 Volvo, XC90 Recharge Plus Bright Theme 7-Passenger, 54522, Great Price, 27724, 
Used 2024 Volvo, S60 Core Dark Theme FWD, 25987, Excellent Price, 20183, 
Used 2024 Volvo, S60 Plus Black Edition FWD, 28985, Excellent Price, 36122, 
Used 2024 Volvo, XC90 Plus Bright Theme 7-Passenger, 43900, Great Price, 21770, 
Used 2024 Volvo, XC90 Recharge Plus 6-Passenger, 54998, Great Price, 22359, 
Used 2024 Volvo, S60 Core Dark Theme FWD, 25987, Great Price, 22748, 
Used 2024 Volvo, V60 Cross Country Ultimate, 44353, Excellent Price, 9672, 
Used 2024 Volvo, XC90 Plus Bright Theme 7-Passenger, 45895, Great Price, 25688, 
Used 2024 Volvo, XC90 Recharge Plus 6-Passenger, 52960, Excellent Price, 22064, 
Used 2024 Volvo, XC90 Core Bright Theme 7-Passenger, 44778, Excellent Price, 22567, 
Used 2024 Volvo, XC90 Ultimate Bright Theme 7-Passenger, 53398, Great Price, 17626, 
Used 2024 Volvo, S60 Plus Dark Theme AWD, 32892, Great Price, 17715, 
Used 2024 Volvo, XC90 Core Bright Theme 7-Passenger, 44872, Great Price, 10845, 
Used 2024 Volvo, XC90 Recharge Plus Bright Theme 7-Passenger, 55942, Great Price, 12110, 
Used 2024 Volvo, S60 Plus Dark Theme FWD, 27995, Fair Price, 19527, 
Used 2024 Volvo, C40 Recharge Twin Plus AWD, 33997, Excellent Price, 8713, 
Used 2024 Volvo, XC90 Recharge Ultimate Bright Theme 7-Passenger, 60519, Great Price, 21939, 
Used 2024 Volvo, XC90 Recharge Plus Bright Theme 7-Passenger, 54992, Great Price, 24319, 
Used 2024 Volvo, XC90 Recharge Plus 6-Passenger, 52960, Excellent Price, 22064, 
Used 2024 Volvo, XC90 Core Bright Theme 7-Passenger, 44778, Excellent Price, 22567, 
