Year/Make, Model, Price, Rating, Mileage
Used 2019 Cadillac, Escalade Premium Luxury 4WD, 25995, Excellent Price, 139115
Used 2019 Cadillac, XT5 Luxury AWD, 21450, Great Price, 74667
Used 2019 Cadillac, XT5 Luxury AWD, 22990, Fair Price, 56165
Used 2019 Cadillac, Escalade ESV Luxury 4WD, 30495, Great Price, 95591
Used 2019 Cadillac, CT6 Premium Luxury 3.6 AWD, 37888, High Price, 56678
Used 2019 Cadillac, XT5 Luxury AWD, 14598, Excellent Price, 116083
Used 2019 Cadillac, XT4 Luxury AWD, 19998, Great Price, 81696
Used 2019 Cadillac, XT4 Luxury FWD, 20499, High Price, 41016
Used 2019 Cadillac, XT4 Sport AWD, 26994, Fair Price, 32776
Used 2019 Cadillac, XT5 Luxury AWD, 24748, Great Price, 48015
