Used 2022 Genesis, G90 3.3T Premium AWD, $38,798, Excellent Price, 46,991 miles, 
Used 2022 Genesis, GV70 3.5T Sport, $32,678, Excellent Price, 71,129 miles, 
Used 2022 Genesis, G70 2.0T AWD, $28,478, Excellent Price, 25,347 miles, 
Used 2022 Genesis, G70 2.0T AWD, $30,998, Excellent Price, 4,763 miles, 
Used 2022 Genesis, G70 2.0T AWD, $30,978, Excellent Price, 9,695 miles, 
Used 2022 Genesis, G70 2.0T AWD, $31,478, Great Price, 20,776 miles, 
Used 2022 Genesis, G90 3.3T Premium AWD, $38,798, Excellent Price, 46,991 miles, 
Used 2022 Genesis, G70 2.0T AWD, $26,999, Excellent Price, 38,935 miles, 
Used 2022 Genesis, G70 3.3T AWD, $36,978, Great Price, 27,008 miles, 
Used 2022 Genesis, G70 2.0T AWD, $26,999, Excellent Price, 47,160 miles, 
Used 2022 Genesis, GV70 3.5T Sport, $32,678, Excellent Price, 71,129 miles, 
Used 2022 Genesis, G80 2.5T AWD, $29,887, Excellent Price, 75,833 miles, 
Used 2022 Genesis, G90 5.0L Ultimate AWD, $53,998, Fair Price, 21,061 miles, 
Used 2022 Genesis, G70 3.3T AWD, $31,795, Great Price, 52,735 miles, 
Used 2022 Genesis, G70 3.3T AWD, $37,978, Fair Price, 15,749 miles, 
Used 2022 Genesis, G70 2.0T AWD, $24,690, Excellent Price, 65,425 miles, 
Used 2022 Genesis, G70 3.3T AWD, $35,522, Fair Price, 23,369 miles, 
Used 2022 Genesis, G70 3.3T AWD, $36,500, High Price, 28,926 miles, 
Used 2022 Genesis, GV70 2.5T, $35,712, High Price, 56,617 miles, 
Used 2022 Genesis, GV70 2.5T, $37,595, High Price, 40,375 miles, 
