Year/Make, Model, Price, Rating, Mileage
Used 2024 Genesis, Electrified GV70 Advanced, 41978, Excellent Price, 17620
Used 2024 Genesis, GV70 3.5T Sport, 53482, Fair Price, 3352
Used 2024 Genesis, GV70 3.5T Sport, 54491, Fair Price, 6165
Used 2024 Genesis, GV70 3.5T Sport, 54391, Fair Price, 6008
Used 2024 Genesis, GV80 2.5T, 43990, Great Price, 19321
Used 2024 Genesis, GV80 2.5T, 39990, Great Price, 31704
Used 2024 Genesis, GV70 3.5T Sport, 53982, Fair Price, 6008
Used 2024 Genesis, G70 2.5T AWD, 30900, Great Price, 19971
Used 2024 Genesis, GV70 3.5T Sport, 55000, High Price, 7410
Used 2024 Genesis, G80 2.5T AWD, 46998, Fair Price, 11013
Used 2024 Genesis, GV80 2.5T, 41990, Fair Price, 25650
Used 2024 Genesis, G70 3.3T Sport Advanced AWD, 41624, Fair Price, 12087
Used 2024 Genesis, G70 3.3T Sport Advanced AWD, 40994, Fair Price, 11430
Used 2024 Genesis, GV80 2.5T, 45454, High Price, 22460
Used 2024 Genesis, G80 2.5T AWD, 39998, High Price, 25283
Used 2024 Genesis, GV80 3.5T, 68998, High Price, 18178
