Used 2018 Hyundai, Tucson SEL AWD, $12,000, Excellent Price, 98,960 miles, 
Used 2018 Hyundai, Tucson SEL AWD, $12,000, Excellent Price, 98,960 miles, 
Used 2018 Hyundai, Tucson SEL AWD, $9,700, Excellent Price, 117,854 miles, 
Used 2018 Hyundai, Tucson Value AWD, $11,997, Great Price, 126,880 miles, 
Used 2018 Hyundai, Kona SE AWD Automatic, $10,495, Excellent Price, 96,373 miles, 
Used 2018 Hyundai, Sonata SE 2.4L (SULEV), $10,995, Great Price, 90,552 miles, 
Used 2018 Hyundai, Kona Limited AWD DCT, $16,635, Excellent Price, 42,880 miles, 
Used 2018 Hyundai, Elantra SE 2.0L Sedan Automatic, $11,977, Great Price, 58,316 miles, 
Used 2018 Hyundai, Tucson Value AWD, $13,469, Excellent Price, 78,146 miles, 
Used 2018 Hyundai, Santa Fe Sport Base 2.4L AWD, $11,495, Excellent Price, 114,750 miles, 
Used 2018 Hyundai, Tucson Limited FWD, $17,929, Great Price, 42,527 miles, 
Used 2018 Hyundai, Tucson SE AWD, $12,195, Excellent Price, 105,950 miles, 
Used 2018 Hyundai, Tucson SEL AWD, $14,979, High Price, 78,075 miles, 
Used 2018 Hyundai, Tucson Value AWD, $13,489, Excellent Price, 95,493 miles, 
Used 2018 Hyundai, Kona SEL AWD Automatic, $12,499, Great Price, 112,930 miles, 
Used 2018 Hyundai, Ioniq Hybrid Blue, $16,998, High Price, 51,085 miles, 
Used 2018 Hyundai, Elantra SEL 2.0L Sedan Automatic, $10,952, Great Price, 87,652 miles, 
Used 2018 Hyundai, Santa Fe Limited Ultimate AWD, $19,009, Excellent Price, 77,585 miles, 
Used 2018 Hyundai, Tucson SE AWD, $16,998, Fair Price, 55,693 miles, 
Used 2018 Hyundai, Tucson Value AWD, $19,995, High Price, 34,061 miles, 
Used 2018 Hyundai, Santa Fe Sport 2.0T Ultimate AWD, $14,999, Excellent Price, 91,155 miles, 
Used 2018 Hyundai, Santa Fe Sport Base 2.4L AWD, $12,998, Fair Price, 125,259 miles, 
Used 2018 Hyundai, Kona SEL AWD Automatic, $15,481, Fair Price, 63,076 miles, 
Used 2018 Hyundai, Santa Fe Sport Base 2.4L AWD, $12,386, Fair Price, 101,231 miles, 
Used 2018 Hyundai, Tucson SE AWD, $15,000, High Price, 80,010 miles, 
Used 2018 Hyundai, Tucson SE AWD, $16,988, Fair Price, 43,474 miles, 
Used 2018 Hyundai, Elantra SE 2.0L Sedan Automatic, $11,495, Excellent Price, 61,569 miles, 
Used 2018 Hyundai, Tucson SE FWD, $13,890, High Price, 81,413 miles, 
Used 2018 Hyundai, Santa Fe Sport Base 2.4L FWD, $12,425, High Price, 101,369 miles, 
Used 2018 Hyundai, Santa Fe SE AWD, $17,900, High Price, 80,141 miles, 
Used 2018 Hyundai, Sonata SEL 2.4L (SULEV), $10,995, Fair Price, 105,634 miles, 
Used 2018 Hyundai, Sonata Sport+ 2.4L, $17,447, High Price, 54,956 miles, 
Used 2018 Hyundai, Santa Fe SE AWD, $13,999, High Price, 135,683 miles, 
Used 2018 Hyundai, Tucson SEL AWD, $14,998, High Price, 75,989 miles, 
Used 2018 Hyundai, Sonata SE 2.4L (SULEV), $17,845, High Price, 38,426 miles, 
