Used 2024 Lexus, LX 600 Luxury, $96,790, Excellent Price, 7,542 miles, 
Used 2024 Lexus, RZ 450e Premium AWD with 18" Wheels, $35,484, Excellent Price, 16,200 miles, 
Used 2024 Lexus, LX 600 Luxury, $96,790, Excellent Price, 7,542 miles, 
Used 2024 Lexus, NX 350 F SPORT Handling AWD, $46,645, Great Price, 12,987 miles, 
Used 2024 Lexus, UX 250h Premium AWD, $30,453, Great Price, 78,469 miles, 
Used 2024 Lexus, TX 350 Luxury AWD, $56,998, Excellent Price, 22,388 miles, 
Used 2024 Lexus, IS 350 F SPORT AWD, $47,300, Fair Price, 9,200 miles, 
Used 2024 Lexus, RX 350 Premium AWD, $53,984, Great Price, 7,499 miles, 
Used 2024 Lexus, NX 350 Premium AWD, $44,984, Great Price, 19,704 miles, 
Used 2024 Lexus, NX 450h+ Luxury AWD, $50,500, Excellent Price, 33,934 miles, 
Used 2024 Lexus, RX 350 F SPORT Handling AWD, $52,000, Excellent Price, 16,247 miles, 
Used 2024 Lexus, GX 550 Luxury+, $95,991, Great Price, 1,658 miles, 
Used 2024 Lexus, NX 350 AWD, $39,991, Great Price, 27,195 miles, 
Used 2024 Lexus, RX 350 Premium AWD, $51,900, Great Price, 12,472 miles, 
Used 2024 Lexus, RX 350h Luxury AWD, $60,000, Great Price, 20,762 miles, 
Used 2024 Lexus, RX 500h F SPORT Performance AWD, $65,984, Fair Price, 15,724 miles, 
Used 2024 Lexus, GX 550 Overtrail, $84,984, Fair Price, 8,067 miles, 
Used 2024 Lexus, ES 350 FWD, $40,998, Fair Price, 12,500 miles, 
Used 2024 Lexus, TX 350 Premium AWD, $60,995, Fair Price, 18,194 miles, 
Used 2024 Lexus, RX 350 Premium AWD, $53,984, Great Price, 7,529 miles, 
Used 2024 Lexus, RX 500h F SPORT Performance AWD, $63,987, High Price, 20,524 miles, 
Used 2024 Lexus, GX 550 Premium+, $89,990, High Price, 5,683 miles, 
Used 2024 Lexus, GX 550 Premium+, $87,990, High Price, 11,687 miles, 
