Year/Make, Model, Price, Rating, Mileage
Used 2019 Nissan, Sentra SR CVT, 11505, Excellent Price, 70118
Used 2019 Nissan, LEAF SL PLUS, 14300, Excellent Price, 34810
Used 2019 Nissan, Murano SL AWD, 19999, Excellent Price, 55106
Used 2019 Nissan, LEAF SL, 9995, Excellent Price, 61567
Used 2019 Nissan, Murano SL FWD, 17988, Great Price, 76745
Used 2019 Nissan, Rogue S AWD, 15995, Fair Price, 89243
Used 2019 Nissan, Rogue SV AWD, 18998, Great Price, 61534
Used 2019 Nissan, Pathfinder SL 4WD, 21888, Excellent Price, 38306
Used 2019 Nissan, Murano S AWD, 15900, Great Price, 79342
Used 2019 Nissan, Rogue SL AWD, 18299, Fair Price, 60934
Used 2019 Nissan, Murano Platinum AWD, 17899, Great Price, 108722
Used 2019 Nissan, Rogue SV AWD, 12746, Excellent Price, 118801
Used 2019 Nissan, Pathfinder SL 4WD, 17500, Excellent Price, 75225
Used 2019 Nissan, Maxima S, 18998, Great Price, 83110
Used 2019 Nissan, LEAF SL PLUS, 15000, Great Price, 43074
Used 2019 Nissan, Rogue Sport SV AWD, 17225, Great Price, 53623
Used 2019 Nissan, Murano SV AWD, 19771, Great Price, 40825
Used 2019 Nissan, Altima SR FWD, 17998, High Price, 70900
Used 2019 Nissan, Sentra S CVT, 8777, Excellent Price, 83099
Used 2019 Nissan, NV Cargo NV2500 HD S Standard Roof V6, 19499, Fair Price, 107531
Used 2019 Nissan, Rogue S AWD, 14969, Great Price, 63331
Used 2019 Nissan, Pathfinder SV 4WD, 14964, Great Price, 93185
Used 2019 Nissan, Rogue SL AWD, 16999, Fair Price, 86003
Used 2019 Nissan, Rogue SV AWD, 16200, Fair Price, 80997
Used 2019 Nissan, Rogue Sport S AWD, 15995, Fair Price, 63324
Used 2019 Nissan, Murano SV AWD, 19200, High Price, 62260
Used 2019 Nissan, Kicks SV, 13200, High Price, 85245
Used 2019 Nissan, Sentra SV CVT, 13724, High Price, 57798
Used 2019 Nissan, Pathfinder SL 4WD, 16349, Fair Price, 90206
Used 2019 Nissan, Armada SL AWD, 21900, Great Price, 86732
Used 2019 Nissan, Rogue SV AWD, 16200, Fair Price, 80997
Used 2019 Nissan, Rogue SV AWD, 16990, Fair Price, 74918
Used 2019 Nissan, Titan XD PRO-4X Crew Cab Gas 4WD, 31814, Great Price, 68349
Used 2019 Nissan, Altima SR FWD, 17998, High Price, 70900
