Used 2018 Subaru, Impreza 2.0i Premium 5-door CVT, $15,505, Excellent Price, 42,358 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium Manual, $16,995, Great Price, 77,972 miles, 
Used 2018 Subaru, Forester 2.5i Limited CVT, $14,199, Great Price, 126,638 miles, 
Used 2018 Subaru, Impreza 2.0i Premium 5-door CVT, $14,491, Great Price, 81,325 miles, 
Used 2018 Subaru, Legacy 2.5i Limited, $16,799, Great Price, 79,732 miles, 
Used 2018 Subaru, Forester 2.5i Premium CVT, $13,995, Excellent Price, 115,307 miles, 
Used 2018 Subaru, Legacy 2.5i Limited, $17,200, Great Price, 79,451 miles, 
Used 2018 Subaru, Legacy 2.5i Limited, $15,995, Fair Price, 84,232 miles, 
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, $16,800, Great Price, 99,649 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, $18,569, Fair Price, 65,766 miles, 
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, $20,935, Great Price, 45,299 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium Manual, $14,777, Excellent Price, 98,125 miles, 
Used 2018 Subaru, Outback 2.5i Premium, $9,800, Great Price, 151,914 miles, 
Used 2018 Subaru, Forester 2.5i Limited CVT, $18,789, Great Price, 66,321 miles, 
Used 2018 Subaru, Outback 2.5i Premium, $18,995, Great Price, 40,932 miles, 
Used 2018 Subaru, Forester 2.5i Limited CVT, $15,999, Great Price, 93,301 miles, 
Used 2018 Subaru, Impreza 2.0i Premium 4-door CVT, $16,998, Fair Price, 64,767 miles, 
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, $13,993, Excellent Price, 99,928 miles, 
Used 2018 Subaru, Impreza 2.0i Premium 4-door CVT, $14,821, Fair Price, 76,959 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, $18,798, Fair Price, 64,262 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium Manual, $16,991, Fair Price, 82,237 miles, 
Used 2018 Subaru, Forester 2.5i CVT, $14,990, Great Price, 96,238 miles, 
Used 2018 Subaru, Legacy 2.5i Premium, $11,999, High Price, 134,272 miles, 
Used 2018 Subaru, Outback 2.5i Limited, $15,830, Great Price, 102,931 miles, 
Used 2018 Subaru, Forester 2.0XT Touring CVT, $20,991, Fair Price, 73,795 miles, 
Used 2018 Subaru, Legacy 2.5i Premium, $14,982, Fair Price, 88,637 miles, 
Used 2018 Subaru, Forester 2.5i Touring CVT, $19,976, Fair Price, 79,946 miles, 
Used 2018 Subaru, Forester 2.5i Touring CVT, $18,998, Great Price, 91,358 miles, 
Used 2018 Subaru, Outback 2.5i Limited, $14,995, Great Price, 121,667 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, $16,998, Excellent Price, 72,600 miles, 
Used 2018 Subaru, Forester 2.5i Touring CVT, $21,998, Great Price, 54,533 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, $15,695, Great Price, 98,054 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, $12,700, Fair Price, 130,920 miles, 
Used 2018 Subaru, Legacy 2.5i, $16,714, High Price, 77,000 miles, 
Used 2018 Subaru, Outback 2.5i Limited, $14,900, Great Price, 111,951 miles, 
Used 2018 Subaru, Impreza 2.0i Premium 5-door CVT, $14,980, High Price, 91,591 miles, 
Used 2018 Subaru, Forester 2.5i Premium CVT, $13,999, High Price, 135,239 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, $14,980, Excellent Price, 74,845 miles, 
Used 2018 Subaru, Outback 2.5i Premium, $13,000, Fair Price, 138,077 miles, 
Used 2018 Subaru, Legacy 2.5i Limited, $18,490, Fair Price, 63,727 miles, 
Used 2018 Subaru, Outback 2.5i Limited, $20,995, High Price, 74,059 miles, 
Used 2018 Subaru, Crosstrek 2.0i Premium CVT, $19,281, High Price, 70,409 miles, 
Used 2018 Subaru, Crosstrek 2.0i Limited CVT, $17,995, High Price, 114,812 miles, 
Used 2018 Subaru, Legacy 2.5i Premium, $14,444, High Price, 96,793 miles, 
Used 2018 Subaru, Outback 2.5i Premium, $19,995, Fair Price, 52,171 miles, 
Used 2018 Subaru, WRX Base Manual, $15,995, High Price, 108,506 miles, 
Used 2018 Subaru, Legacy 2.5i Premium, $18,789, Fair Price, 32,203 miles, 
