Year/Make, Model, Price, Rating, Mileage
Used 2023 Subaru, Ascent Limited 8-Passenger, 32985, Fair Price, 37750, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 23500, Excellent Price, 46478, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 24998, Great Price, 19502, 
Used 2023 Subaru, Outback Wilderness, 26993, Excellent Price, 47804, 
Used 2023 Subaru, Forester Premium, 24950, Excellent Price, 58739, 
Used 2023 Subaru, Crosstrek 2.0i Manual, 23900, Excellent Price, 26973, 
Used 2023 Subaru, Forester Premium, 26998, Great Price, 23588, 
Used 2023 Subaru, Forester Touring, 30998, Great Price, 24642, 
Used 2023 Subaru, Forester Premium, 27150, Great Price, 24793, 
Used 2023 Subaru, Outback Limited, 26997, Great Price, 50373, 
Used 2023 Subaru, Solterra Premium, 22990, Excellent Price, 7784, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27200, Great Price, 33167, 
Used 2023 Subaru, Ascent Onyx Edition Limited 7-Passenger, 35990, Great Price, 36091, 
Used 2023 Subaru, Outback Premium, 27369, Fair Price, 28936, 
Used 2023 Subaru, Ascent Limited 8-Passenger, 31800, Excellent Price, 39950, 
Used 2023 Subaru, Outback Onyx Edition, 28499, Great Price, 30768, 
Used 2023 Subaru, Solterra Limited, 25980, Great Price, 12094, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 26500, Fair Price, 18395, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27522, Fair Price, 29670, 
Used 2023 Subaru, Outback Limited, 27702, Excellent Price, 28279, 
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 27500, Fair Price, 18244, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24000, Great Price, 28631, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24390, Great Price, 31469, 
Used 2023 Subaru, Impreza Premium 5-door CVT, 21995, Great Price, 33406, 
Used 2023 Subaru, Forester Wilderness, 30684, Excellent Price, 16487, 
Used 2023 Subaru, Forester Sport, 30150, Fair Price, 15453, 
Used 2023 Subaru, Crosstrek 2.0i Premium Manual, 22875, Excellent Price, 47997, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27300, Fair Price, 25827, 
Used 2023 Subaru, Forester Wilderness, 29637, Great Price, 45340, 
Used 2023 Subaru, Outback Limited, 29400, Great Price, 13151, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24000, Great Price, 34032, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 26015, High Price, 19331, 
Used 2023 Subaru, WRX Limited Manual, 31678, Fair Price, 16909, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 27300, Fair Price, 25827, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 24990, Great Price, 23039, 
Used 2023 Subaru, WRX Premium Manual, 28980, Fair Price, 33419, 
Used 2023 Subaru, Crosstrek 2.0i CVT, 24990, Fair Price, 32640, 
Used 2023 Subaru, WRX Premium Manual, 28911, Excellent Price, 13852, 
Used 2023 Subaru, Crosstrek 2.5i Limited CVT, 28869, Fair Price, 18613, 
Used 2023 Subaru, Forester Limited, 27498, Fair Price, 12109, 
Used 2023 Subaru, Solterra Premium, 25142, High Price, 11627, 
Used 2023 Subaru, Impreza Premium 5-door CVT, 22353, Fair Price, 33873, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24000, Great Price, 28631, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 27269, High Price, 20933, 
Used 2023 Subaru, Outback Onyx Edition XT, 30900, Great Price, 26409, 
Used 2023 Subaru, Crosstrek 2.0i Premium CVT, 24390, Great Price, 31469, 
Used 2023 Subaru, Impreza 5-door CVT, 21600, Fair Price, 15556, 
Used 2023 Subaru, Forester Premium, 25498, Fair Price, 2722, 
Used 2023 Subaru, Ascent Limited 8-Passenger, 32999, High Price, 49800, 
Used 2023 Subaru, Crosstrek 2.5i Sport CVT, 24000, Fair Price, 38308, 
Used 2023 Subaru, Forester Limited, 29998, Fair Price, 22985, 
