Year/Make, Model, Price, Rating, Mileage
Used 2018 Volvo, V60 T5 FWD Dynamic, 14795, Excellent Price, 89180, 
Used 2018 Volvo, XC90 T6 AWD 7-Passenger Momentum, 14750, Excellent Price, 130210, 
Used 2018 Volvo, S90 T6 AWD Momentum, 21995, Great Price, 58941, 
Used 2018 Volvo, XC60 T6 Inscription, 17975, Excellent Price, 95072, 
Used 2018 Volvo, S60 T5 Inscription AWD, 15238, Great Price, 74396, 
Used 2018 Volvo, XC60 T6 Momentum, 20900, Great Price, 62464, 
Used 2018 Volvo, XC60 T5 Momentum, 19600, Great Price, 75650, 
Used 2018 Volvo, V60 T5 AWD Dynamic, 14250, Excellent Price, 119127, 
Used 2018 Volvo, XC60 T5 Momentum, 15877, Fair Price, 113020, 
Used 2018 Volvo, S90 T6 AWD Momentum, 21000, Excellent Price, 63212, 
Used 2018 Volvo, S90 T5 AWD Momentum, 18999, Great Price, 88296, 
Used 2018 Volvo, XC90 T6 AWD 7-Passenger R-Design, 24975, High Price, 75890, 
Used 2018 Volvo, XC60 T5 Momentum, 16988, Fair Price, 109338, 
