Year/Make, Model, Price, Rating, Mileage
Used 2024 Buick, Envista Preferred, 23988, Great Price, 12995, 
Used 2024 Buick, Envision Sport Touring, 29490, Excellent Price, 8037, 
Used 2024 Buick, Enclave Premium AWD, 30749, Excellent Price, 58292, 
Used 2024 Buick, Envista Avenir, 27990, Great Price, 9048, 
Used 2024 Buick, Encore GX Sport Touring AWD, 22395, Excellent Price, 22313, 
Used 2024 Buick, Envista Sport Touring, 24995, Great Price, 14166, 
Used 2024 Buick, Enclave Essence AWD, 37245, Fair Price, 24501, 
Used 2024 Buick, Encore GX Preferred AWD, 24799, Great Price, 3055, 
Used 2024 Buick, Enclave Premium AWD, 31893, Fair Price, 47020, 
Used 2024 Buick, Enclave Premium AWD, 33993, High Price, 31966, 
Used 2024 Buick, Envista Preferred, 23988, Great Price, 12995, 
Used 2024 Buick, Enclave Premium AWD, 33999, Great Price, 27504, 
Used 2024 Buick, Enclave Premium FWD, 30693, High Price, 52122, 
Used 2024 Buick, Encore GX Preferred FWD, 21995, Fair Price, 12998, 
Used 2024 Buick, Envista Preferred, 22755, Fair Price, 6366, 
Used 2024 Buick, Encore GX Sport Touring AWD, 21495, Excellent Price, 30280, 
Used 2024 Buick, Enclave Essence AWD, 43825, Fair Price, 7526, 
Used 2024 Buick, Enclave Premium AWD, 31561, High Price, 51962, 
