Year/Make, Model, Price, Rating, Mileage
Used 2019 Ford, Ranger Lariat SuperCrew 5' Box 4WD, 22999, Excellent Price, 88665, 
Used 2019 Ford, Mustang EcoBoost Premium Convertible, 15974, Excellent Price, 92748, 
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 19460, Excellent Price, 104905, 
Used 2019 Ford, EcoSport SE 4WD, 11223, Excellent Price, 76994, 
Used 2019 Ford, Mustang EcoBoost Premium Convertible, 15974, Excellent Price, 92748, 
Used 2019 Ford, Edge Titanium AWD, 15779, Great Price, 53145, 
Used 2019 Ford, EcoSport SE 4WD, 11298, Excellent Price, 84694, 
Used 2019 Ford, Ranger Lariat SuperCrew 5' Box 4WD, 22999, Excellent Price, 88665, 
Used 2019 Ford, Edge ST AWD, 24790, Great Price, 28480, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 24788, Great Price, 95241, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 32000, Excellent Price, 38958, 
Used 2019 Ford, Edge SEL AWD, 15585, Great Price, 84084, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 27500, Great Price, 68915, 
Used 2019 Ford, Edge Titanium AWD, 18891, Excellent Price, 64445, 
Used 2019 Ford, Explorer XLT 4WD, 20595, Excellent Price, 78310, 
Used 2019 Ford, Escape Titanium AWD, 18935, Great Price, 41524, 
Used 2019 Ford, Super Duty F-550 Chassis Cab XLT Crew Cab 179" 60" CA 4WD, 43998, Excellent Price, 57992, 
Used 2019 Ford, F-150 XLT SuperCrew 6.5' Box 4WD, 25995, Excellent Price, 82396, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 25990, Great Price, 86341, 
Used 2019 Ford, Edge ST AWD, 21500, Great Price, 67367, 
Used 2019 Ford, Ranger XLT SuperCrew 5' Box 4WD, 25988, Fair Price, 62133, 
Used 2019 Ford, Explorer Sport 4WD, 22967, Great Price, 62271, 
Used 2019 Ford, Edge SEL AWD, 16998, Fair Price, 68472, 
Used 2019 Ford, Fusion Hybrid Titanium FWD, 16498, Excellent Price, 72889, 
Used 2019 Ford, Edge Titanium AWD, 19671, Great Price, 66532, 
Used 2019 Ford, Edge SEL FWD, 18770, Fair Price, 46545, 
Used 2019 Ford, Expedition Max Limited 4WD, 25995, Great Price, 109591, 
Used 2019 Ford, Edge Titanium AWD, 17995, Great Price, 89735, 
Used 2019 Ford, EcoSport SE FWD, 11359, Great Price, 63839, 
Used 2019 Ford, Ranger XLT SuperCrew 5' Box 4WD, 22992, Great Price, 88695, 
Used 2019 Ford, Fusion SE AWD, 14591, Great Price, 73992, 
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 22332, High Price, 105219, 
Used 2019 Ford, Edge SE FWD, 13998, Fair Price, 77415, 
Used 2019 Ford, Escape SEL AWD, 13300, Fair Price, 97139, 
Used 2019 Ford, Escape SEL AWD, 17990, Fair Price, 49994, 
Used 2019 Ford, Taurus SEL FWD, 18591, Great Price, 30980, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 23685, Excellent Price, 109423, 
Used 2019 Ford, Expedition XLT 4WD, 27999, Great Price, 79229, 
Used 2019 Ford, Edge Titanium AWD, 13995, Fair Price, 113778, 
Used 2019 Ford, Expedition XLT 4WD, 35998, High Price, 52717, 
Used 2019 Ford, Mustang GT Premium Fastback, 33799, Great Price, 36930, 
Used 2019 Ford, Explorer Limited 4WD, 21995, High Price, 82083, 
Used 2019 Ford, Explorer Sport 4WD, 25740, High Price, 60487, 
Used 2019 Ford, Flex SEL AWD, 19991, Fair Price, 77693, 
Used 2019 Ford, EcoSport SES 4WD, 11749, Fair Price, 76460, 
Used 2019 Ford, Ranger XLT SuperCrew 5' Box 4WD, 23995, Fair Price, 95808, 
Used 2019 Ford, Escape SE AWD, 14998, Excellent Price, 55594, 
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 31031, High Price, 36622, 
Used 2019 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 16999, Fair Price, 165617, 
Used 2019 Ford, Super Duty F-450 Chassis Cab XL Regular Cab 145" 60" CA 2WD, 22500, Excellent Price, 88521, 
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 20300, Fair Price, 134341, 
Used 2019 Ford, Edge ST AWD, 21995, High Price, 99948, 
Used 2019 Ford, Fusion Hybrid SE FWD, 14500, High Price, 69715, 
Used 2019 Ford, Flex SE FWD, 14995, Fair Price, 94616, 
Used 2019 Ford, Escape SEL AWD, 20875, High Price, 44585, 
Used 2019 Ford, Transit Chassis T-350 138" 9950 GVWR DRW, 26998, High Price, 112300, 
Used 2019 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, 29370, Fair Price, 104260, 
Used 2019 Ford, Escape SEL AWD, 19891, High Price, 59145, 
Used 2019 Ford, Taurus Limited AWD, 14991, High Price, 147968, 
Used 2019 Ford, Super Duty F-250 XL 2WD Reg Cab 8' Box, 30998, High Price, 33837, 
Used 2019 Ford, Super Duty F-350 Lariat 4WD Crew Cab 8' Box DRW, 61754, High Price, 39888, 
Used 2019 Ford, Taurus Limited FWD, 11995, High Price, 189459, 
