Year/Make, Model, Price, Rating, Mileage
Used 2019 Hyundai, Santa Fe SEL Plus 2.4L AWD, 20999, Excellent Price, 12593
Used 2019 Hyundai, Tucson SE FWD, 11569, Great Price, 100380
Used 2019 Hyundai, Tucson Limited AWD, 18425, Great Price, 57946
Used 2019 Hyundai, Elantra SEL 2.0L Automatic, 7600, Excellent Price, 111017
Used 2019 Hyundai, Tucson Limited AWD, 15640, Fair Price, 97536
Used 2019 Hyundai, Elantra SEL 2.0L Automatic, 16195, High Price, 75396
Used 2019 Hyundai, Santa Fe SEL 2.4L FWD, 19566, High Price, 32118
Used 2019 Hyundai, Kona SEL AWD Automatic, 13829, Fair Price, 75873
Used 2019 Hyundai, Tucson Value AWD, 16998, Great Price, 52907
Used 2019 Hyundai, Sonata Sport 2.4L, 15850, High Price, 71272
Used 2019 Hyundai, Tucson SE FWD, 11349, Fair Price, 118561
Used 2019 Hyundai, Elantra SEL 2.0L Automatic, 10485, Excellent Price, 100755
Used 2019 Hyundai, Elantra GT N Line Hatchback Automatic, 13977, Great Price, 99178
Used 2019 Hyundai, Elantra SEL 2.0L Automatic, 15295, High Price, 89846
Used 2019 Hyundai, Accent SE Automatic, 11477, High Price, 73856
Used 2019 Hyundai, Elantra SEL 2.0L Automatic, 16095, High Price, 72312
