Used 2022 Kia, Niro EV EX, $17,421, Excellent Price, 38,422 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,649, Excellent Price, 75,637 miles, 
Used 2022 Kia, Sportage EX AWD, $20,191, Excellent Price, 42,362 miles, 
Used 2022 Kia, Forte LXS IVT, $16,969, Great Price, 19,908 miles, 
Used 2022 Kia, Niro EV EX, $17,421, Excellent Price, 38,422 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,649, Excellent Price, 75,637 miles, 
Used 2022 Kia, Seltos SX 1.6T AWD, $21,516, Excellent Price, 17,668 miles, 
Used 2022 Kia, Sportage SX Turbo AWD, $22,994, Excellent Price, 28,839 miles, 
Used 2022 Kia, K5 GT-Line AWD, $21,499, Excellent Price, 45,879 miles, 
Used 2022 Kia, Sportage EX AWD, $20,299, Great Price, 33,080 miles, 
Used 2022 Kia, Forte GT Manual, $19,914, Great Price, 35,391 miles, 
Used 2022 Kia, Telluride EX AWD, $32,991, Excellent Price, 24,692 miles, 
Used 2022 Kia, Soul LX IVT, $13,890, Great Price, 42,458 miles, 
Used 2022 Kia, Telluride LX FWD, $24,749, Great Price, 70,400 miles, 
Used 2022 Kia, K5 GT-Line AWD, $24,998, Great Price, 53,626 miles, 
Used 2022 Kia, Sorento LX AWD, $23,978, Great Price, 33,879 miles, 
Used 2022 Kia, Sorento X-Line EX AWD, $29,400, Great Price, 14,589 miles, 
Used 2022 Kia, Forte GT DCT, $19,500, Great Price, 51,024 miles, 
Used 2022 Kia, Sorento SX AWD, $29,547, Great Price, 42,907 miles, 
Used 2022 Kia, EV6 Wind AWD, $20,543, Great Price, 38,335 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,800, Great Price, 22,143 miles, 
Used 2022 Kia, Telluride EX FWD, $27,550, Excellent Price, 79,502 miles, 
Used 2022 Kia, Sorento SX AWD, $28,449, Fair Price, 36,720 miles, 
Used 2022 Kia, Forte GT-Line IVT, $19,995, Fair Price, 12,945 miles, 
Used 2022 Kia, Niro EV EX, $17,693, Excellent Price, 27,715 miles, 
Used 2022 Kia, Sportage LX AWD, $20,497, Great Price, 26,268 miles, 
Used 2022 Kia, K5 GT-Line AWD, $22,990, Excellent Price, 50,773 miles, 
Used 2022 Kia, Sportage LX AWD, $15,999, Fair Price, 95,665 miles, 
Used 2022 Kia, Sorento X-Line S AWD, $24,270, Great Price, 85,476 miles, 
Used 2022 Kia, K5 GT-Line FWD, $23,576, Great Price, 54,959 miles, 
Used 2022 Kia, Telluride S FWD, $29,136, Fair Price, 53,435 miles, 
Used 2022 Kia, K5 LXS FWD, $22,074, Fair Price, 29,141 miles, 
Used 2022 Kia, Niro Plug-In Hybrid LXS, $14,998, Excellent Price, 73,594 miles, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, $30,693, Great Price, 30,082 miles, 
Used 2022 Kia, Telluride EX AWD, $35,995, Great Price, 32,693 miles, 
Used 2022 Kia, K5 EX FWD, $22,291, Excellent Price, 47,239 miles, 
Used 2022 Kia, Forte GT-Line IVT, $17,999, Excellent Price, 21,261 miles, 
Used 2022 Kia, Soul LX IVT, $14,669, Excellent Price, 26,875 miles, 
Used 2022 Kia, Forte LXS IVT, $18,978, Fair Price, 10,177 miles, 
Used 2022 Kia, Soul LX IVT, $11,995, Excellent Price, 93,398 miles, 
Used 2022 Kia, Telluride S AWD, $29,129, Fair Price, 54,989 miles, 
Used 2022 Kia, Sportage EX FWD, $18,799, Great Price, 60,051 miles, 
Used 2022 Kia, K5 GT-Line FWD, $25,362, Fair Price, 34,105 miles, 
Used 2022 Kia, Sportage LX AWD, $17,899, Fair Price, 56,438 miles, 
Used 2022 Kia, K5 EX FWD, $20,992, Great Price, 45,361 miles, 
Used 2022 Kia, K5 GT-Line AWD, $19,399, Great Price, 71,428 miles, 
Used 2022 Kia, Forte LXS IVT, $15,729, Fair Price, 47,004 miles, 
Used 2022 Kia, Sportage EX AWD, $22,493, High Price, 30,031 miles, 
Used 2022 Kia, Seltos LX 2.0 AWD, $19,800, Fair Price, 17,180 miles, 
Used 2022 Kia, Sorento EX FWD, $26,995, Fair Price, 52,227 miles, 
Used 2022 Kia, Soul LX IVT, $16,900, Fair Price, 31,606 miles, 
Used 2022 Kia, Sportage LX AWD, $22,190, Fair Price, 33,351 miles, 
Used 2022 Kia, Seltos EX 2.0 AWD, $20,990, Fair Price, 10,951 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,500, High Price, 64,071 miles, 
Used 2022 Kia, Forte LXS IVT, $16,999, High Price, 19,245 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,725, Excellent Price, 39,007 miles, 
Used 2022 Kia, K5 GT-Line FWD, $24,227, Great Price, 38,672 miles, 
Used 2022 Kia, Seltos S 2.0 FWD, $19,900, High Price, 26,911 miles, 
Used 2022 Kia, Sportage LX AWD, $21,472, Fair Price, 43,939 miles, 
Used 2022 Kia, Sportage LX AWD, $20,581, Fair Price, 59,926 miles, 
Used 2022 Kia, Seltos S 2.0 FWD, $17,999, High Price, 39,518 miles, 
Used 2022 Kia, Sportage LX AWD, $21,472, Fair Price, 43,939 miles, 
Used 2022 Kia, Sportage LX AWD, $19,549, High Price, 28,570 miles, 
Used 2022 Kia, Sportage LX AWD, $20,581, Fair Price, 59,926 miles, 
Used 2022 Kia, Sportage EX AWD, $19,119, High Price, 65,582 miles, 
Used 2022 Kia, Sportage LX AWD, $18,849, High Price, 41,268 miles, 
Used 2022 Kia, K5 GT-Line FWD, $22,725, Excellent Price, 39,007 miles, 
Used 2022 Kia, Telluride SX AWD, $37,142, Great Price, 41,594 miles, 
