Used 2020 Lincoln, Corsair Reserve AWD, $24,412, Great Price, 64,207 miles, 
Used 2020 Lincoln, Nautilus Reserve AWD, $23,591, Great Price, 71,419 miles, 
Used 2020 Lincoln, Aviator Reserve AWD, $34,981, Fair Price, 43,434 miles, 
Used 2020 Lincoln, Aviator Reserve AWD, $37,152, Fair Price, 37,036 miles, 
Used 2020 Lincoln, Nautilus Reserve AWD, $26,351, High Price, 64,666 miles, 
Used 2020 Lincoln, Corsair Standard AWD, $17,490, Great Price, 79,212 miles, 
Used 2020 Lincoln, Corsair Standard AWD, $22,998, Fair Price, 46,210 miles, 
Used 2020 Lincoln, Corsair Standard AWD, $19,652, High Price, 109,339 miles, 
Used 2020 Lincoln, Aviator Grand Touring AWD, $29,355, Great Price, 86,358 miles, 
Used 2020 Lincoln, Aviator Reserve AWD, $25,380, High Price, 122,097 miles, 
Used 2020 Lincoln, Aviator Reserve AWD, $22,500, Great Price, 79,000 miles, 
Used 2020 Lincoln, Nautilus Reserve AWD, $29,823, Fair Price, 35,329 miles, 
Used 2020 Lincoln, MKZ Reserve AWD, $22,991, Fair Price, 51,258 miles, 
Used 2020 Lincoln, Corsair Standard FWD, $23,991, Fair Price, 32,844 miles, 
