Year/Make, Model, Price, Rating, Mileage
Used 2020 Tesla, Model S Long Range Plus, 28424, Great Price, 74114
Used 2020 Tesla, Model S Performance, 37499, Excellent Price, 19864
Used 2020 Tesla, Model Y Long Range Dual Motor AWD, 21993, Great Price, 69215
Used 2020 Tesla, Model X Long Range, 30922, Excellent Price, 59221
Used 2020 Tesla, Model 3 Long Range Dual Motor, 24999, High Price, 24260
Used 2020 Tesla, Model X Long Range Plus, 31699, Excellent Price, 46502
Used 2020 Tesla, Model 3 Long Range Dual Motor, 21993, High Price, 39059
Used 2020 Tesla, Model 3 Long Range Dual Motor, 21899, Fair Price, 55375
Used 2020 Tesla, Model 3 Performance Dual Motor AWD, 20493, Fair Price, 76113
Used 2020 Tesla, Model 3 Standard Range Plus RWD, 17923, Fair Price, 56046
