Year/Make, Model, Price, Rating, Mileage
Used 2023 Kia, Sportage Hybrid LX AWD, 15119, Excellent Price, 125850
Used 2023 Chevrolet, Malibu LT, 15999, Excellent Price, 42331
Used 2023 Ford, Transit Cargo Van T-250 130" Low Rf 9070 GVWR RWD, 25299, Excellent Price, 27774
Used 2021 Toyota, Corolla LE CVT, 9799, Excellent Price, 239138
Used 2019 Audi, e-tron Prestige, 21973, Excellent Price, 27584
Used 2020 Mercedes-Benz, Metris Passenger Van Standard Roof 126" Wheelbase, 29990, Excellent Price, 1662
Used 2022 Audi, e-tron Premium SUV, 22493, Excellent Price, 33022
Used 2024 Chevrolet, Malibu LT, 17359, Excellent Price, 32691
Used 2013 Nissan, Altima 2.5 S Sedan, 5450, Excellent Price, 134750
Used 2013 Honda, CR-V EX-L AWD, 7495, Excellent Price, 185060
Used 2020 Ram, 1500 Rebel Crew Cab 5'7" Box 4WD, 28499, Excellent Price, 81290
Used 2023 Hyundai, Kona Electric Limited, 20953, Excellent Price, 15050
Used 2022 Nissan, Pathfinder Platinum 4WD, 24429, Excellent Price, 72999
Used 2011 Honda, Odyssey Touring, 4995, Excellent Price, 223654
Used 2022 Jeep, Wrangler Unlimited Rubicon 4xe, 34040, Excellent Price, 29043
Used 2019 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 19460, Excellent Price, 104905
Used 2014 BMW, 750Li xDrive AWD, 18999, Excellent Price, 50718
Used 2011 Kia, Forte EX Sedan Automatic, 3495, Excellent Price, 155561
Used 2009 Ford, Focus SES Coupe, 3995, Excellent Price, 133441
Used 2018 Mercedes-Benz, E 300 4MATIC Sedan, 15172, Excellent Price, 106673
Used 2022 Audi, e-tron Premium SUV, 22993, Excellent Price, 8402
Used 2022 Ford, Bronco Everglades 4 Door Advanced 4WD, 48345, Excellent Price, 20599
Used 2011 Ford, Econoline Wagon E-150 XLT, 13991, Excellent Price, 44794
Used 2022 Chevrolet, Equinox LT with 1LT AWD, 18699, Excellent Price, 51480
Used 2013 Chevrolet, Cruze LT with 1LT Manual, 4590, Excellent Price, 141055
Used 2021 Toyota, RAV4 Hybrid Limited AWD, 30699, Excellent Price, 40372
Used 2022 Ford, Explorer ST-Line 4WD, 29997, Excellent Price, 56762
Used 2022 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 38718, Excellent Price, 7211
Used 2016 Kia, Soul Base Automatic, 9956, Excellent Price, 49072
Used 2014 Kia, Sorento LX V6 AWD, 9983, Excellent Price, 64999
