Used 2024 Buick, Enclave Premium AWD, $35,495, Excellent Price, 22,627 miles, 
Used 2024 Buick, Enclave Avenir AWD, $46,295, Excellent Price, 4,826 miles, 
Used 2024 Buick, Enclave Premium AWD, $35,495, Excellent Price, 22,627 miles, 
Used 2024 Buick, Envista Sport Touring, $24,995, Excellent Price, 14,166 miles, 
Used 2024 Buick, Envista Preferred, $22,895, Excellent Price, 6,366 miles, 
Used 2024 Buick, Enclave Essence AWD, $31,995, Excellent Price, 24,179 miles, 
Used 2024 Buick, Encore GX Sport Touring AWD, $21,495, Excellent Price, 30,280 miles, 
Used 2024 Buick, Enclave Avenir AWD, $44,895, Great Price, 10,344 miles, 
Used 2024 Buick, Envista Sport Touring, $24,000, Fair Price, 35,802 miles, 
Used 2024 Buick, Enclave Premium AWD, $34,000, Great Price, 37,801 miles, 
Used 2024 Buick, Envista Preferred, $22,000, High Price, 22,974 miles, 
Used 2024 Buick, Enclave Premium AWD, $35,000, Great Price, 32,604 miles, 
Used 2024 Buick, Encore GX Preferred FWD, $22,695, High Price, 12,998 miles, 
Used 2024 Buick, Encore GX Preferred FWD, $21,200, Fair Price, 28,524 miles, 
Used 2024 Buick, Enclave Premium FWD, $34,495, Fair Price, 28,168 miles, 
Used 2024 Buick, Encore GX Sport Touring AWD, $22,395, Excellent Price, 22,313 miles, 
Used 2024 Buick, Encore GX Sport Touring FWD, $22,275, Fair Price, 30,896 miles, 
Used 2024 Buick, Encore GX Sport Touring FWD, $22,500, High Price, 38,081 miles, 
Used 2024 Buick, Enclave Premium AWD, $31,995, High Price, 17,205 miles, 
Used 2024 Buick, Encore GX Preferred FWD, $22,250, Great Price, 6,644 miles, 
Used 2024 Buick, Enclave Premium AWD, $38,995, High Price, 28,971 miles, 
