Year/Make, Model, Price, Rating, Mileage
Used 2018 Cadillac, CTS Luxury 2.0T AWD, 18695, Excellent Price, 74402, 
Used 2018 Cadillac, XT5 Luxury AWD, 16891, Excellent Price, 109373, 
Used 2018 Cadillac, XT5 Luxury AWD, 14900, Excellent Price, 100381, 
Used 2018 Cadillac, XT5 Luxury AWD, 20670, Excellent Price, 38645, 
Used 2018 Cadillac, Escalade ESV Luxury 4WD, 21750, Great Price, 171697, 
Used 2018 Cadillac, XT5 FWD Luxury, 16995, Excellent Price, 81023, 
Used 2018 Cadillac, XT5 FWD Luxury, 16000, High Price, 100734, 
Used 2018 Cadillac, XT5 Luxury AWD, 17900, High Price, 97461, 
Used 2018 Cadillac, Escalade Luxury 4WD, 30591, High Price, 80244, 
Used 2018 Cadillac, ATS Sedan 2.0T AWD, 16491, Great Price, 65739, 
Used 2018 Cadillac, XTS Luxury FWD, 19998, High Price, 87930, 
Used 2018 Cadillac, ATS Luxury Sedan 2.0T AWD, 13900, High Price, 110050, 
Used 2018 Cadillac, XT5 AWD, 13500, Fair Price, 132593, 
Used 2018 Cadillac, XTS Luxury AWD, 16900, Fair Price, 108000, 
Used 2018 Cadillac, CT6 Platinum 3.6 AWD, 22495, High Price, 101000, 
Used 2018 Cadillac, XT5 Premium Luxury AWD, 25000, Great Price, 28699, 
Used 2018 Cadillac, CT6 Luxury 3.6 AWD, 24995, High Price, 19440, 
Used 2018 Cadillac, XT5 Luxury AWD, 17000, High Price, 107001, 
Used 2018 Cadillac, Escalade ESV Platinum 4WD, 34000, High Price, 81446, 
