Used 2018 Chevrolet, Cruze LT with 1SD Sedan Automatic, $9,900, Fair Price, 89,408 miles, 
Used 2018 Chevrolet, Trax LS AWD, $8,591, Excellent Price, 131,503 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT AWD, $9,800, Great Price, 123,510 miles, 
Used 2018 Chevrolet, Cruze LT with 1SD Sedan Automatic, $12,313, Excellent Price, 59,592 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT AWD, $11,691, Excellent Price, 123,901 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT FWD, $10,265, Great Price, 134,409 miles, 
Used 2018 Chevrolet, Traverse LT Leather with 3LT FWD, $10,999, Excellent Price, 128,951 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT FWD, $11,848, Excellent Price, 94,346 miles, 
Used 2018 Chevrolet, Suburban LT 4WD, $24,500, Fair Price, 99,307 miles, 
Used 2018 Chevrolet, Equinox LS with 1LS FWD, $13,500, Excellent Price, 55,699 miles, 
Used 2018 Chevrolet, Cruze LT with 1SD Sedan Automatic, $7,675, Great Price, 121,539 miles, 
Used 2018 Chevrolet, Equinox LS with 1LS AWD, $10,995, Great Price, 124,650 miles, 
Used 2018 Chevrolet, Suburban LT 4WD, $19,995, Excellent Price, 140,121 miles, 
Used 2018 Chevrolet, Traverse Premier with 1LZ AWD, $16,495, Fair Price, 121,691 miles, 
Used 2018 Chevrolet, Impala LT with 1LT, $15,863, Great Price, 60,489 miles, 
Used 2018 Chevrolet, Silverado 1500 Custom Double Cab Standard Box 4WD, $27,500, Excellent Price, 27,814 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT FWD, $11,848, Fair Price, 111,659 miles, 
Used 2018 Chevrolet, Bolt EV LT, $9,998, Excellent Price, 36,133 miles, 
Used 2018 Chevrolet, Silverado 1500 LTZ Z71 Crew Cab Standard Box 4WD, $28,999, Fair Price, 92,646 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT FWD, $13,200, Fair Price, 92,464 miles, 
Used 2018 Chevrolet, Volt LT, $11,500, Excellent Price, 80,088 miles, 
Used 2018 Chevrolet, Impala LT with 1LT, $10,840, Great Price, 131,882 miles, 
Used 2018 Chevrolet, Colorado LT Crew Cab Short Box 4WD Automatic, $16,411, Great Price, 139,630 miles, 
Used 2018 Chevrolet, Trax LT FWD, $13,900, High Price, 32,990 miles, 
Used 2018 Chevrolet, Silverado 1500 LT Z71 Double Cab Standard Box 4WD, $29,725, Excellent Price, 46,882 miles, 
Used 2018 Chevrolet, Malibu LT with 1LT, $12,495, Fair Price, 97,029 miles, 
Used 2018 Chevrolet, Silverado 1500 LT Double Cab Standard Box 4WD, $18,394, High Price, 148,364 miles, 
Used 2018 Chevrolet, Silverado 1500 LTZ Crew Cab Short Box 4WD, $23,995, High Price, 143,576 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT FWD, $14,791, High Price, 93,210 miles, 
Used 2018 Chevrolet, Traverse High Country with 2LZ AWD, $19,995, High Price, 138,832 miles, 
Used 2018 Chevrolet, Cruze LS with 1SB Sedan Automatic, $6,582, Excellent Price, 156,615 miles, 
Used 2018 Chevrolet, Traverse LT Leather with 3LT AWD, $17,777, High Price, 105,970 miles, 
Used 2018 Chevrolet, Traverse LT Cloth with 1LT AWD, $17,291, Fair Price, 94,216 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT FWD, $16,000, High Price, 64,634 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT AWD, $18,095, High Price, 82,334 miles, 
Used 2018 Chevrolet, Equinox Premier with 1LZ FWD, $12,495, High Price, 70,059 miles, 
Used 2018 Chevrolet, Malibu LT with 1LT, $12,764, Excellent Price, 84,568 miles, 
Used 2018 Chevrolet, Malibu Hybrid with 1HY, $10,250, Fair Price, 129,493 miles, 
Used 2018 Chevrolet, Equinox LT with 1LT FWD, $12,499, Excellent Price, 88,306 miles, 
Used 2018 Chevrolet, Tahoe Commercial 4WD, $16,995, Fair Price, 135,436 miles, 
Used 2018 Chevrolet, Tahoe LT 4WD, $27,995, High Price, 104,357 miles, 
Used 2018 Chevrolet, Malibu LT with 1LT, $12,880, High Price, 110,824 miles, 
Used 2018 Chevrolet, Cruze LT with 1SD Sedan Automatic, $9,900, Fair Price, 89,408 miles, 
