Used 2021 Hyundai, Accent SE Automatic, $14,595, Excellent Price, 44,713 miles, 
Used 2021 Hyundai, Ioniq Electric SE, $14,998, Excellent Price, 19,602 miles, 
Used 2021 Hyundai, Tucson Sport AWD, $22,878, Fair Price, 18,714 miles, 
Used 2021 Hyundai, Tucson SE AWD, $16,795, Fair Price, 82,950 miles, 
Used 2021 Hyundai, Santa Fe SEL AWD, $22,895, Fair Price, 58,948 miles, 
Used 2021 Hyundai, Palisade Limited AWD, $27,799, Fair Price, 78,393 miles, 
Used 2021 Hyundai, Kona Limited AWD DCT, $15,000, Fair Price, 92,364 miles, 
Used 2021 Hyundai, Venue SEL IVT, $15,505, Fair Price, 78,125 miles, 
Used 2021 Hyundai, Santa Fe SEL AWD, $21,899, Great Price, 33,498 miles, 
Used 2021 Hyundai, Palisade SEL AWD, $21,363, Fair Price, 116,430 miles, 
Used 2021 Hyundai, Kona Limited AWD DCT, $16,675, Fair Price, 79,273 miles, 
Used 2021 Hyundai, Palisade Limited AWD, $25,189, Fair Price, 91,500 miles, 
Used 2021 Hyundai, Tucson Sport FWD, $20,995, High Price, 62,119 miles, 
Used 2021 Hyundai, Tucson Value AWD, $16,000, Fair Price, 77,266 miles, 
Used 2021 Hyundai, Tucson SE FWD, $19,695, Great Price, 38,592 miles, 
Used 2021 Hyundai, Tucson SE FWD, $15,495, High Price, 101,045 miles, 
Used 2021 Hyundai, Tucson Value AWD, $19,694, High Price, 39,920 miles, 
Used 2021 Hyundai, Tucson Value AWD, $18,718, High Price, 73,427 miles, 
Used 2021 Hyundai, Elantra SE IVT, $17,991, High Price, 76,147 miles, 
Used 2021 Hyundai, Sonata SE, $16,597, High Price, 80,732 miles, 
