Year/Make, Model, Price, Rating, Mileage
Used 2024 Kia, Forte LXS IVT, 19275, Fair Price, 8941
Used 2024 Kia, K5 GT-Line FWD, 23495, Excellent Price, 8394
Used 2024 Kia, Sportage X-Line AWD, 27500, Great Price, 26997
Used 2024 Kia, Sportage LX FWD, 21695, Excellent Price, 31383
Used 2024 Kia, Carnival SX Prestige, 40900, Great Price, 27016
Used 2024 Kia, K5 GT-Line FWD, 26000, Great Price, 12830
Used 2024 Kia, Soul LX IVT, 21295, Great Price, 5941
Used 2024 Kia, Forte LXS IVT, 19275, Fair Price, 8941
Used 2024 Kia, Forte LXS IVT, 16995, Excellent Price, 38583
Used 2024 Kia, Sportage X-Line AWD, 27595, Great Price, 17040
Used 2024 Kia, Seltos S 2.0 AWD, 24900, Fair Price, 10286
Used 2024 Kia, Forte LXS IVT, 15000, Great Price, 50072
Used 2024 Kia, Forte LXS IVT, 18315, Great Price, 31778
Used 2024 Kia, Forte LXS IVT, 19000, Great Price, 25846
Used 2024 Kia, Forte LXS IVT, 19000, Great Price, 26977
Used 2024 Kia, Soul GT-Line IVT, 22584, Fair Price, 15827
Used 2024 Kia, Sportage EX AWD, 29900, High Price, 10760
Used 2024 Kia, Sorento LX FWD, 28349, Fair Price, 11774
Used 2024 Kia, Forte LXS IVT, 18315, Great Price, 36144
Used 2024 Kia, Telluride EX FWD, 40000, High Price, 13999
Used 2024 Kia, Sorento S AWD, 29500, Great Price, 34287
Used 2024 Kia, Seltos EX 2.0 AWD, 24995, Fair Price, 9235
Used 2024 Kia, Sorento S AWD, 29000, Great Price, 44165
Used 2024 Kia, Seltos EX 2.0 FWD, 24888, High Price, 16352
Used 2024 Kia, Forte GT-Line IVT, 21500, Great Price, 23650
Used 2024 Kia, Sportage LX FWD, 24000, Fair Price, 33738
Used 2024 Kia, Soul LX IVT, 20395, Fair Price, 18606
Used 2024 Kia, Forte LXS IVT, 19602, Fair Price, 18492
Used 2024 Kia, K5 EX FWD, 26993, Great Price, 12041
Used 2024 Kia, Soul EX IVT, 21500, Fair Price, 50618
Used 2024 Kia, Sportage LX AWD, 24993, Fair Price, 31096
Used 2024 Kia, Sorento S FWD, 28500, Fair Price, 40197
Used 2024 Kia, Forte LXS IVT, 20395, Fair Price, 33272
Used 2024 Kia, Soul LX IVT, 19602, High Price, 20646
Used 2024 Kia, Sorento S AWD, 32706, Fair Price, 19975
Used 2024 Kia, Niro Hybrid EX, 26000, Fair Price, 20467
Used 2024 Kia, Forte GT-Line IVT, 21209, Fair Price, 25987
Used 2024 Kia, Sportage LX AWD, 26000, High Price, 45729
Used 2024 Kia, Soul GT-Line IVT, 20321, High Price, 61465
Used 2024 Kia, Sportage LX FWD, 25500, High Price, 30194
Used 2024 Kia, EV9 GT-Line AWD, 54698, Fair Price, 9904
