Year/Make, Model, Price, Rating, Mileage
Used 2018 Nissan, Rogue S AWD, 14551, Excellent Price, 55658, 
Used 2018 Nissan, Altima 2.5 S, 8660, Excellent Price, 119838, 
Used 2018 Nissan, Altima 2.5 SL, 7499, Excellent Price, 141788, 
Used 2018 Nissan, Altima 2.5 SL, 12300, Great Price, 56807, 
Used 2018 Nissan, Rogue SV AWD, 14970, Great Price, 67392, 
Used 2018 Nissan, Titan XD PRO-4X Crew Cab Diesel 4WD, 26500, Fair Price, 100311, 
Used 2018 Nissan, Rogue SV AWD, 10800, Great Price, 123200, 
Used 2018 Nissan, Altima 2.5 S, 13695, Fair Price, 103382, 
Used 2018 Nissan, Rogue Sport SV AWD, 14699, High Price, 74829, 
Used 2018 Nissan, Rogue Sport SV FWD, 16300, High Price, 56338, 
Used 2018 Nissan, Frontier S King Cab RWD Automatic, 15168, Fair Price, 70977, 
Used 2018 Nissan, Pathfinder SL FWD, 18195, High Price, 96693, 
Used 2018 Nissan, Maxima SL, 12901, High Price, 130902, 
Used 2018 Nissan, Rogue SV AWD, 15995, High Price, 63930, 
Used 2018 Nissan, Murano Platinum AWD, 16500, High Price, 108163, 
