Year/Make, Model, Price, Rating, Mileage
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, 15995, Great Price, 100660, 
Used 2019 Subaru, Impreza 2.0i Premium 5-door CVT, 14070, Excellent Price, 94550, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, 20991, Great Price, 47335, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, 15995, Great Price, 100660, 
Used 2019 Subaru, WRX Premium Manual, 24800, Great Price, 28549, 
Used 2019 Subaru, Forester 2.5i Sport, 13995, Great Price, 85000, 
Used 2019 Subaru, Ascent Premium 8-Passenger, 21965, Fair Price, 62791, 
Used 2019 Subaru, Forester 2.5i Touring, 21995, Great Price, 71654, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, 21495, Great Price, 53565, 
Used 2019 Subaru, Forester 2.5i Sport, 9500, Excellent Price, 184285, 
Used 2019 Subaru, Outback 2.5i Limited, 18995, Fair Price, 93952, 
Used 2019 Subaru, Forester 2.5i Sport, 20246, Fair Price, 75544, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, 18758, High Price, 101185, 
Used 2019 Subaru, Forester 2.5i Sport, 19900, High Price, 95000, 
Used 2019 Subaru, Crosstrek 2.0i Premium CVT, 20500, High Price, 59618, 
Used 2019 Subaru, Outback 2.5i, 18995, High Price, 86431, 
Used 2019 Subaru, Forester 2.5i Limited, 19400, Fair Price, 89941, 
Used 2019 Subaru, Forester 2.5i Premium, 18200, High Price, 108000, 
Used 2019 Subaru, Crosstrek 2.0i Limited CVT, 23600, High Price, 38134, 
