Year/Make, Model, Price, Rating, Mileage
Used 2019 Chrysler, Pacifica Touring L, 10495, Excellent Price, 140283, 
Used 2019 Chrysler, Pacifica Touring L, 16995, Excellent Price, 64198, 
Used 2019 Chrysler, 300 Touring RWD, 15995, Great Price, 64411, 
Used 2019 Chrysler, 300 Limited RWD, 12750, Excellent Price, 110294, 
Used 2019 Chrysler, Pacifica Touring L, 18499, Great Price, 75236, 
Used 2019 Chrysler, Pacifica Touring L, 17995, Excellent Price, 40626, 
Used 2019 Chrysler, Pacifica Touring L, 12995, Great Price, 96026, 
Used 2019 Chrysler, Pacifica Touring L Plus, 13990, Great Price, 101829, 
Used 2019 Chrysler, Pacifica Touring L, 10495, Excellent Price, 140283, 
Used 2019 Chrysler, Pacifica Hybrid Touring Plus, 17995, Excellent Price, 70369, 
Used 2019 Chrysler, Pacifica Touring L, 26998, Fair Price, 34366, 
Used 2019 Chrysler, Pacifica Touring L, 16990, Excellent Price, 100324, 
Used 2019 Chrysler, Pacifica Touring L Plus, 24959, Excellent Price, 20520, 
Used 2019 Chrysler, Pacifica Hybrid Limited, 22155, Great Price, 69713, 
Used 2019 Chrysler, 300 Limited RWD, 20598, Great Price, 65603, 
Used 2019 Chrysler, 300 Touring RWD, 11999, Great Price, 118501, 
Used 2019 Chrysler, Pacifica Touring L, 13995, High Price, 92230, 
Used 2019 Chrysler, Pacifica Touring L, 19999, Great Price, 62994, 
Used 2019 Chrysler, Pacifica Limited, 19995, High Price, 78318, 
Used 2019 Chrysler, Pacifica Touring L Plus, 17499, High Price, 82568, 
Used 2019 Chrysler, Pacifica Touring Plus, 14999, High Price, 87210, 
Used 2019 Chrysler, Pacifica Touring L, 14700, High Price, 104078, 
Used 2019 Chrysler, Pacifica Touring L, 18869, High Price, 32318, 
Used 2019 Chrysler, Pacifica L, 13450, High Price, 117623, 
