Year/Make, Model, Price, Rating, Mileage
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 25995, Great Price, 6979, 
Used 2024 Hyundai, IONIQ 5 SEL AWD, 29995, Excellent Price, 9231, 
Used 2024 Hyundai, Venue Limited IVT, 14999, Excellent Price, 41595, 
Used 2024 Hyundai, Santa Cruz SEL AWD, 22911, Excellent Price, 26817, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 35564, Excellent Price, 7975, 
Used 2024 Hyundai, Tucson Plug-In Hybrid Limited AWD, 34700, Excellent Price, 3051, 
Used 2024 Hyundai, Elantra SEL IVT, 16800, Excellent Price, 40545, 
Used 2024 Hyundai, Tucson Limited AWD, 23199, Great Price, 46108, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 36304, Excellent Price, 11500, 
Used 2024 Hyundai, Kona SEL AWD, 20590, Excellent Price, 9903, 
Used 2024 Hyundai, Kona Limited AWD, 23751, Excellent Price, 7054, 
Used 2024 Hyundai, Tucson SEL AWD Limited Availability, 18957, Excellent Price, 55532, 
Used 2024 Hyundai, Elantra SEL IVT, 16990, Great Price, 34306, 
Used 2024 Hyundai, Venue Limited IVT, 18495, Great Price, 9034, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 38595, Excellent Price, 24856, 
Used 2024 Hyundai, Tucson Hybrid SEL Convenience AWD, 26904, Excellent Price, 16766, 
Used 2024 Hyundai, Tucson Limited AWD, 25588, Excellent Price, 26405, 
Used 2024 Hyundai, Venue SEL IVT, 19324, Great Price, 2582, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 38000, Great Price, 3297, 
Used 2024 Hyundai, Tucson SEL FWD Limited Availability, 17807, Great Price, 43750, 
Used 2024 Hyundai, Santa Fe Calligraphy AWD, 37000, Great Price, 4107, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 40994, Great Price, 18231, 
Used 2024 Hyundai, Santa Cruz XRT AWD, 31000, Great Price, 3107, 
Used 2024 Hyundai, Tucson Limited AWD, 29405, Excellent Price, 7100, 
Used 2024 Hyundai, Elantra Limited IVT, 16726, Great Price, 50014, 
Used 2024 Hyundai, Sonata SEL FWD, 22904, Great Price, 4483, 
Used 2024 Hyundai, Sonata SEL FWD, 21223, Excellent Price, 6363, 
Used 2024 Hyundai, Kona SEL AWD, 21994, Excellent Price, 8317, 
Used 2024 Hyundai, Palisade Calligraphy AWD, 42759, Great Price, 8200, 
Used 2024 Hyundai, Tucson Limited AWD, 23990, Great Price, 51660, 
Used 2024 Hyundai, Kona SEL AWD, 20859, Great Price, 9270, 
