Year/Make, Model, Price, Rating, Mileage
Used 2021 Jaguar, XF R-Dynamic SE Sedan AWD, 28980, Excellent Price, 14184, 
Used 2021 Jaguar, F-PACE P250 S AWD, 24485, Excellent Price, 63953, 
Used 2021 Jaguar, F-PACE P250 S AWD, 24995, Great Price, 62850, 
Used 2021 Jaguar, F-PACE P250 S AWD, 32894, Great Price, 18436, 
Used 2021 Jaguar, F-TYPE First Edition Convertible RWD, 39130, Excellent Price, 18694, 
Used 2021 Jaguar, E-PACE P300 300 Sport, 28763, Fair Price, 26458, 
Used 2021 Jaguar, F-PACE P340 S AWD, 30999, Fair Price, 52915, 
Used 2021 Jaguar, F-PACE P250 S AWD, 29688, Great Price, 57442, 
Used 2021 Jaguar, F-PACE P340 S AWD, 34990, Great Price, 42263, 
Used 2021 Jaguar, XF R-Dynamic SE Sedan AWD, 32888, High Price, 11789, 
Used 2021 Jaguar, E-PACE P250 SE, 32236, High Price, 14268, 
Used 2021 Jaguar, XF R-Dynamic SE Sedan AWD, 36500, High Price, 32091, 
