Year/Make, Model, Price, Rating, Mileage
Used 2022 Kia, K5 GT-Line FWD, 21595, Great Price, 13565, 
Used 2022 Kia, Telluride S AWD, 30988, Excellent Price, 25367, 
Used 2022 Kia, Sportage Nightfall AWD, 21282, Excellent Price, 25451, 
Used 2022 Kia, Soul LX IVT, 9995, Excellent Price, 99565, 
Used 2022 Kia, Forte LXS IVT, 10457, Excellent Price, 97188, 
Used 2022 Kia, K5 GT-Line FWD, 20205, Excellent Price, 24105, 
Used 2022 Kia, Forte GT-Line IVT, 17995, Excellent Price, 36262, 
Used 2022 Kia, Niro Hybrid LXS, 11727, Excellent Price, 101017, 
Used 2022 Kia, Forte GT-Line IVT, 16401, Excellent Price, 44152, 
Used 2022 Kia, Telluride SX AWD, 32350, Excellent Price, 43815, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 28998, Excellent Price, 20076, 
Used 2022 Kia, Seltos EX 2.0 AWD, 19200, Excellent Price, 17332, 
Used 2022 Kia, Sportage Nightfall AWD, 17995, Excellent Price, 61571, 
Used 2022 Kia, Telluride EX AWD, 33895, Great Price, 24547, 
Used 2022 Kia, K5 LXS AWD, 20495, Excellent Price, 22769, 
Used 2022 Kia, Soul LX IVT, 13050, Excellent Price, 77954, 
Used 2022 Kia, Forte GT-Line IVT, 18395, Great Price, 26173, 
Used 2022 Kia, Forte LXS IVT, 16895, Great Price, 22809, 
Used 2022 Kia, Forte GT-Line IVT, 18495, Great Price, 31702, 
Used 2022 Kia, Sorento Hybrid S AWD, 23798, Excellent Price, 33747, 
Used 2022 Kia, Telluride S AWD, 28495, Great Price, 51035, 
Used 2022 Kia, Telluride EX AWD, 33895, Great Price, 19531, 
Used 2022 Kia, Forte GT-Line IVT, 17995, Great Price, 43899, 
Used 2022 Kia, Sorento Hybrid S AWD, 19603, Excellent Price, 117410, 
Used 2022 Kia, Forte GT-Line IVT, 19495, Great Price, 17975, 
Used 2022 Kia, Sorento X-Line S AWD, 27895, Great Price, 18904, 
Used 2022 Kia, Forte GT-Line IVT, 18500, Great Price, 33479, 
Used 2022 Kia, Niro Hybrid LXS, 12499, Excellent Price, 121552, 
Used 2022 Kia, Sorento X-Line S AWD, 26895, Great Price, 30364, 
Used 2022 Kia, Sorento X-Line EX AWD, 27509, Excellent Price, 15798, 
Used 2022 Kia, K5 GT-Line FWD, 15990, Excellent Price, 104995, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 23982, Excellent Price, 85334, 
Used 2022 Kia, Forte GT-Line IVT, 18959, Great Price, 31085, 
Used 2022 Kia, Forte GT-Line IVT, 18105, Excellent Price, 26603, 
Used 2022 Kia, Forte LXS IVT, 14499, Excellent Price, 66919, 
Used 2022 Kia, Soul LX IVT, 9995, Excellent Price, 99565, 
Used 2022 Kia, K5 GT-Line FWD, 22995, Great Price, 32475, 
Used 2022 Kia, Sorento SX AWD, 30995, Great Price, 18684, 
Used 2022 Kia, Stinger GT2 RWD, 27675, Great Price, 68342, 
Used 2022 Kia, Sorento Hybrid S AWD, 19603, Excellent Price, 117410, 
Used 2022 Kia, Sorento X-Line EX AWD, 28899, Great Price, 27477, 
Used 2022 Kia, Forte GT-Line IVT, 18595, Fair Price, 25110, 
Used 2022 Kia, Forte LXS IVT, 16995, Fair Price, 29777, 
Used 2022 Kia, Niro Hybrid LXS, 12499, Excellent Price, 121552, 
Used 2022 Kia, Forte GT-Line IVT, 18500, Great Price, 33479, 
Used 2022 Kia, Forte GT-Line IVT, 18959, Great Price, 31085, 
Used 2022 Kia, Telluride EX AWD, 30495, Great Price, 51572, 
Used 2022 Kia, Telluride LX AWD, 24995, Fair Price, 73715, 
Used 2022 Kia, Sportage Nightfall AWD, 18500, Great Price, 74186, 
Used 2022 Kia, Forte LXS IVT, 10999, Excellent Price, 108144, 
Used 2022 Kia, Telluride EX AWD, 27959, Great Price, 82672, 
Used 2022 Kia, Sorento X-Line S AWD, 25998, Fair Price, 33560, 
Used 2022 Kia, K5 LXS FWD, 19503, Excellent Price, 23314, 
Used 2022 Kia, K5 GT-Line FWD, 23888, Fair Price, 8251, 
Used 2022 Kia, Seltos LX 2.0 AWD, 16490, Great Price, 48805, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 29995, Excellent Price, 53241, 
Used 2022 Kia, K5 GT-Line AWD, 20428, Excellent Price, 48705, 
Used 2022 Kia, Soul LX IVT, 13959, Great Price, 67186, 
Used 2022 Kia, Telluride S AWD, 25895, Fair Price, 82331, 
Used 2022 Kia, K5 GT-Line FWD, 21595, Great Price, 13565, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 33895, Fair Price, 14752, 
Used 2022 Kia, Forte GT-Line IVT, 20998, Fair Price, 22613, 
Used 2022 Kia, Sorento SX AWD, 31985, Fair Price, 22941, 
Used 2022 Kia, Soul LX IVT, 14490, Great Price, 61720, 
Used 2022 Kia, Sorento LX AWD, 26459, Great Price, 6393, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 23982, Excellent Price, 85334, 
Used 2022 Kia, Forte LXS IVT, 12379, Excellent Price, 107795, 
Used 2022 Kia, EV6 Wind AWD, 16999, Excellent Price, 38745, 
Used 2022 Kia, Sorento LX AWD, 26459, Great Price, 6393, 
Used 2022 Kia, Sorento SX AWD, 31400, Great Price, 11090, 
Used 2022 Kia, K5 GT-Line FWD, 23888, Fair Price, 8251, 
Used 2022 Kia, Forte LXS IVT, 14995, Excellent Price, 28742, 
Used 2022 Kia, Sorento X-Line S AWD, 25998, Fair Price, 33560, 
Used 2022 Kia, Telluride LX AWD, 24995, Fair Price, 73715, 
Used 2022 Kia, EV6 Wind AWD, 22888, Great Price, 52073, 
Used 2022 Kia, Telluride S AWD, 25895, Fair Price, 82331, 
Used 2022 Kia, Forte LXS IVT, 14888, Great Price, 28969, 
Used 2022 Kia, Forte GT-Line IVT, 15995, Great Price, 43451, 
Used 2022 Kia, Carnival LXS, 27468, Great Price, 38090, 
Used 2022 Kia, Sorento X-Line SX Prestige AWD, 28648, Excellent Price, 43871, 
Used 2022 Kia, Carnival LXS, 26450, Excellent Price, 39703, 
Used 2022 Kia, Telluride EX AWD, 34900, Great Price, 24259, 
Used 2022 Kia, Forte LXS IVT, 10999, Excellent Price, 108144, 
Used 2022 Kia, Forte GT-Line IVT, 20998, Fair Price, 22613, 
Used 2022 Kia, Sorento LX AWD, 23455, Great Price, 38645, 
Used 2022 Kia, Sorento SX AWD, 31985, Fair Price, 22941, 
Used 2022 Kia, Soul S IVT, 16524, Excellent Price, 35320, 
Used 2022 Kia, Sportage SX Turbo AWD, 23897, Excellent Price, 3596, 
Used 2022 Kia, K5 GT-Line FWD, 24750, Great Price, 16999, 
