Year/Make, Model, Price, Rating, Mileage
Used 2021 Nissan, Armada Platinum 4WD, 40995, Excellent Price, 16952, 
Used 2021 Nissan, Rogue SV AWD, 16995, Excellent Price, 40233, 
Used 2021 Nissan, Rogue S AWD, 18998, Excellent Price, 42749, 
Used 2021 Nissan, Versa SV CVT, 10000, Excellent Price, 62966, 
Used 2021 Nissan, Rogue SV AWD, 16995, Excellent Price, 40233, 
Used 2021 Nissan, Sentra SV CVT, 12995, Excellent Price, 56665, 
Used 2021 Nissan, Rogue SV AWD, 17484, Excellent Price, 27259, 
Used 2021 Nissan, Rogue SV AWD, 17495, Excellent Price, 50389, 
Used 2021 Nissan, Rogue S AWD, 17799, Excellent Price, 51359, 
Used 2021 Nissan, Maxima Platinum, 24295, Excellent Price, 51134, 
Used 2021 Nissan, Rogue SV AWD, 18995, Excellent Price, 64339, 
Used 2021 Nissan, Rogue SV AWD, 13999, Excellent Price, 33165, 
Used 2021 Nissan, Armada Platinum 4WD, 40995, Excellent Price, 16952, 
Used 2021 Nissan, Altima 2.5 S FWD, 11499, Excellent Price, 111396, 
Used 2021 Nissan, Rogue Sport S AWD, 16278, Excellent Price, 25992, 
Used 2021 Nissan, Rogue S AWD, 18255, Excellent Price, 46259, 
Used 2021 Nissan, Altima 2.5 SL AWD, 18988, Great Price, 35101, 
Used 2021 Nissan, Rogue SV AWD, 18995, Great Price, 38531, 
Used 2021 Nissan, Rogue SV AWD, 15895, Great Price, 113535, 
Used 2021 Nissan, Rogue SV AWD, 16517, Great Price, 90910, 
Used 2021 Nissan, Rogue S AWD, 12995, Excellent Price, 111583, 
Used 2021 Nissan, Rogue Sport SL AWD, 19900, Excellent Price, 48958, 
Used 2021 Nissan, Rogue SV AWD, 18995, Excellent Price, 59637, 
Used 2021 Nissan, Sentra SV CVT, 12995, Great Price, 63519, 
Used 2021 Nissan, Rogue SV AWD, 14888, Excellent Price, 38622, 
Used 2021 Nissan, Altima 2.5 S FWD, 17995, Excellent Price, 11838, 
Used 2021 Nissan, Altima 2.5 SV FWD, 18478, Excellent Price, 28805, 
Used 2021 Nissan, Sentra SV CVT, 15547, Great Price, 32321, 
Used 2021 Nissan, Rogue S AWD, 18587, Great Price, 34503, 
Used 2021 Nissan, Rogue Sport S AWD, 14588, Excellent Price, 59423, 
Used 2021 Nissan, Rogue Sport SV AWD, 14677, Excellent Price, 53257, 
Used 2021 Nissan, Rogue SV AWD, 20995, Great Price, 36430, 
Used 2021 Nissan, Rogue SV AWD, 16995, Great Price, 103703, 
Used 2021 Nissan, Rogue SV AWD, 21896, Great Price, 45648, 
Used 2021 Nissan, Rogue S AWD, 17799, Excellent Price, 51359, 
Used 2021 Nissan, Versa SV CVT, 11495, Excellent Price, 57766, 
Used 2021 Nissan, Rogue SV AWD, 18995, Great Price, 38531, 
Used 2021 Nissan, Rogue Sport SV AWD, 16998, Excellent Price, 49913, 
Used 2021 Nissan, Rogue SV AWD, 18995, Great Price, 77153, 
Used 2021 Nissan, Rogue S AWD, 18587, Great Price, 34503, 
Used 2021 Nissan, Versa SV CVT, 9495, Excellent Price, 84172, 
Used 2021 Nissan, Rogue SV AWD, 19522, Excellent Price, 36001, 
Used 2021 Nissan, Rogue SV AWD, 16995, Great Price, 103703, 
Used 2021 Nissan, Altima 2.5 Platinum AWD, 20995, Excellent Price, 61193, 
Used 2021 Nissan, Rogue Platinum AWD, 19690, Excellent Price, 74407, 
Used 2021 Nissan, Maxima SV, 17994, Excellent Price, 83797, 
Used 2021 Nissan, Rogue SV AWD, 14888, Excellent Price, 38622, 
Used 2021 Nissan, Altima 2.5 Platinum AWD, 21559, Great Price, 49333, 
Used 2021 Nissan, Rogue SV AWD, 17001, Great Price, 57423, 
Used 2021 Nissan, Altima 2.5 SL FWD, 16995, Excellent Price, 46567, 
Used 2021 Nissan, Rogue Sport SV AWD, 13994, Excellent Price, 78419, 
Used 2021 Nissan, Altima 2.5 Platinum AWD, 23995, Great Price, 25268, 
Used 2021 Nissan, Altima 2.5 SR FWD, 18198, Great Price, 47863, 
Used 2021 Nissan, Versa SV CVT, 9994, Excellent Price, 101438, 
Used 2021 Nissan, Sentra SR CVT, 18998, Great Price, 41517, 
Used 2021 Nissan, Rogue S AWD, 20759, Great Price, 21533, 
Used 2021 Nissan, Rogue SV AWD, 20588, Great Price, 39949, 
Used 2021 Nissan, Sentra S CVT, 13400, Excellent Price, 61141, 
Used 2021 Nissan, Rogue S AWD, 20332, Fair Price, 14173, 
Used 2021 Nissan, Rogue SV AWD, 17900, Great Price, 60186, 
Used 2021 Nissan, Rogue SV AWD, 17880, Excellent Price, 99883, 
Used 2021 Nissan, Rogue SV AWD, 17997, Great Price, 74725, 
Used 2021 Nissan, Versa SV CVT, 11900, Excellent Price, 43685, 
Used 2021 Nissan, Sentra SV CVT, 15033, Great Price, 52065, 
Used 2021 Nissan, Rogue SV AWD, 21896, Great Price, 45648, 
Used 2021 Nissan, Altima 2.5 SV AWD, 16995, Great Price, 30083, 
Used 2021 Nissan, Rogue SV AWD, 18995, Excellent Price, 59637, 
