Year/Make, Model, Price, Rating, Mileage
Used 2021 Subaru, Outback 2.5i Limited, 26011, Great Price, 28569
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 23830, Great Price, 33011
Used 2021 Subaru, Outback 2.4T Onyx Edition XT, 24757, Excellent Price, 36214
Used 2021 Subaru, Forester 2.5i Premium, 20775, Excellent Price, 31745
Used 2021 Subaru, Forester 2.5i Premium, 17447, Excellent Price, 84522
Used 2021 Subaru, Crosstrek 2.5i Sport CVT, 21995, Excellent Price, 57680
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 23995, Great Price, 10071
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 21998, Excellent Price, 28825
Used 2021 Subaru, Impreza 2.0i Premium 4-door CVT, 11999, Excellent Price, 93635
Used 2021 Subaru, Outback 2.5i Limited, 24395, Great Price, 25601
Used 2021 Subaru, Outback 2.4T Onyx Edition XT, 24757, Excellent Price, 36214
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 23875, Great Price, 15483
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 18995, Great Price, 94481
Used 2021 Subaru, Forester 2.5i Premium, 20995, Excellent Price, 60222
Used 2021 Subaru, Crosstrek Hybrid, 26211, Great Price, 17014
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 23830, Great Price, 33011
Used 2021 Subaru, Forester 2.5i Premium, 20995, Fair Price, 81708
Used 2021 Subaru, Forester 2.5i Limited, 24500, Great Price, 34326
Used 2021 Subaru, Outback 2.5i Limited, 26011, Great Price, 28569
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 22066, Great Price, 22120
Used 2021 Subaru, Ascent Premium 8-Passenger, 17499, Fair Price, 97703
Used 2021 Subaru, WRX Manual, 19900, Excellent Price, 56837
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 24996, Fair Price, 34346
Used 2021 Subaru, Outback 2.4T Limited XT, 26981, Great Price, 26730
Used 2021 Subaru, WRX STI Limited Manual with Wing Spoiler, 30995, Great Price, 55790
Used 2021 Subaru, Crosstrek Hybrid, 23459, Great Price, 41618
Used 2021 Subaru, Outback 2.5i Limited, 19495, Fair Price, 76913
Used 2021 Subaru, Outback 2.4T Onyx Edition XT, 23995, Fair Price, 48965
Used 2021 Subaru, Forester 2.5i Premium, 26996, Fair Price, 11271
Used 2021 Subaru, WRX Manual, 23886, Fair Price, 20614
Used 2021 Subaru, Outback 2.5i Touring, 25797, Fair Price, 35780
Used 2021 Subaru, Crosstrek 2.0i Manual, 22998, Great Price, 46848
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 23495, Fair Price, 43530
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 23678, Fair Price, 38558
Used 2021 Subaru, Outback 2.4T Touring XT, 27990, Great Price, 43751
Used 2021 Subaru, Outback 2.4T Touring XT, 25970, Fair Price, 64036
Used 2021 Subaru, Forester 2.5i Limited, 16499, Great Price, 116829
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 19998, Fair Price, 75040
Used 2021 Subaru, Legacy 2.5i Sport, 20998, Fair Price, 69740
Used 2021 Subaru, WRX Limited Manual, 19995, Excellent Price, 55439
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 25900, Excellent Price, 5877
Used 2021 Subaru, Outback 2.5i Premium, 25998, Fair Price, 13045
Used 2021 Subaru, Forester 2.5i Limited, 25350, Fair Price, 33621
Used 2021 Subaru, Forester 2.5i Premium, 23998, Fair Price, 54122
Used 2021 Subaru, Forester 2.5i Touring, 27995, Fair Price, 26375
Used 2021 Subaru, Impreza 2.0i 5-door CVT, 19998, Fair Price, 36512
Used 2021 Subaru, Forester 2.5i Limited, 27450, Fair Price, 18583
Used 2021 Subaru, Outback 2.4T Onyx Edition XT, 24294, Great Price, 46336
Used 2021 Subaru, Outback 2.4T Touring XT, 22980, Fair Price, 71702
Used 2021 Subaru, Forester 2.5i Premium, 24988, Great Price, 36749
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 25449, Great Price, 57496
Used 2021 Subaru, Outback 2.4T Onyx Edition XT, 21499, High Price, 81101
Used 2021 Subaru, Outback 2.4T Onyx Edition XT, 24996, Great Price, 50915
Used 2021 Subaru, Forester 2.5i Limited, 27935, Great Price, 41156
Used 2021 Subaru, Forester 2.5i Touring, 22195, Fair Price, 73589
Used 2021 Subaru, Forester 2.5i Touring, 23595, Fair Price, 55948
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 19996, High Price, 107708
Used 2021 Subaru, Forester 2.5i Limited, 24990, Excellent Price, 32784
Used 2021 Subaru, Impreza 2.0i Sport 5-door CVT, 18231, Great Price, 64696
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 24299, Fair Price, 29774
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 23000, Great Price, 58495
Used 2021 Subaru, Forester 2.5i Premium, 15995, Excellent Price, 91182
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 21817, Great Price, 60392
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 22995, High Price, 53928
Used 2021 Subaru, Impreza 2.0i Premium 5-door CVT, 18862, Fair Price, 49120
Used 2021 Subaru, Legacy 2.5i Premium, 18785, Great Price, 63244
Used 2021 Subaru, Ascent Touring 7-Passenger, 28708, Great Price, 38488
Used 2021 Subaru, Ascent Touring 7-Passenger, 22560, Great Price, 99416
Used 2021 Subaru, Forester 2.5i Sport, 22495, Excellent Price, 21104
Used 2021 Subaru, Forester 2.5i Sport, 24995, High Price, 64692
Used 2021 Subaru, Ascent Limited 8-Passenger, 28346, Great Price, 33573
Used 2021 Subaru, Forester 2.5i Sport, 20599, Fair Price, 88911
Used 2021 Subaru, Ascent Premium 8-Passenger, 22300, Excellent Price, 60924
Used 2021 Subaru, Forester 2.5i, 18999, Fair Price, 56129
Used 2021 Subaru, Forester 2.5i Touring, 24995, Excellent Price, 57311
Used 2021 Subaru, Forester 2.5i Limited, 27995, High Price, 50720
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 21995, Fair Price, 41024
Used 2021 Subaru, WRX STI Manual, 33595, High Price, 47975
Used 2021 Subaru, Forester 2.5i Premium, 21490, Great Price, 52740
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 21472, Great Price, 62909
Used 2021 Subaru, Ascent Touring 7-Passenger, 27687, High Price, 61700
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 21995, Great Price, 48398
Used 2021 Subaru, WRX Premium Manual, 22999, Fair Price, 54672
Used 2021 Subaru, Legacy 2.4T Limited XT, 26995, Fair Price, 33961
Used 2021 Subaru, Outback 2.5i Limited, 24125, Excellent Price, 41152
Used 2021 Subaru, Forester 2.5i Premium, 24998, Great Price, 25429
Used 2021 Subaru, Forester 2.5i Touring, 27998, Fair Price, 49176
Used 2021 Subaru, Crosstrek 2.0i CVT, 19795, Great Price, 34179
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 24799, Fair Price, 24455
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 18399, Great Price, 75523
Used 2021 Subaru, Outback 2.5i Premium, 27111, Fair Price, 34422
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 23602, Fair Price, 47214
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 22759, Great Price, 28134
Used 2021 Subaru, Ascent Touring 7-Passenger, 28240, Great Price, 51813
Used 2021 Subaru, Impreza 2.0i 5-door CVT, 20998, Fair Price, 36592
Used 2021 Subaru, Forester 2.5i Touring, 27585, Fair Price, 35132
Used 2021 Subaru, Impreza 2.0i Premium 5-door CVT, 17847, Fair Price, 50985
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 26500, Fair Price, 8036
Used 2021 Subaru, Impreza 2.0i 5-door CVT, 16713, Fair Price, 63005
Used 2021 Subaru, Ascent Touring 7-Passenger, 28281, Excellent Price, 41678
Used 2021 Subaru, Legacy 2.5i Premium, 18459, High Price, 75225
Used 2021 Subaru, Forester 2.5i Limited, 29998, Fair Price, 21322
Used 2021 Subaru, Crosstrek 2.0i CVT, 22998, Fair Price, 43622
Used 2021 Subaru, Ascent Touring 7-Passenger, 29289, Fair Price, 46410
Used 2021 Subaru, Legacy 2.5i Premium, 20678, Great Price, 46350
Used 2021 Subaru, WRX Manual, 19550, Fair Price, 74307
Used 2021 Subaru, Forester 2.5i Sport, 26455, Fair Price, 59445
Used 2021 Subaru, Outback 2.4T Touring XT, 27995, Fair Price, 40205
Used 2021 Subaru, Ascent Limited 7-Passenger, 27359, Fair Price, 50495
Used 2021 Subaru, Forester 2.5i Limited, 22577, Excellent Price, 51388
Used 2021 Subaru, Forester 2.5i Sport, 24102, Great Price, 61817
Used 2021 Subaru, Ascent Premium 8-Passenger, 25451, Great Price, 44465
Used 2021 Subaru, Outback 2.5i Limited, 20997, Fair Price, 81228
Used 2021 Subaru, Forester 2.5i Premium, 20983, Great Price, 61247
Used 2021 Subaru, Ascent Limited 8-Passenger, 27995, Great Price, 32497
Used 2021 Subaru, Ascent Touring 7-Passenger, 26462, Great Price, 74880
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 24881, Fair Price, 22614
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 26666, High Price, 46512
Used 2021 Subaru, Outback 2.5i Premium, 23869, Fair Price, 31053
Used 2021 Subaru, Crosstrek 2.5i Limited CVT, 24914, Fair Price, 34953
Used 2021 Subaru, Ascent Limited 7-Passenger, 28301, Great Price, 32436
Used 2021 Subaru, Forester 2.5i Premium, 22483, Fair Price, 51637
Used 2021 Subaru, Outback 2.4T Touring XT, 25970, Fair Price, 64036
Used 2021 Subaru, Outback 2.4T Touring XT, 27990, Great Price, 43751
Used 2021 Subaru, Ascent Limited 7-Passenger, 27026, Great Price, 48631
Used 2021 Subaru, WRX STI Manual, 34999, Fair Price, 31653
Used 2021 Subaru, Ascent Limited 7-Passenger, 26999, Fair Price, 50585
Used 2021 Subaru, Ascent Limited 8-Passenger, 27995, Great Price, 32497
Used 2021 Subaru, Outback 2.5i Premium, 16977, Fair Price, 131989
Used 2021 Subaru, WRX STI Manual, 32957, High Price, 38108
Used 2021 Subaru, Crosstrek 2.5i Sport CVT, 18000, Great Price, 105208
Used 2021 Subaru, Impreza 2.0i Premium 5-door CVT, 17847, Fair Price, 50985
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 23678, Fair Price, 38558
Used 2021 Subaru, Outback 2.5i Premium, 18995, High Price, 77518
Used 2021 Subaru, Forester 2.5i Sport, 23495, High Price, 72743
Used 2021 Subaru, Impreza 2.0i 5-door CVT, 16713, Fair Price, 63005
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 23499, High Price, 33699
Used 2021 Subaru, Outback 2.4T Touring XT, 25291, Excellent Price, 61658
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 24220, Fair Price, 30646
Used 2021 Subaru, Forester 2.5i, 21995, Great Price, 34357
Used 2021 Subaru, Impreza 2.0i Limited 4-door CVT, 24999, High Price, 24094
Used 2021 Subaru, Forester 2.5i, 22966, Fair Price, 36300
Used 2021 Subaru, Impreza 2.0i 5-door CVT, 22995, High Price, 8177
Used 2021 Subaru, Outback 2.5i Premium, 20470, High Price, 83049
Used 2021 Subaru, Forester 2.5i Premium, 22483, Fair Price, 51637
Used 2021 Subaru, Crosstrek 2.5i Sport CVT, 24806, Fair Price, 29227
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 23895, Fair Price, 15994
Used 2021 Subaru, Forester 2.5i Premium, 24999, High Price, 62781
Used 2021 Subaru, Forester 2.5i Premium, 22980, Great Price, 55668
Used 2021 Subaru, Forester 2.5i Touring, 26690, Fair Price, 59803
Used 2021 Subaru, Outback 2.5i Premium, 21441, Great Price, 67346
Used 2021 Subaru, Outback 2.5i Limited, 24385, Great Price, 28820
Used 2021 Subaru, WRX STI Manual, 41805, High Price, 26829
Used 2021 Subaru, WRX Premium Manual, 29976, High Price, 39760
Used 2021 Subaru, Outback 2.5i Premium, 15995, Great Price, 92400
Used 2021 Subaru, Forester 2.5i Limited, 24546, High Price, 82926
Used 2021 Subaru, Forester 2.5i, 22966, Fair Price, 36300
Used 2021 Subaru, Outback 2.5i, 25287, High Price, 23192
Used 2021 Subaru, Outback 2.5i Premium, 15995, Great Price, 92400
Used 2021 Subaru, Outback 2.5i Premium, 21441, Great Price, 67346
Used 2021 Subaru, Crosstrek 2.5i Sport CVT, 24806, Fair Price, 29227
Used 2021 Subaru, Forester 2.5i Touring, 26690, Fair Price, 59803
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 23422, Fair Price, 32179
Used 2021 Subaru, Ascent Premium 7-Passenger, 25990, Great Price, 39427
Used 2021 Subaru, Forester 2.5i Limited, 24546, High Price, 82926
Used 2021 Subaru, Forester 2.5i Premium, 20195, Fair Price, 44591
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 20995, Fair Price, 51611
Used 2021 Subaru, Outback 2.5i Premium, 23204, Fair Price, 53686
Used 2021 Subaru, Impreza 2.0i 5-door CVT, 18215, Excellent Price, 33221
Used 2021 Subaru, Impreza 2.0i Premium 5-door CVT, 21995, High Price, 51199
Used 2021 Subaru, Forester 2.5i Premium, 25998, Fair Price, 24830
Used 2021 Subaru, Ascent Premium 7-Passenger, 26997, High Price, 47030
Used 2021 Subaru, Outback 2.5i Premium, 23717, High Price, 61469
Used 2021 Subaru, Ascent Limited 8-Passenger, 29036, High Price, 38042
Used 2021 Subaru, Impreza 2.0i 5-door CVT, 15122, High Price, 98069
Used 2021 Subaru, Forester 2.5i Premium, 21990, Fair Price, 63277
Used 2021 Subaru, Legacy 2.5i, 20688, High Price, 55257
Used 2021 Subaru, Legacy 2.5i Premium, 17995, Fair Price, 81483
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 22990, Fair Price, 48884
Used 2021 Subaru, WRX Manual, 21995, High Price, 56872
Used 2021 Subaru, Ascent Premium 7-Passenger, 21245, Fair Price, 85050
Used 2021 Subaru, Crosstrek 2.0i CVT, 22995, High Price, 34993
Used 2021 Subaru, Forester 2.5i Limited, 19995, High Price, 111744
Used 2021 Subaru, Legacy 2.5i Limited, 22881, Fair Price, 56550
Used 2021 Subaru, Legacy 2.5i, 20688, High Price, 55257
Used 2021 Subaru, Crosstrek 2.0i Premium CVT, 15799, High Price, 81717
Used 2021 Subaru, WRX Manual, 24000, Fair Price, 47520
