Year/Make, Model, Price, Rating, Mileage
Used 2018 Honda, CR-V EX-L AWD, 20990, Excellent Price, 64134, 
Used 2018 Honda, CR-V EX-L AWD, 17500, Excellent Price, 125183, 
Used 2018 Honda, Civic LX Sedan CVT, 16843, Excellent Price, 59622, 
Used 2018 Honda, Civic LX Sedan CVT, 14500, Great Price, 98105, 
Used 2018 Honda, Clarity Plug-In Hybrid, 21998, Excellent Price, 53105, 
Used 2018 Honda, Pilot EX-L AWD, 24400, Great Price, 55250, 
Used 2018 Honda, Civic LX Sedan CVT, 17200, Great Price, 56329, 
Used 2018 Honda, Civic Touring Sedan CVT, 16395, Great Price, 121454, 
Used 2018 Honda, Accord Hybrid EX-L, 18800, Great Price, 114603, 
Used 2018 Honda, Accord LX 1.5T CVT, 16300, Fair Price, 133904, 
Used 2018 Honda, Accord EX-L with Navigation 1.5T CVT, 24998, Fair Price, 57486, 
Used 2018 Honda, CR-V EX-L AWD, 23997, Fair Price, 50171, 
Used 2018 Honda, Pilot Touring AWD, 23095, Excellent Price, 94365, 
Used 2018 Honda, Accord Touring 1.5T CVT, 21998, Fair Price, 108117, 
Used 2018 Honda, Accord Touring 1.5T CVT, 25495, Great Price, 36305, 
Used 2018 Honda, Accord Sport 1.5T CVT, 20893, Fair Price, 88503, 
Used 2018 Honda, Accord EX 1.5T CVT, 21295, Great Price, 78039, 
Used 2018 Honda, Accord EX-L 1.5T CVT, 23200, Fair Price, 52667, 
Used 2018 Honda, Pilot EX FWD, 20998, Fair Price, 86547, 
Used 2018 Honda, Accord Sport 1.5T CVT, 15895, Great Price, 139401, 
Used 2018 Honda, Civic EX Hatchback CVT, 19998, High Price, 95633, 
Used 2018 Honda, HR-V LX FWD CVT, 17550, Fair Price, 48939, 
Used 2018 Honda, Civic Sport Touring Hatchback CVT, 21998, Great Price, 76564, 
Used 2018 Honda, Accord Sport 2.0T Automatic, 22998, High Price, 92511, 
Used 2018 Honda, Ridgeline Black Edition AWD, 24989, Great Price, 89996, 
Used 2018 Honda, Pilot LX FWD, 18750, Great Price, 72871, 
Used 2018 Honda, Accord LX 1.5T CVT, 16800, High Price, 126654, 
Used 2018 Honda, Accord LX 1.5T CVT, 24998, Great Price, 5128, 
Used 2018 Honda, Civic LX Sedan CVT, 17998, High Price, 104606, 
Used 2018 Honda, Accord LX 1.5T CVT, 17228, High Price, 123449, 
Used 2018 Honda, Odyssey Elite, 21200, Great Price, 130189, 
Used 2018 Honda, Accord Touring 1.5T CVT, 20999, Great Price, 75771, 
Used 2018 Honda, Civic Si Sedan Manual, 18990, High Price, 117104, 
Used 2018 Honda, Accord LX 1.5T CVT, 23895, High Price, 38896, 
Used 2018 Honda, Civic LX Sedan CVT, 16995, Great Price, 66297, 
Used 2018 Honda, CR-V EX AWD, 17450, Excellent Price, 107098, 
Used 2018 Honda, CR-V EX-L AWD, 18163, Great Price, 112491, 
Used 2018 Honda, CR-V LX AWD, 18995, Fair Price, 80627, 
Used 2018 Honda, Civic EX-T Coupe CVT, 18500, Fair Price, 89192, 
Used 2018 Honda, Pilot EX-L AWD, 22300, Great Price, 74903, 
Used 2018 Honda, Civic Si Sedan Manual, 20733, Fair Price, 81140, 
Used 2018 Honda, Pilot Touring AWD, 24983, Fair Price, 79105, 
Used 2018 Honda, HR-V LX AWD CVT, 20998, Fair Price, 15497, 
Used 2018 Honda, Odyssey EX-L, 22500, High Price, 108529, 
Used 2018 Honda, CR-V EX FWD, 19995, High Price, 92208, 
Used 2018 Honda, Accord LX 1.5T CVT, 14986, Fair Price, 134115, 
Used 2018 Honda, Accord EX 1.5T CVT, 18500, Fair Price, 103389, 
Used 2018 Honda, Civic LX Sedan CVT, 14000, High Price, 122378, 
Used 2018 Honda, Accord EX 1.5T CVT, 21995, High Price, 63659, 
Used 2018 Honda, Pilot Touring AWD, 19995, Fair Price, 119245, 
Used 2018 Honda, Pilot EX AWD, 19395, Fair Price, 105092, 
Used 2018 Honda, Odyssey LX, 16500, High Price, 125190, 
Used 2018 Honda, Odyssey EX-L, 21000, High Price, 126032, 
Used 2018 Honda, Odyssey Elite, 24433, High Price, 110581, 
Used 2018 Honda, Accord EX-L 1.5T CVT, 20650, High Price, 93458, 
Used 2018 Honda, Civic LX Sedan CVT, 15532, High Price, 111167, 
