Year/Make, Model, Price, Rating, Mileage
Used 2022 Hyundai, Accent SE, 12750, Excellent Price, 70688, 
Used 2022 Hyundai, Tucson SEL AWD, 24686, Excellent Price, 9439, 
Used 2022 Hyundai, Tucson Limited AWD, 24100, Excellent Price, 33577, 
Used 2022 Hyundai, Accent SE, 12750, Excellent Price, 70688, 
Used 2022 Hyundai, Venue SEL IVT, 18998, Great Price, 21626, 
Used 2022 Hyundai, Santa Fe SEL AWD, 23155, Excellent Price, 43256, 
Used 2022 Hyundai, Sonata SEL, 21000, Great Price, 18616, 
Used 2022 Hyundai, Tucson SEL FWD, 23910, Great Price, 12567, 
Used 2022 Hyundai, Elantra N Manual, 28998, Great Price, 19198, 
Used 2022 Hyundai, Santa Fe Limited AWD, 26990, Excellent Price, 38684, 
Used 2022 Hyundai, Palisade SEL AWD, 32520, Great Price, 32046, 
Used 2022 Hyundai, Venue SEL IVT, 18998, Fair Price, 32830, 
Used 2022 Hyundai, Santa Cruz SEL AWD, 25550, Excellent Price, 20623, 
Used 2022 Hyundai, Sonata SEL Plus, 21889, Fair Price, 47884, 
Used 2022 Hyundai, Tucson SE AWD, 19300, Great Price, 62076, 
Used 2022 Hyundai, Sonata SEL, 20999, Great Price, 32735, 
Used 2022 Hyundai, Santa Fe Calligraphy FWD, 28754, Fair Price, 34006, 
Used 2022 Hyundai, Tucson SEL AWD, 22998, Excellent Price, 23307, 
Used 2022 Hyundai, Tucson SEL FWD, 24700, Great Price, 19104, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 19998, Excellent Price, 22987, 
Used 2022 Hyundai, Sonata N Line, 21600, Excellent Price, 67118, 
Used 2022 Hyundai, Tucson SEL AWD, 23998, Fair Price, 34381, 
Used 2022 Hyundai, Palisade Limited FWD, 32998, Fair Price, 55951, 
Used 2022 Hyundai, Santa Cruz Limited AWD, 24758, Great Price, 76961, 
Used 2022 Hyundai, Tucson SEL FWD, 19987, Fair Price, 66936, 
Used 2022 Hyundai, IONIQ 5 Limited AWD, 28998, Great Price, 51706, 
Used 2022 Hyundai, Palisade SEL AWD, 31910, Fair Price, 48172, 
Used 2022 Hyundai, Tucson SEL FWD, 21999, Fair Price, 36025, 
Used 2022 Hyundai, Santa Fe Calligraphy FWD, 29910, Fair Price, 30773, 
Used 2022 Hyundai, Tucson SEL AWD, 24700, Fair Price, 22022, 
Used 2022 Hyundai, Tucson Limited AWD, 24990, Great Price, 44272, 
Used 2022 Hyundai, Accent SEL, 18998, High Price, 20280, 
Used 2022 Hyundai, Elantra SEL IVT, 21000, High Price, 30322, 
Used 2022 Hyundai, Tucson SEL FWD, 22500, High Price, 34322, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 22195, High Price, 8879, 
Used 2022 Hyundai, Venue SEL IVT, 19820, High Price, 25810, 
Used 2022 Hyundai, Elantra SEL IVT, 17550, Great Price, 66270, 
Used 2022 Hyundai, Santa Fe Calligraphy AWD, 33998, Fair Price, 15275, 
Used 2022 Hyundai, Sonata SEL, 22999, High Price, 21345, 
Used 2022 Hyundai, IONIQ 5 Limited AWD, 29995, Excellent Price, 44245, 
Used 2022 Hyundai, Tucson SEL AWD, 22910, Fair Price, 39972, 
Used 2022 Hyundai, Venue SEL IVT, 20998, Fair Price, 14261, 
Used 2022 Hyundai, Tucson Hybrid SEL Convenience AWD, 24500, Fair Price, 45280, 
Used 2022 Hyundai, Kona SEL AWD Automatic, 18899, Excellent Price, 36746, 
Used 2022 Hyundai, Tucson SEL AWD, 23599, Great Price, 17380, 
Used 2022 Hyundai, Sonata SEL Plus, 23000, Great Price, 32032, 
Used 2022 Hyundai, Santa Fe SEL AWD, 23910, High Price, 54690, 
Used 2022 Hyundai, Kona SEL AWD Automatic, 18933, Excellent Price, 54127, 
Used 2022 Hyundai, Kona SEL AWD Automatic, 19000, Great Price, 57449, 
Used 2022 Hyundai, Elantra SEL IVT (SULEV), 18095, Fair Price, 77337, 
Used 2022 Hyundai, Santa Cruz SEL AWD, 24429, High Price, 40155, 
Used 2022 Hyundai, Santa Fe SEL FWD, 25000, Great Price, 22277, 
Used 2022 Hyundai, Elantra SE IVT, 18775, High Price, 31884, 
Used 2022 Hyundai, Venue SEL IVT, 19000, High Price, 26275, 
Used 2022 Hyundai, Tucson SEL FWD, 23000, Fair Price, 27625, 
Used 2022 Hyundai, Elantra SEL IVT, 20500, Fair Price, 21171, 
