Year/Make, Model, Price, Rating, Mileage
Used 2019 Jeep, Grand Cherokee Limited 4WD, 21895, Excellent Price, 57313, 
Used 2019 Jeep, Wrangler Unlimited Rubicon, 25575, Excellent Price, 101079, 
Used 2019 Jeep, Grand Cherokee Overland 4WD, 25695, Excellent Price, 62048, 
Used 2019 Jeep, Wrangler Unlimited Sport S, 24998, Great Price, 84620, 
Used 2019 Jeep, Cherokee Limited 4WD, 16000, Great Price, 98883, 
Used 2019 Jeep, Grand Cherokee Limited 4WD, 23195, Great Price, 63459, 
Used 2019 Jeep, Grand Cherokee Altitude 4WD, 18200, Excellent Price, 108539, 
Used 2019 Jeep, Wrangler Unlimited Rubicon, 34852, Great Price, 37531, 
Used 2019 Jeep, Compass Trailhawk 4WD, 21495, Great Price, 44947, 
Used 2019 Jeep, Grand Cherokee Limited X 4WD, 21980, Great Price, 104684, 
Used 2019 Jeep, Grand Cherokee Limited X 4WD, 29395, Fair Price, 26633, 
Used 2019 Jeep, Grand Cherokee Overland 4WD, 26998, Great Price, 61249, 
Used 2019 Jeep, Wrangler Unlimited Sport S, 25995, High Price, 78921, 
Used 2019 Jeep, Grand Cherokee High Altitude 4WD, 20995, Excellent Price, 98710, 
Used 2019 Jeep, Cherokee Limited 4WD, 21395, Fair Price, 58227, 
Used 2019 Jeep, Compass Latitude 4WD, 17998, Fair Price, 53166, 
Used 2019 Jeep, Wrangler Unlimited Sport S, 24800, Great Price, 86233, 
Used 2019 Jeep, Cherokee Limited 4WD, 20895, Great Price, 49449, 
Used 2019 Jeep, Grand Cherokee Limited 4WD, 24998, Fair Price, 55465, 
Used 2019 Jeep, Wrangler Unlimited Sahara, 31998, Great Price, 55283, 
Used 2019 Jeep, Cherokee Trailhawk 4WD, 21500, Great Price, 46987, 
Used 2019 Jeep, Cherokee Latitude Plus FWD, 13995, Great Price, 109299, 
Used 2019 Jeep, Compass Latitude 4WD, 16495, Great Price, 61540, 
Used 2019 Jeep, Grand Cherokee Limited 4WD, 20998, Great Price, 83025, 
Used 2019 Jeep, Cherokee Trailhawk 4WD, 16654, High Price, 112750, 
Used 2019 Jeep, Cherokee Latitude Plus 4WD, 17998, Great Price, 87826, 
Used 2019 Jeep, Wrangler Unlimited Sport Altitude, 28128, High Price, 63500, 
Used 2019 Jeep, Compass Latitude 4WD, 17975, Fair Price, 57997, 
Used 2019 Jeep, Grand Cherokee Limited RWD, 21199, High Price, 75731, 
Used 2019 Jeep, Wrangler Sport S, 28995, Fair Price, 13832, 
Used 2019 Jeep, Wrangler Unlimited Sport Altitude, 28128, High Price, 63500, 
Used 2019 Jeep, Grand Cherokee Limited X 4WD, 22000, High Price, 114046, 
