Year/Make, Model, Price, Rating, Mileage
Used 2019 Nissan, Rogue S FWD, 10000, Excellent Price, 106734
Used 2019 Nissan, Rogue SV AWD, 15500, Excellent Price, 86549
Used 2019 Nissan, NV Passenger NV3500 HD SV V6, 27989, Excellent Price, 76849
Used 2019 Nissan, Altima SL FWD, 15850, Great Price, 86739
Used 2019 Nissan, Kicks SV, 14000, Great Price, 76513
Used 2019 Nissan, Versa SV Sedan CVT, 11223, Excellent Price, 50039
Used 2019 Nissan, Pathfinder SL 4WD, 15911, Great Price, 96516
Used 2019 Nissan, Armada SL AWD, 25460, Great Price, 65560
Used 2019 Nissan, Kicks SV, 11950, Excellent Price, 73973
Used 2019 Nissan, Pathfinder SV FWD, 17998, Fair Price, 96370
Used 2019 Nissan, Pathfinder SV 4WD, 17295, Great Price, 95330
Used 2019 Nissan, Rogue S FWD, 10000, Excellent Price, 106734
Used 2019 Nissan, Kicks S, 9998, Excellent Price, 88743
Used 2019 Nissan, Frontier SV Crew Cab 2WD Automatic, 17489, Excellent Price, 98074
Used 2019 Nissan, Rogue SL AWD, 17400, Great Price, 81943
Used 2019 Nissan, Sentra SV CVT, 15998, High Price, 73398
Used 2019 Nissan, Maxima Platinum, 17991, Excellent Price, 97494
Used 2019 Nissan, Rogue SV AWD, 16495, High Price, 98377
Used 2019 Nissan, Kicks SV, 13000, High Price, 99780
Used 2019 Nissan, Frontier SV Crew Cab 4WD Automatic, 25998, Fair Price, 43465
Used 2019 Nissan, Rogue S AWD, 17998, Great Price, 52212
Used 2019 Nissan, Rogue Sport SL FWD, 17195, High Price, 106962
Used 2019 Nissan, Kicks S, 14840, Fair Price, 52087
Used 2019 Nissan, Sentra SV CVT, 16998, High Price, 54365
Used 2019 Nissan, Pathfinder SV 4WD, 17998, High Price, 101988
Used 2019 Nissan, Armada SV RWD, 17640, Excellent Price, 125032
Used 2019 Nissan, Maxima SV, 21795, Fair Price, 44120
Used 2019 Nissan, Armada SV AWD, 22900, High Price, 86077
Used 2019 Nissan, Rogue S AWD, 18998, Fair Price, 33818
Used 2019 Nissan, Altima S FWD, 12999, High Price, 138991
Used 2019 Nissan, Sentra SV CVT, 14475, Great Price, 33697
Used 2019 Nissan, Pathfinder SV 4WD, 17998, High Price, 101988
Used 2019 Nissan, Rogue S AWD, 18998, Fair Price, 33818
Used 2019 Nissan, Altima S FWD, 12999, High Price, 138991
Used 2019 Nissan, Sentra SV CVT, 17998, High Price, 37783
Used 2019 Nissan, Sentra SV CVT, 11255, High Price, 105508
Used 2019 Nissan, Altima SV AWD, 20995, Fair Price, 40035
Used 2019 Nissan, Rogue SV AWD, 23998, High Price, 30971
Used 2019 Nissan, Altima S FWD, 10500, High Price, 139638
Used 2019 Nissan, Rogue SV AWD, 15995, High Price, 104204
