Year/Make, Model, Price, Rating, Mileage
Used 2021 Ram, 1500 Classic Tradesman Quad Cab 6'4" Box 4WD, 14745, Excellent Price, 126667, 
Used 2021 Ram, 1500 Big Horn Quad Cab 6'4" Box 4WD, 30499, Excellent Price, 28793, 
Used 2021 Ram, 1500 Longhorn Crew Cab 5'7" Box 4WD, 43998, Great Price, 58834, 
Used 2021 Ram, 1500 Limited Crew Cab 5'7" Box 4WD, 41998, Excellent Price, 55691, 
Used 2021 Ram, 1500 Big Horn Quad Cab 6'4" Box 4WD, 28628, Great Price, 79412, 
Used 2021 Ram, ProMaster Cargo Van 2500 High Roof 159", 27900, Great Price, 69299, 
Used 2021 Ram, 1500 Longhorn Crew Cab 5'7" Box 4WD, 43998, Excellent Price, 31207, 
Used 2021 Ram, 1500 Limited Crew Cab 5'7" Box 4WD, 45755, Great Price, 39097, 
Used 2021 Ram, 1500 Big Horn Quad Cab 6'4" Box 4WD, 30870, Fair Price, 49998, 
Used 2021 Ram, 3500 Tradesman Crew Cab 8' Box 4WD, 48900, Great Price, 23015, 
Used 2021 Ram, 1500 Big Horn Quad Cab 6'4" Box 4WD, 32990, High Price, 51000, 
Used 2021 Ram, 1500 Rebel Crew Cab 5'7" Box 4WD, 38998, Great Price, 59875, 
Used 2021 Ram, 1500 Big Horn Quad Cab 6'4" Box 4WD, 30444, High Price, 84970, 
Used 2021 Ram, 1500 Big Horn Quad Cab 6'4" Box 4WD, 33740, Fair Price, 46339, 
Used 2021 Ram, 1500 Classic Warlock Quad Cab 6'4" Box 4WD, 30998, Fair Price, 30524, 
Used 2021 Ram, 3500 Laramie Crew Cab 8' Box 4WD, 54007, Great Price, 90982, 
Used 2021 Ram, 1500 Laramie Crew Cab 5'7" Box 2WD, 36998, High Price, 56002, 
Used 2021 Ram, 1500 Limited Crew Cab 5'7" Box 4WD, 41595, High Price, 81056, 
