Year/Make, Model, Price, Rating, Mileage
Used 2021 Audi, RS 7 Sportback, 83422, Fair Price, 16705, 
Used 2021 Audi, A4 Premium 40 TFSI quattro, 23570, Excellent Price, 23982, 
Used 2021 Audi, e-tron Premium SUV, 19998, Excellent Price, 27740, 
Used 2021 Audi, e-tron Premium SUV, 19998, Excellent Price, 27740, 
Used 2021 Audi, e-tron Prestige Sportback, 27900, Excellent Price, 19364, 
Used 2021 Audi, Q5 Plug-In Hybrid e Prestige SUV, 29998, Excellent Price, 68044, 
Used 2021 Audi, S8 Sedan, 46595, Excellent Price, 61598, 
Used 2021 Audi, Q7 Premium Plus 3.0, 25406, Excellent Price, 81087, 
Used 2021 Audi, Q8 Prestige, 42998, Excellent Price, 56129, 
Used 2021 Audi, A4 Premium 40 TFSI quattro, 24995, Great Price, 26460, 
Used 2021 Audi, S5 Premium Plus Sportback, 35151, Great Price, 60270, 
Used 2021 Audi, Q7 Prestige 3.0, 24980, Excellent Price, 68246, 
Used 2021 Audi, RS Q8 SUV, 72531, Great Price, 58779, 
Used 2021 Audi, Q7 Premium Plus 3.0, 29988, Great Price, 66049, 
Used 2021 Audi, A5 S line Premium Plus Sportback 45 TFSI, 25982, Great Price, 67582, 
Used 2021 Audi, e-tron Premium SUV, 22990, Excellent Price, 32905, 
Used 2021 Audi, e-tron Premium Sportback, 20990, Excellent Price, 44890, 
Used 2021 Audi, Q5 Premium Plus SUV, 24543, Excellent Price, 35358, 
Used 2021 Audi, Q7 Premium 3.0, 29911, Excellent Price, 53562, 
Used 2021 Audi, Q5 Premium Plus Sportback, 29995, Great Price, 41655, 
Used 2021 Audi, e-tron Premium Plus SUV, 20595, Excellent Price, 41069, 
Used 2021 Audi, SQ7 Premium Plus, 34895, Excellent Price, 80591, 
Used 2021 Audi, S6 Premium Plus, 43995, Excellent Price, 41785, 
Used 2021 Audi, Q8 Premium Plus, 40888, Excellent Price, 45704, 
Used 2021 Audi, SQ8 Prestige, 59998, Great Price, 56306, 
Used 2021 Audi, RS 7 Sportback, 71421, Excellent Price, 47265, 
Used 2021 Audi, A6 Premium Plus 3.0, 31899, Excellent Price, 39784, 
Used 2021 Audi, e-tron Premium SUV, 21790, Excellent Price, 35796, 
Used 2021 Audi, SQ5 Premium Plus SUV, 32839, Excellent Price, 36752, 
Used 2021 Audi, A7 Plug-In Hybrid e Premium Plus, 27999, Excellent Price, 75193, 
Used 2021 Audi, e-tron Premium SUV, 25375, Excellent Price, 26561, 
Used 2021 Audi, Q7 Premium Plus 3.0, 28495, Excellent Price, 46213, 
Used 2021 Audi, SQ7 Prestige, 38499, Great Price, 88204, 
Used 2021 Audi, e-tron Premium SUV, 22990, Excellent Price, 32905, 
Used 2021 Audi, e-tron Premium SUV, 21790, Excellent Price, 35796, 
Used 2021 Audi, SQ5 Premium Plus SUV, 32839, Excellent Price, 36752, 
Used 2021 Audi, Q8 Premium, 37900, Fair Price, 56360, 
Used 2021 Audi, A7 Plug-In Hybrid e Premium Plus, 27999, Excellent Price, 75193, 
Used 2021 Audi, A4 S line Premium 45 TFSI quattro, 24995, Great Price, 41915, 
Used 2021 Audi, e-tron Premium Plus SUV, 20595, Excellent Price, 41069, 
Used 2021 Audi, e-tron Premium Sportback, 20990, Excellent Price, 44890, 
Used 2021 Audi, Q3 S line Premium Plus, 29997, Great Price, 17686, 
Used 2021 Audi, e-tron Premium SUV, 21790, Excellent Price, 35796, 
Used 2021 Audi, S6 Premium Plus, 43839, Excellent Price, 26387, 
Used 2021 Audi, A7 Plug-In Hybrid e Premium Plus, 38997, Excellent Price, 26046, 
Used 2021 Audi, A4 Premium 40 TFSI quattro, 25500, Great Price, 27448, 
Used 2021 Audi, Q7 Premium Plus 3.0, 28495, Excellent Price, 46213, 
Used 2021 Audi, A8 L 60 TFSI e quattro, 45995, Fair Price, 46241, 
Used 2021 Audi, e-tron Premium SUV, 25375, Excellent Price, 26561, 
Used 2021 Audi, Q3 S line Premium, 14999, Excellent Price, 108768, 
Used 2021 Audi, SQ8 Prestige, 59999, Great Price, 44624, 
Used 2021 Audi, Q7 Premium 3.0, 23590, Excellent Price, 69471, 
Used 2021 Audi, Q7 Premium 2.0, 28997, High Price, 63533, 
Used 2021 Audi, SQ5 Prestige SUV, 30075, Excellent Price, 52697, 
Used 2021 Audi, e-tron Premium SUV, 22200, Excellent Price, 43856, 
Used 2021 Audi, Q3 Premium, 17985, Excellent Price, 68306, 
Used 2021 Audi, S6 Prestige, 43839, Great Price, 45355, 
Used 2021 Audi, RS 5 Coupe, 47990, Fair Price, 60476, 
Used 2021 Audi, A6 Sport Premium Plus 2.0, 20499, Excellent Price, 101574, 
Used 2021 Audi, Q5 Premium Plus SUV, 24850, Excellent Price, 32325, 
Used 2021 Audi, S4 Premium Plus, 42998, High Price, 38192, 
Used 2021 Audi, A4 Premium 40 TFSI quattro, 23570, Excellent Price, 23982, 
Used 2021 Audi, Q7 Premium Plus 2.0, 23992, Excellent Price, 81521, 
Used 2021 Audi, e-tron Premium SUV, 23996, Excellent Price, 31572, 
Used 2021 Audi, Q7 Premium Plus 2.0, 29526, Excellent Price, 32540, 
Used 2021 Audi, e-tron Premium Plus SUV, 20595, Excellent Price, 41069, 
Used 2021 Audi, Q5 Premium SUV, 27900, High Price, 42662, 
Used 2021 Audi, e-tron Premium Sportback, 20990, Excellent Price, 44890, 
Used 2021 Audi, Q7 Premium 3.0, 23878, Excellent Price, 59158, 
Used 2021 Audi, Q7 Premium Plus 2.0, 27353, Excellent Price, 62012, 
Used 2021 Audi, SQ5 Premium Plus SUV, 29885, Great Price, 63776, 
Used 2021 Audi, Q5 Premium Plus SUV, 20739, Great Price, 78336, 
Used 2021 Audi, Q5 Premium Plus SUV, 32164, Fair Price, 28367, 
Used 2021 Audi, Q7 Premium Plus 3.0, 23620, Great Price, 75637, 
Used 2021 Audi, e-tron Premium Plus Sportback, 23216, Excellent Price, 27473, 
Used 2021 Audi, Q7 Premium Plus 2.0, 29526, Great Price, 32540, 
Used 2021 Audi, RS 5 Sportback, 46743, Fair Price, 64086, 
Used 2021 Audi, A4 S line Prestige 45 TFSI quattro, 30998, Fair Price, 34725, 
Used 2021 Audi, S6 Prestige, 43490, Excellent Price, 45251, 
Used 2021 Audi, Q7 Premium 2.0, 28826, Great Price, 40092, 
Used 2021 Audi, A4 Premium 40 TFSI quattro, 22995, Excellent Price, 44045, 
Used 2021 Audi, Q7 Premium Plus 3.0, 26000, Excellent Price, 90533, 
Used 2021 Audi, e-tron Premium SUV, 21606, Excellent Price, 32808, 
Used 2021 Audi, Q5 Plug-In Hybrid e Premium Plus SUV, 26839, Fair Price, 42353, 
Used 2021 Audi, RS 5 Sportback, 52631, Great Price, 40965, 
