Year/Make, Model, Price, Rating, Mileage
Used 2018 Dodge, Charger R/T RWD, 25500, High Price, 58838, 
Used 2018 Dodge, Grand Caravan SXT, 9995, Great Price, 102579, 
Used 2018 Dodge, Challenger SXT Plus RWD Automatic, 18399, Great Price, 63402, 
Used 2018 Dodge, Charger R/T Scat Pack RWD, 29995, Fair Price, 52310, 
Used 2018 Dodge, Challenger SXT RWD Automatic, 11614, Excellent Price, 127022, 
Used 2018 Dodge, Charger R/T Scat Pack RWD, 32998, Great Price, 72286, 
Used 2018 Dodge, Challenger T/A 392 RWD, 24961, Excellent Price, 79948, 
Used 2018 Dodge, Grand Caravan SXT, 10500, Excellent Price, 80000, 
Used 2018 Dodge, Charger GT AWD, 16790, Excellent Price, 97785, 
Used 2018 Dodge, Grand Caravan GT, 8900, Excellent Price, 107972, 
Used 2018 Dodge, Charger GT AWD, 15595, Excellent Price, 92147, 
Used 2018 Dodge, Durango SRT AWD, 42995, Fair Price, 47018, 
Used 2018 Dodge, Journey Crossroad FWD, 9995, Excellent Price, 68591, 
Used 2018 Dodge, Durango SXT RWD, 17900, Excellent Price, 14352, 
Used 2018 Dodge, Durango GT AWD, 11995, Excellent Price, 142994, 
Used 2018 Dodge, Charger R/T Scat Pack RWD, 34995, Fair Price, 42937, 
Used 2018 Dodge, Durango GT AWD, 21495, Excellent Price, 45904, 
Used 2018 Dodge, Grand Caravan SE, 10595, Excellent Price, 90992, 
Used 2018 Dodge, Durango SRT AWD, 35673, Great Price, 70034, 
Used 2018 Dodge, Durango GT AWD, 23977, Fair Price, 56741, 
Used 2018 Dodge, Durango SXT AWD, 16890, Fair Price, 129081, 
Used 2018 Dodge, Charger GT AWD, 17995, Great Price, 92547, 
Used 2018 Dodge, Journey SE FWD, 8799, Excellent Price, 65504, 
Used 2018 Dodge, Durango R/T AWD, 24999, Great Price, 73960, 
Used 2018 Dodge, Durango SXT AWD, 18995, Excellent Price, 43721, 
Used 2018 Dodge, Grand Caravan SXT, 8495, Great Price, 124586, 
Used 2018 Dodge, Durango SXT AWD, 10499, Excellent Price, 126283, 
Used 2018 Dodge, Challenger R/T RWD, 21999, High Price, 97495, 
Used 2018 Dodge, Journey GT FWD, 9999, Excellent Price, 68014, 
Used 2018 Dodge, Durango GT AWD, 21998, Fair Price, 69981, 
Used 2018 Dodge, Durango SXT AWD, 14995, Fair Price, 103161, 
Used 2018 Dodge, Charger GT AWD, 17995, Great Price, 92547, 
Used 2018 Dodge, Durango GT AWD, 16399, Excellent Price, 116626, 
Used 2018 Dodge, Durango SXT AWD, 16890, Fair Price, 129081, 
Used 2018 Dodge, Durango R/T AWD, 21495, Excellent Price, 75891, 
Used 2018 Dodge, Challenger R/T RWD, 18904, Excellent Price, 79426, 
Used 2018 Dodge, Challenger T/A 392 RWD, 39999, Fair Price, 22800, 
Used 2018 Dodge, Journey GT FWD, 11670, Excellent Price, 91088, 
Used 2018 Dodge, Journey GT AWD, 10990, Excellent Price, 91086, 
Used 2018 Dodge, Durango GT AWD, 19995, Great Price, 74285, 
Used 2018 Dodge, Durango SXT AWD, 14035, Excellent Price, 85662, 
Used 2018 Dodge, Challenger R/T RWD, 21999, High Price, 97495, 
Used 2018 Dodge, Grand Caravan GT, 10995, Fair Price, 99163, 
Used 2018 Dodge, Grand Caravan SXT, 9499, Fair Price, 109442, 
Used 2018 Dodge, Durango GT AWD, 19994, Excellent Price, 62034, 
Used 2018 Dodge, Charger Daytona 392 RWD, 32972, High Price, 61807, 
