Year/Make, Model, Price, Rating, Mileage
Used 2018 FIAT, 500X Lounge AWD, 10922, Excellent Price, 106283
Used 2012 FIAT, 500 Pop Cabrio, 4995, Excellent Price, 92892
Used 2018 FIAT, 124 Spider Lusso, 21998, Great Price, 25581
Used 2016 FIAT, 500X Trekking AWD, 7995, Excellent Price, 90101
Used 2015 FIAT, 500 Pop Hatch, 6785, Excellent Price, 62658
Used 2013 FIAT, 500 Abarth Cabrio, 10500, High Price, 68943
Used 2018 FIAT, 124 Spider Lusso, 19995, Excellent Price, 11501
Used 2020 FIAT, 500X Pop, 14985, Fair Price, 58219
Used 2024 FIAT, 500e INSPI(RED), 24995, Great Price, 3207
Used 2014 FIAT, 500L Lounge, 4999, Excellent Price, 124590
Used 2016 FIAT, 500X Trekking AWD, 7617, Great Price, 96163
Used 2015 FIAT, 500 Sport Hatch, 13599, Fair Price, 47395
Used 2020 FIAT, 124 Spider Abarth, 27295, Excellent Price, 4233
Used 2018 FIAT, 124 Spider Classica, 17999, Great Price, 29510
Used 2017 FIAT, 124 Spider Elaborazione Abarth, 14900, Fair Price, 37840
Used 2016 FIAT, 500X Easy FWD, 6495, Excellent Price, 86525
Used 2015 FIAT, 500 Pop Hatch, 5995, Excellent Price, 86789
Used 2017 FIAT, 124 Spider Lusso, 20890, High Price, 29216
Used 2013 FIAT, 500 Pop Hatch, 4980, High Price, 138153
Used 2014 FIAT, 500 Sport Hatch, 8595, High Price, 64492
Used 2018 FIAT, 500L Pop, 11899, High Price, 75964
Used 2018 FIAT, 124 Spider Classica, 15911, High Price, 73743
Used 2012 FIAT, 500 Sport Hatch, 4999, High Price, 111247
