Year/Make, Model, Price, Rating, Mileage
Used 2021 Hyundai, Santa Fe SE FWD, 16999, Fair Price, 59152, 
Used 2021 Hyundai, Sonata SE, 13514, High Price, 64284, 
Used 2021 Hyundai, Kona SEL AWD Automatic, 9999, Excellent Price, 125978, 
Used 2021 Hyundai, Ioniq Electric Limited, 13473, Excellent Price, 46328, 
Used 2021 Hyundai, Venue SEL IVT, 8999, Excellent Price, 138667, 
Used 2021 Hyundai, Sonata Hybrid Limited, 18994, Excellent Price, 61963, 
Used 2021 Hyundai, Palisade Limited AWD, 26998, Great Price, 91362, 
Used 2021 Hyundai, Tucson Limited AWD, 19905, Excellent Price, 45535, 
Used 2021 Hyundai, Elantra SEL IVT (SULEV), 12794, Excellent Price, 77846, 
Used 2021 Hyundai, Sonata SEL Plus, 18987, Excellent Price, 50752, 
Used 2021 Hyundai, Tucson Sport AWD, 18987, Great Price, 57183, 
Used 2021 Hyundai, Elantra Limited IVT, 17999, Great Price, 56938, 
Used 2021 Hyundai, Tucson Value FWD, 9999, Excellent Price, 152224, 
Used 2021 Hyundai, Elantra SEL IVT, 15095, Excellent Price, 59685, 
Used 2021 Hyundai, Palisade Limited AWD, 19995, Excellent Price, 110154, 
Used 2021 Hyundai, Kona Electric Ultimate, 15380, Excellent Price, 77046, 
Used 2021 Hyundai, Tucson SE FWD, 17353, Great Price, 37742, 
Used 2021 Hyundai, Tucson Ultimate AWD, 20690, Great Price, 58936, 
Used 2021 Hyundai, Venue SE IVT, 14995, Great Price, 34087, 
Used 2021 Hyundai, Kona SEL AWD Automatic, 14988, Great Price, 91124, 
Used 2021 Hyundai, Sonata Limited, 24999, Great Price, 11384, 
Used 2021 Hyundai, Elantra SEL IVT (SULEV), 11995, Excellent Price, 101926, 
Used 2021 Hyundai, Kona SEL AWD Automatic, 9999, Excellent Price, 125978, 
Used 2021 Hyundai, Elantra SEL IVT (SULEV), 17259, Excellent Price, 25366, 
Used 2021 Hyundai, Tucson SE FWD, 15777, Excellent Price, 31515, 
Used 2021 Hyundai, Elantra SEL IVT, 14890, Excellent Price, 49265, 
Used 2021 Hyundai, Palisade SEL AWD, 20890, Excellent Price, 57243, 
Used 2021 Hyundai, Santa Fe SEL AWD, 15995, Excellent Price, 73439, 
Used 2021 Hyundai, Tucson Ultimate AWD, 18919, Great Price, 72770, 
Used 2021 Hyundai, Santa Fe SE FWD, 16999, Fair Price, 59152, 
Used 2021 Hyundai, Elantra Limited IVT (SULEV), 15998, Excellent Price, 74160, 
Used 2021 Hyundai, Kona SE AWD Automatic, 12980, Excellent Price, 77977, 
Used 2021 Hyundai, Santa Fe Calligraphy AWD with 20" Wheels, 22252, Excellent Price, 46930, 
Used 2021 Hyundai, Palisade SEL AWD, 24690, Excellent Price, 50782, 
Used 2021 Hyundai, Elantra Limited IVT (SULEV), 15998, Excellent Price, 74160, 
Used 2021 Hyundai, Elantra SEL IVT (SULEV), 11995, Excellent Price, 101926, 
Used 2021 Hyundai, Elantra SE IVT (SULEV), 19998, High Price, 27301, 
Used 2021 Hyundai, Santa Fe SEL AWD, 15995, Excellent Price, 73439, 
Used 2021 Hyundai, Kona SEL AWD Automatic, 9999, Excellent Price, 125978, 
Used 2021 Hyundai, Santa Fe SE AWD, 13667, Great Price, 98800, 
Used 2021 Hyundai, Sonata SEL, 14900, Great Price, 83234, 
Used 2021 Hyundai, Palisade SEL AWD, 24995, Great Price, 17789, 
Used 2021 Hyundai, Kona SE AWD Automatic, 12980, Excellent Price, 77977, 
Used 2021 Hyundai, Palisade SEL AWD, 20890, Excellent Price, 57243, 
Used 2021 Hyundai, Palisade SEL AWD, 20995, Great Price, 88786, 
Used 2021 Hyundai, Veloster Turbo R-Spec Manual, 9999, Great Price, 125073, 
Used 2021 Hyundai, Elantra SEL IVT (SULEV), 10188, Excellent Price, 112463, 
Used 2021 Hyundai, Elantra SE IVT (SULEV), 14999, Great Price, 40082, 
Used 2021 Hyundai, Elantra SE IVT (SULEV), 14603, Excellent Price, 36000, 
Used 2021 Hyundai, Kona SEL FWD Automatic, 16988, High Price, 72007, 
Used 2021 Hyundai, Sonata SEL, 17064, Great Price, 45775, 
Used 2021 Hyundai, Santa Fe Calligraphy AWD with 20" Wheels, 22252, Excellent Price, 46930, 
Used 2021 Hyundai, Ioniq Plug-In Hybrid Limited, 21998, Excellent Price, 33518, 
Used 2021 Hyundai, Tucson Value AWD, 14695, Excellent Price, 39261, 
