Year/Make, Model, Price, Rating, Mileage
Used 2019 Kia, Niro Plug-In Hybrid EX Premium, 15999, Excellent Price, 26428, 
Used 2019 Kia, Optima SX Turbo, 19995, Excellent Price, 26706, 
Used 2019 Kia, Forte LXS IVT, 9995, Excellent Price, 87058, 
Used 2019 Kia, Niro Plug-In Hybrid EX Premium, 15999, Excellent Price, 26428, 
Used 2019 Kia, Sportage LX FWD, 12795, Excellent Price, 58952, 
Used 2019 Kia, Soul Base Automatic, 9490, Excellent Price, 91135, 
Used 2019 Kia, Sportage LX AWD, 10973, Excellent Price, 90969, 
Used 2019 Kia, Optima SX Turbo, 19995, Excellent Price, 26706, 
Used 2019 Kia, Optima S, 19998, Great Price, 12106, 
Used 2019 Kia, Optima S, 18998, Great Price, 32813, 
Used 2019 Kia, Forte LXS IVT, 7897, Excellent Price, 103246, 
Used 2019 Kia, Sorento LX V6 AWD, 18795, Excellent Price, 60695, 
Used 2019 Kia, Soul Base Automatic, 10933, Excellent Price, 80355, 
Used 2019 Kia, Optima LX, 14998, Great Price, 80372, 
Used 2019 Kia, Soul Base Automatic, 7995, Excellent Price, 95636, 
Used 2019 Kia, Sorento LX I4 FWD, 16227, Great Price, 62303, 
Used 2019 Kia, Optima SX Turbo, 11960, Excellent Price, 100332, 
Used 2019 Kia, Soul ! Automatic, 12085, Great Price, 82194, 
Used 2019 Kia, Sportage SX Turbo FWD, 22998, Great Price, 8930, 
Used 2019 Kia, Niro Hybrid LX, 12645, Excellent Price, 72901, 
Used 2019 Kia, Soul Base Automatic, 7494, Excellent Price, 97661, 
Used 2019 Kia, Sportage LX AWD, 13288, Excellent Price, 60495, 
Used 2019 Kia, Soul Base Automatic, 10778, Excellent Price, 75871, 
Used 2019 Kia, Sorento LX V6 AWD, 11990, Excellent Price, 92466, 
Used 2019 Kia, Sportage LX AWD, 16888, Great Price, 22609, 
Used 2019 Kia, Sorento LX I4 AWD, 19999, Great Price, 34567, 
Used 2019 Kia, Optima LX, 14889, Excellent Price, 34636, 
Used 2019 Kia, Sorento SX V6 AWD, 19950, Excellent Price, 66886, 
Used 2019 Kia, Optima EX, 15995, Great Price, 53333, 
Used 2019 Kia, Sportage LX AWD, 15498, Great Price, 62512, 
Used 2019 Kia, Forte LXS IVT, 9995, Excellent Price, 87058, 
Used 2019 Kia, Forte S IVT, 15998, Fair Price, 67091, 
Used 2019 Kia, Optima SX Turbo, 8999, Excellent Price, 138172, 
Used 2019 Kia, Sorento EX V6 AWD, 12838, Excellent Price, 112621, 
Used 2019 Kia, Sportage EX AWD, 10977, Excellent Price, 85393, 
Used 2019 Kia, Optima S, 17498, Great Price, 34042, 
Used 2019 Kia, Forte LXS IVT, 11095, Great Price, 83990, 
Used 2019 Kia, Soul + Automatic, 9995, Great Price, 87794, 
Used 2019 Kia, Sorento LX I4 AWD, 13499, Excellent Price, 84431, 
Used 2019 Kia, Soul Base Automatic, 10778, Excellent Price, 75871, 
Used 2019 Kia, Sorento LX I4 AWD, 13495, Great Price, 86909, 
Used 2019 Kia, Sportage LX AWD, 12890, Great Price, 79735, 
Used 2019 Kia, Niro Hybrid LX, 12645, Excellent Price, 72901, 
Used 2019 Kia, Sorento SX V6 AWD, 19950, Excellent Price, 66886, 
Used 2019 Kia, Soul Base Automatic, 7494, Excellent Price, 97661, 
Used 2019 Kia, Sorento LX V6 AWD, 11888, Excellent Price, 93615, 
Used 2019 Kia, Sportage EX AWD, 14985, Great Price, 66075, 
Used 2019 Kia, Sportage LX AWD, 16888, Great Price, 22609, 
Used 2019 Kia, Forte S IVT, 15998, Fair Price, 67091, 
Used 2019 Kia, Sorento LX I4 AWD, 14990, Great Price, 70274, 
Used 2019 Kia, Sportage EX AWD, 16595, Great Price, 54241, 
Used 2019 Kia, Sorento LX I4 AWD, 19999, Great Price, 34567, 
Used 2019 Kia, Sorento EX V6 AWD, 13490, Fair Price, 112927, 
Used 2019 Kia, Optima EX, 11995, Excellent Price, 105823, 
Used 2019 Kia, Sorento LX I4 AWD, 14399, Excellent Price, 73148, 
Used 2019 Kia, Forte LXS IVT, 10480, Excellent Price, 95495, 
Used 2019 Kia, Sportage EX AWD, 14980, Fair Price, 95320, 
Used 2019 Kia, Forte S IVT, 11156, Excellent Price, 87415, 
