Used 2020 Lexus, GX 460 Luxury, $48,381, Excellent Price, 21,260 miles, 
Used 2020 Lexus, NX 300 AWD, $25,299, Excellent Price, 33,595 miles, 
Used 2020 Lexus, NX 300 AWD, $28,888, Great Price, 39,537 miles, 
Used 2020 Lexus, NX 300 AWD, $25,299, Excellent Price, 33,595 miles, 
Used 2020 Lexus, ES 350, $23,400, Excellent Price, 89,617 miles, 
Used 2020 Lexus, GS 350 F Sport RWD, $38,190, Excellent Price, 31,773 miles, 
Used 2020 Lexus, RX 350 AWD, $33,260, Excellent Price, 41,409 miles, 
Used 2020 Lexus, GX 460 Luxury, $48,381, Excellent Price, 21,260 miles, 
Used 2020 Lexus, ES 350, $26,999, Great Price, 53,687 miles, 
Used 2020 Lexus, NX 300h AWD, $28,994, Great Price, 54,472 miles, 
Used 2020 Lexus, GX 460 Premium, $41,507, Fair Price, 48,512 miles, 
Used 2020 Lexus, GX 460 Premium, $43,998, Fair Price, 42,348 miles, 
Used 2020 Lexus, UX 250h F Sport AWD, $31,999, Great Price, 15,314 miles, 
Used 2020 Lexus, NX 300 FWD, $29,998, Great Price, 37,119 miles, 
Used 2020 Lexus, RX 350 AWD, $35,945, Great Price, 50,655 miles, 
Used 2020 Lexus, NX 300 AWD, $30,998, Great Price, 34,292 miles, 
Used 2020 Lexus, ES 350, $25,997, Great Price, 58,651 miles, 
Used 2020 Lexus, RX 350 F Sport Performance AWD, $39,995, Great Price, 26,865 miles, 
Used 2020 Lexus, RX 350 AWD, $26,200, Great Price, 106,500 miles, 
Used 2020 Lexus, NX 300 AWD, $29,998, Fair Price, 49,557 miles, 
Used 2020 Lexus, RX 350 AWD, $32,845, Excellent Price, 59,691 miles, 
Used 2020 Lexus, IS 300 AWD, $28,990, Fair Price, 24,492 miles, 
Used 2020 Lexus, ES 350, $29,000, Fair Price, 57,302 miles, 
Used 2020 Lexus, IS 300 RWD, $29,998, High Price, 35,611 miles, 
Used 2020 Lexus, UX 250h AWD, $26,586, Great Price, 42,503 miles, 
Used 2020 Lexus, ES 350, $32,500, High Price, 39,570 miles, 
Used 2020 Lexus, GX 460 Premium, $41,999, High Price, 46,190 miles, 
Used 2020 Lexus, ES 300h Luxury, $30,995, Excellent Price, 44,000 miles, 
Used 2020 Lexus, NX 300 AWD, $26,794, Great Price, 44,630 miles, 
Used 2020 Lexus, RX 350 AWD, $33,580, Great Price, 47,470 miles, 
Used 2020 Lexus, IS 350 F Sport RWD, $25,795, Excellent Price, 67,505 miles, 
Used 2020 Lexus, ES 350, $26,495, Great Price, 51,407 miles, 
Used 2020 Lexus, NX 300h AWD, $25,000, Fair Price, 91,422 miles, 
Used 2020 Lexus, RX 350L AWD, $36,995, Fair Price, 42,287 miles, 
Used 2020 Lexus, RX 350 AWD, $32,845, Excellent Price, 59,691 miles, 
Used 2020 Lexus, UX 250h AWD, $17,999, Fair Price, 121,858 miles, 
Used 2020 Lexus, ES 350 Luxury, $28,738, Excellent Price, 69,139 miles, 
Used 2020 Lexus, ES 350, $31,500, Great Price, 15,173 miles, 
Used 2020 Lexus, ES 350 Luxury, $27,941, Excellent Price, 52,839 miles, 
Used 2020 Lexus, NX 300h AWD, $25,000, Fair Price, 91,422 miles, 
Used 2020 Lexus, NX 300 AWD, $28,888, Great Price, 39,537 miles, 
Used 2020 Lexus, GX 460 Premium, $41,999, High Price, 46,190 miles, 
Used 2020 Lexus, IS 300 RWD, $29,998, High Price, 35,611 miles, 
Used 2020 Lexus, ES 350, $24,135, Excellent Price, 74,092 miles, 
Used 2020 Lexus, ES 350, $32,500, High Price, 39,570 miles, 
Used 2020 Lexus, UX 250h AWD, $24,000, Great Price, 66,624 miles, 
Used 2020 Lexus, RX 350L AWD, $36,995, Fair Price, 42,287 miles, 
Used 2020 Lexus, RX 450h AWD, $35,995, High Price, 60,822 miles, 
Used 2020 Lexus, NX 300 AWD, $28,959, Fair Price, 42,576 miles, 
Used 2020 Lexus, ES 350, $27,580, Fair Price, 41,926 miles, 
Used 2020 Lexus, RX 350 AWD, $33,373, Fair Price, 59,990 miles, 
Used 2020 Lexus, ES 350, $31,998, High Price, 59,265 miles, 
Used 2020 Lexus, UX 200 FWD, $24,500, Fair Price, 56,019 miles, 
Used 2020 Lexus, RX 350L AWD, $37,995, Fair Price, 44,310 miles, 
Used 2020 Lexus, RX 350 AWD, $40,395, Fair Price, 15,904 miles, 
Used 2020 Lexus, NX 300h AWD, $31,015, Fair Price, 34,051 miles, 
Used 2020 Lexus, NX 300 F Sport FWD, $24,995, Great Price, 60,623 miles, 
Used 2020 Lexus, NX 300 F Sport AWD, $29,877, High Price, 62,000 miles, 
Used 2020 Lexus, RX 350 AWD, $31,800, High Price, 70,308 miles, 
Used 2020 Lexus, RX 450hL AWD, $30,634, Fair Price, 90,622 miles, 
Used 2020 Lexus, GS 350 AWD, $37,995, Great Price, 38,901 miles, 
Used 2020 Lexus, LS 500 AWD, $47,480, Excellent Price, 50,931 miles, 
Used 2020 Lexus, RX 350L AWD, $38,880, Fair Price, 29,889 miles, 
Used 2020 Lexus, NX 300 F Sport AWD, $28,495, Fair Price, 56,285 miles, 
Used 2020 Lexus, LS 500 AWD, $47,480, Excellent Price, 50,931 miles, 
Used 2020 Lexus, NX 300 AWD, $28,998, Fair Price, 42,545 miles, 
Used 2020 Lexus, NX 300 F Sport FWD, $29,494, High Price, 47,685 miles, 
Used 2020 Lexus, NX 300 F Sport AWD, $28,495, Fair Price, 56,285 miles, 
Used 2020 Lexus, RX 350 AWD, $38,995, High Price, 40,350 miles, 
Used 2020 Lexus, NX 300 F Sport AWD, $23,995, High Price, 90,784 miles, 
Used 2020 Lexus, IS 300 AWD, $25,586, High Price, 61,825 miles, 
Used 2020 Lexus, ES 350, $33,391, High Price, 24,005 miles, 
Used 2020 Lexus, RX 350 AWD, $33,895, Excellent Price, 26,342 miles, 
Used 2020 Lexus, RX 350 AWD, $31,502, Fair Price, 60,018 miles, 
Used 2020 Lexus, ES 350 F Sport, $30,995, Great Price, 68,249 miles, 
Used 2020 Lexus, UX 250h F Sport AWD, $31,725, High Price, 34,346 miles, 
Used 2020 Lexus, NX 300 AWD, $28,149, Fair Price, 44,046 miles, 
Used 2020 Lexus, UX 250h AWD, $28,100, Great Price, 25,090 miles, 
Used 2020 Lexus, UX 250h AWD, $28,995, High Price, 24,368 miles, 
Used 2020 Lexus, RX 350 AWD, $39,998, High Price, 13,391 miles, 
Used 2020 Lexus, RX 350 FWD, $33,495, High Price, 43,722 miles, 
Used 2020 Lexus, UX 200 FWD, $27,495, High Price, 31,399 miles, 
Used 2020 Lexus, RX 350 AWD, $26,495, Great Price, 79,435 miles, 
Used 2020 Lexus, UX 250h F Sport AWD, $26,800, Fair Price, 67,388 miles, 
Used 2020 Lexus, GX 460 Premium, $40,999, High Price, 69,334 miles, 
