Year/Make, Model, Price, Rating, Mileage
Used 2018 Lincoln, MKZ Select AWD, 13995, Fair Price, 109005, 
Used 2018 Lincoln, MKZ Reserve FWD, 21998, Great Price, 36155, 
Used 2018 Lincoln, MKC Reserve AWD, 20890, High Price, 40899, 
Used 2018 Lincoln, MKZ Reserve AWD, 16995, Fair Price, 81925, 
Used 2018 Lincoln, Navigator L Black Label 4WD, 36995, Excellent Price, 74350, 
Used 2018 Lincoln, MKC Reserve AWD, 13499, Great Price, 86524, 
Used 2018 Lincoln, MKC Select AWD, 19384, High Price, 33657, 
Used 2018 Lincoln, MKZ Reserve AWD, 15900, Excellent Price, 52976, 
Used 2018 Lincoln, MKZ Reserve AWD, 17990, Fair Price, 58349, 
Used 2018 Lincoln, Navigator L Reserve 4WD, 22995, High Price, 121836, 
Used 2018 Lincoln, MKC Select FWD, 15998, High Price, 53036, 
Used 2018 Lincoln, Navigator Black Label 4WD, 32495, Fair Price, 79029, 
Used 2018 Lincoln, Continental Premiere AWD, 9200, Excellent Price, 118087, 
Used 2018 Lincoln, MKC Premiere AWD, 16999, High Price, 89183, 
Used 2018 Lincoln, Continental Select AWD, 27995, High Price, 83568, 
