Year/Make, Model, Price, Rating, Mileage
Used 2018 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 34977, Excellent Price, 71013, 
Used 2018 Ford, Explorer XLT 4WD, 16753, Great Price, 93971, 
Used 2018 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 34977, Excellent Price, 71013, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 26559, Great Price, 68717, 
Used 2018 Ford, F-150 Raptor SuperCrew 5.5' Box 4WD, 40469, Fair Price, 79880, 
Used 2018 Ford, Focus SE Hatchback, 12495, Great Price, 29835, 
Used 2018 Ford, F-150 XLT SuperCab 6.5' Box 2WD, 15400, Great Price, 145969, 
Used 2018 Ford, Fusion Hybrid Titanium FWD, 13900, Excellent Price, 46599, 
Used 2018 Ford, Edge SEL AWD, 15990, Excellent Price, 61750, 
Used 2018 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 22777, Great Price, 90187, 
Used 2018 Ford, Escape Titanium 4WD, 16550, Great Price, 68952, 
Used 2018 Ford, Escape Titanium 4WD, 17500, High Price, 66585, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 20680, Excellent Price, 63113, 
Used 2018 Ford, Explorer Limited 4WD, 20475, Excellent Price, 77412, 
Used 2018 Ford, Explorer XLT 4WD, 19900, Great Price, 69601, 
Used 2018 Ford, Edge SEL AWD, 14500, Excellent Price, 64617, 
Used 2018 Ford, Explorer XLT 4WD, 20295, Excellent Price, 67083, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 20000, Fair Price, 124626, 
Used 2018 Ford, Expedition XLT 4WD, 23595, Fair Price, 84123, 
Used 2018 Ford, Edge Titanium AWD, 18095, Great Price, 83332, 
Used 2018 Ford, Escape S FWD, 13195, Great Price, 97270, 
Used 2018 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 34977, Excellent Price, 71013, 
Used 2018 Ford, Explorer XLT 4WD, 16753, Great Price, 93971, 
Used 2018 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 34977, Excellent Price, 71013, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 26559, Great Price, 68717, 
Used 2018 Ford, F-150 Raptor SuperCrew 5.5' Box 4WD, 40469, Fair Price, 79880, 
Used 2018 Ford, Focus SE Hatchback, 12495, Great Price, 29835, 
Used 2018 Ford, F-150 XLT SuperCab 6.5' Box 2WD, 15400, Great Price, 145969, 
Used 2018 Ford, Fusion Hybrid Titanium FWD, 13900, Excellent Price, 46599, 
Used 2018 Ford, Edge SEL AWD, 15990, Excellent Price, 61750, 
Used 2018 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 22777, Great Price, 90187, 
Used 2018 Ford, Escape Titanium 4WD, 16550, Great Price, 68952, 
Used 2018 Ford, Escape Titanium 4WD, 17500, High Price, 66585, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 20680, Excellent Price, 63113, 
Used 2018 Ford, Explorer Limited 4WD, 20475, Excellent Price, 77412, 
Used 2018 Ford, Explorer XLT 4WD, 19900, Great Price, 69601, 
Used 2018 Ford, Edge SEL AWD, 14500, Excellent Price, 64617, 
Used 2018 Ford, Explorer XLT 4WD, 20295, Excellent Price, 67083, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 20000, Fair Price, 124626, 
Used 2018 Ford, Expedition XLT 4WD, 23595, Fair Price, 84123, 
Used 2018 Ford, Edge Titanium AWD, 18095, Great Price, 83332, 
Used 2018 Ford, Escape S FWD, 13195, Great Price, 97270, 
Used 2018 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 34977, Excellent Price, 71013, 
Used 2018 Ford, F-150 Platinum SuperCrew 5.5' Box 4WD, 34977, Excellent Price, 71013, 
Used 2018 Ford, Explorer XLT 4WD, 16753, Great Price, 93971, 
Used 2018 Ford, Fusion Hybrid Titanium FWD, 13900, Excellent Price, 46599, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 26559, Great Price, 68717, 
Used 2018 Ford, F-150 XLT SuperCab 6.5' Box 2WD, 15400, Great Price, 145969, 
Used 2018 Ford, Edge SEL AWD, 15990, Excellent Price, 61750, 
Used 2018 Ford, F-150 XL SuperCrew 5.5' Box 4WD, 22777, Great Price, 90187, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 20680, Excellent Price, 63113, 
Used 2018 Ford, F-150 Raptor SuperCrew 5.5' Box 4WD, 40469, Fair Price, 79880, 
Used 2018 Ford, Explorer XLT 4WD, 20295, Excellent Price, 67083, 
Used 2018 Ford, Escape Titanium 4WD, 16550, Great Price, 68952, 
Used 2018 Ford, Edge SEL AWD, 14500, Excellent Price, 64617, 
Used 2018 Ford, Explorer XLT 4WD, 19900, Great Price, 69601, 
Used 2018 Ford, Focus SE Hatchback, 12495, Great Price, 29835, 
Used 2018 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 20000, Fair Price, 124626, 
Used 2018 Ford, Explorer Limited 4WD, 20475, Excellent Price, 77412, 
Used 2018 Ford, Edge Titanium AWD, 18095, Great Price, 83332, 
Used 2018 Ford, Escape Titanium 4WD, 17500, High Price, 66585, 
Used 2018 Ford, Escape S FWD, 13195, Great Price, 97270, 
Used 2018 Ford, Explorer XLT 4WD, 20695, Excellent Price, 89172, 
