Used 2020 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, $23,864, Excellent Price, 111,168 miles, 
Used 2020 Ford, Escape SEL AWD, $21,250, Great Price, 21,367 miles, 
Used 2020 Ford, EcoSport SE 4WD, $14,326, Excellent Price, 44,115 miles, 
Used 2020 Ford, Mustang GT Premium Fastback, $39,999, Fair Price, 17,802 miles, 
Used 2020 Ford, Escape SE AWD, $17,590, Excellent Price, 44,988 miles, 
Used 2020 Ford, Ranger XLT 4WD SuperCrew 5' Box, $27,999, Great Price, 53,776 miles, 
Used 2020 Ford, F-150 XL SuperCab 6.5' Box 4WD, $21,444, Excellent Price, 100,098 miles, 
Used 2020 Ford, Super Duty F-250 Platinum Crew Cab 6.75' Box 4WD, $58,999, Great Price, 73,759 miles, 
Used 2020 Ford, Edge SEL AWD, $17,944, Fair Price, 77,487 miles, 
Used 2020 Ford, Mustang GT Premium Convertible, $43,550, Fair Price, 3,836 miles, 
Used 2020 Ford, Mustang Shelby GT500 Fastback, $86,900, Fair Price, 20,000 miles, 
Used 2020 Ford, Explorer XLT 4WD, $21,991, Great Price, 76,888 miles, 
Used 2020 Ford, Super Duty F-250 Lariat Crew Cab 6.75' Box 4WD, $48,995, Fair Price, 71,662 miles, 
Used 2020 Ford, Ranger XLT 4WD SuperCrew 5' Box, $27,082, Excellent Price, 33,165 miles, 
Used 2020 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $26,999, High Price, 106,568 miles, 
Used 2020 Ford, F-150 Raptor SuperCrew 5.5' Box 4WD, $52,500, Fair Price, 64,175 miles, 
Used 2020 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, $34,997, Great Price, 65,351 miles, 
Used 2020 Ford, Expedition XLT 4WD, $34,800, Great Price, 53,412 miles, 
Used 2020 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, $23,864, Excellent Price, 111,168 miles, 
Used 2020 Ford, Escape Titanium AWD, $17,500, Excellent Price, 70,068 miles, 
Used 2020 Ford, F-150 XL Regular Cab 6.5' Box 2WD, $14,999, Great Price, 118,474 miles, 
Used 2020 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, $23,864, Excellent Price, 111,168 miles, 
Used 2020 Ford, EcoSport SE 4WD, $14,326, Excellent Price, 44,115 miles, 
Used 2020 Ford, Escape SE AWD, $17,590, Excellent Price, 44,988 miles, 
Used 2020 Ford, Escape SEL AWD, $21,250, Great Price, 21,367 miles, 
Used 2020 Ford, F-150 XL SuperCab 6.5' Box 4WD, $21,444, Excellent Price, 100,098 miles, 
Used 2020 Ford, Ranger XLT 4WD SuperCrew 5' Box, $27,999, Great Price, 53,776 miles, 
Used 2020 Ford, Mustang GT Premium Fastback, $39,999, Fair Price, 17,802 miles, 
Used 2020 Ford, Super Duty F-250 Platinum Crew Cab 6.75' Box 4WD, $58,999, Great Price, 73,759 miles, 
Used 2020 Ford, Edge SEL AWD, $17,944, Fair Price, 77,487 miles, 
Used 2020 Ford, Ranger XLT 4WD SuperCrew 5' Box, $27,082, Excellent Price, 33,165 miles, 
Used 2020 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, $23,864, Excellent Price, 111,168 miles, 
Used 2020 Ford, Explorer XLT 4WD, $21,991, Great Price, 76,888 miles, 
Used 2020 Ford, F-150 XL Regular Cab 6.5' Box 2WD, $14,999, Great Price, 118,474 miles, 
Used 2020 Ford, Escape Titanium AWD, $17,500, Excellent Price, 70,068 miles, 
Used 2020 Ford, Explorer Platinum 4WD, $29,999, Great Price, 42,542 miles, 
Used 2020 Ford, Super Duty F-250 Lariat Crew Cab 6.75' Box 4WD, $48,995, Fair Price, 71,662 miles, 
Used 2020 Ford, Escape SE FWD, $15,129, Great Price, 74,822 miles, 
Used 2020 Ford, Edge SEL AWD, $15,977, Excellent Price, 95,009 miles, 
Used 2020 Ford, Mustang GT Premium Convertible, $43,550, Fair Price, 3,836 miles, 
Used 2020 Ford, Explorer XLT 4WD, $21,787, Great Price, 67,350 miles, 
Used 2020 Ford, Mustang Shelby GT500 Fastback, $86,900, Fair Price, 20,000 miles, 
Used 2020 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, $23,864, Excellent Price, 111,168 miles, 
Used 2020 Ford, Escape SEL AWD, $21,250, Great Price, 21,367 miles, 
Used 2020 Ford, EcoSport SE 4WD, $14,326, Excellent Price, 44,115 miles, 
Used 2020 Ford, Mustang GT Premium Fastback, $39,999, Fair Price, 17,802 miles, 
Used 2020 Ford, Escape SE AWD, $17,590, Excellent Price, 44,988 miles, 
Used 2020 Ford, Ranger XLT 4WD SuperCrew 5' Box, $27,999, Great Price, 53,776 miles, 
Used 2020 Ford, F-150 XL SuperCab 6.5' Box 4WD, $21,444, Excellent Price, 100,098 miles, 
Used 2020 Ford, Super Duty F-250 Platinum Crew Cab 6.75' Box 4WD, $58,999, Great Price, 73,759 miles, 
Used 2020 Ford, Edge SEL AWD, $17,944, Fair Price, 77,487 miles, 
Used 2020 Ford, Mustang GT Premium Convertible, $43,550, Fair Price, 3,836 miles, 
Used 2020 Ford, Mustang Shelby GT500 Fastback, $86,900, Fair Price, 20,000 miles, 
Used 2020 Ford, Explorer XLT 4WD, $21,991, Great Price, 76,888 miles, 
Used 2020 Ford, Super Duty F-250 Lariat Crew Cab 6.75' Box 4WD, $48,995, Fair Price, 71,662 miles, 
Used 2020 Ford, Ranger XLT 4WD SuperCrew 5' Box, $27,082, Excellent Price, 33,165 miles, 
Used 2020 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, $26,999, High Price, 106,568 miles, 
Used 2020 Ford, F-150 Raptor SuperCrew 5.5' Box 4WD, $52,500, Fair Price, 64,175 miles, 
Used 2020 Ford, F-150 Lariat SuperCrew 5.5' Box 4WD, $34,997, Great Price, 65,351 miles, 
Used 2020 Ford, Expedition XLT 4WD, $34,800, Great Price, 53,412 miles, 
