Year/Make, Model, Price, Rating, Mileage
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, 17449, Excellent Price, 76079
Used 2020 Hyundai, Palisade Limited AWD, 25498, Excellent Price, 75941
Used 2020 Hyundai, Palisade SEL AWD, 17416, Excellent Price, 117031
Used 2020 Hyundai, Santa Fe SEL 2.4L FWD, 19095, Great Price, 85457
Used 2020 Hyundai, Tucson Value AWD, 17985, High Price, 55631
Used 2020 Hyundai, Tucson Value AWD, 19583, High Price, 34429
Used 2020 Hyundai, Elantra Value Edition IVT (SULEV), 18795, Fair Price, 40972
Used 2020 Hyundai, Tucson Value AWD, 13311, Great Price, 113804
Used 2020 Hyundai, Elantra SEL 2.0L IVT, 17000, Fair Price, 14294
Used 2020 Hyundai, Ioniq Electric Limited, 13999, Great Price, 25340
Used 2020 Hyundai, Tucson SE AWD, 16988, Fair Price, 67648
Used 2020 Hyundai, Elantra Value Edition IVT (SULEV), 16721, Fair Price, 25833
Used 2020 Hyundai, Palisade SE AWD, 20995, Fair Price, 90884
