Year/Make, Model, Price, Rating, Mileage
Used 2023 Kia, Sportage SX-Prestige FWD, 22899, Great Price, 62053, 
Used 2023 Kia, Soul LX IVT, 16000, Excellent Price, 30489, 
Used 2023 Kia, Forte GT-Line IVT, 19990, Excellent Price, 36992, 
Used 2023 Kia, Forte LXS IVT, 19226, Great Price, 7131, 
Used 2023 Kia, Sportage LX AWD, 21175, Great Price, 85556, 
Used 2023 Kia, Sportage X-Line AWD, 23990, Great Price, 79619, 
Used 2023 Kia, Rio S Sedan IVT, 16998, Great Price, 23086, 
Used 2023 Kia, Soul GT-Line IVT, 21288, Great Price, 30680, 
Used 2023 Kia, Sportage LX AWD, 21900, Great Price, 36459, 
Used 2023 Kia, Sorento SX AWD, 34174, Great Price, 28375, 
Used 2023 Kia, Forte GT-Line IVT, 21341, Great Price, 25066, 
Used 2023 Kia, Sportage LX AWD, 24418, Great Price, 38350, 
Used 2023 Kia, Sportage EX FWD, 23700, Great Price, 29576, 
Used 2023 Kia, Seltos EX AWD, 22700, Great Price, 21055, 
Used 2023 Kia, Sportage LX AWD, 21591, Great Price, 30396, 
Used 2023 Kia, Forte LXS IVT, 17300, Great Price, 43698, 
Used 2023 Kia, Sportage EX FWD, 25880, Fair Price, 27164, 
Used 2023 Kia, K5 GT-Line AWD, 26500, Great Price, 14364, 
Used 2023 Kia, Sportage EX AWD, 25700, Great Price, 24870, 
Used 2023 Kia, Sportage X-Line AWD, 27272, Fair Price, 34755, 
Used 2023 Kia, Sorento Hybrid EX AWD, 31987, Excellent Price, 4111, 
Used 2023 Kia, Sportage SX-Prestige FWD, 22899, Great Price, 62053, 
Used 2023 Kia, Soul LX IVT, 16000, Excellent Price, 30489, 
Used 2023 Kia, Forte GT-Line IVT, 19990, Excellent Price, 36992, 
Used 2023 Kia, Forte LXS IVT, 19226, Great Price, 7131, 
Used 2023 Kia, Sportage LX AWD, 21175, Great Price, 85556, 
Used 2023 Kia, Sportage X-Line AWD, 23990, Great Price, 79619, 
Used 2023 Kia, Rio S Sedan IVT, 16998, Great Price, 23086, 
Used 2023 Kia, Soul GT-Line IVT, 21288, Great Price, 30680, 
Used 2023 Kia, Sportage LX AWD, 21900, Great Price, 36459, 
Used 2023 Kia, Sorento SX AWD, 34174, Great Price, 28375, 
Used 2023 Kia, Forte GT-Line IVT, 21341, Great Price, 25066, 
