Used 2023 Mazda, CX-5 2.5 S Preferred, $27,989, Fair Price, 12,778 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $28,998, Great Price, 13,414 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $24,376, Fair Price, 30,474 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $27,935, Great Price, 24,000 miles, 
Used 2023 Mazda, CX-30 Preferred, $23,777, Great Price, 21,161 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $29,990, Great Price, 42,690 miles, 
Used 2023 Mazda, CX-30 Select, $22,785, Fair Price, 34,323 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,989, Fair Price, 12,778 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $28,999, Fair Price, 17,736 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $30,000, Great Price, 26,348 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium Plus, $28,990, Great Price, 20,991 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $31,000, Great Price, 29,065 miles, 
Used 2023 Mazda, CX-30 Preferred, $24,586, Great Price, 13,463 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $30,669, Fair Price, 23,537 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $29,490, Fair Price, 9,290 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $28,550, Fair Price, 13,376 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium Plus, $30,000, Fair Price, 15,752 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $26,990, Fair Price, 12,188 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $28,337, Fair Price, 13,698 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $23,900, Fair Price, 34,335 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $32,752, High Price, 32,996 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,989, Fair Price, 12,778 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $24,376, Fair Price, 30,474 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $27,935, Great Price, 24,000 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium, $28,998, Great Price, 13,414 miles, 
Used 2023 Mazda, CX-30 Preferred, $23,777, Great Price, 21,161 miles, 
Used 2023 Mazda, CX-30 Select, $22,785, Fair Price, 34,323 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,989, Fair Price, 12,778 miles, 
Used 2023 Mazda, CX-9 Touring Plus, $29,990, Great Price, 42,690 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $28,999, Fair Price, 17,736 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $30,669, Fair Price, 23,537 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium Plus, $28,990, Great Price, 20,991 miles, 
Used 2023 Mazda, CX-5 2.5 S Carbon Edition, $29,490, Fair Price, 9,290 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $28,550, Fair Price, 13,376 miles, 
Used 2023 Mazda, CX-50 Turbo Meridian Edition, $32,752, High Price, 32,996 miles, 
Used 2023 Mazda, CX-50 Premium Plus, $30,000, Great Price, 26,348 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $26,990, Fair Price, 12,188 miles, 
Used 2023 Mazda, CX-9 Carbon Edition, $31,000, Great Price, 29,065 miles, 
Used 2023 Mazda, CX-30 Preferred, $24,586, Great Price, 13,463 miles, 
Used 2023 Mazda, CX-5 2.5 S Preferred, $27,500, High Price, 24,292 miles, 
Used 2023 Mazda, CX-5 2.5 S Premium Plus, $30,000, Fair Price, 15,752 miles, 
Used 2023 Mazda, CX-5 2.5 S Select, $23,900, Fair Price, 34,335 miles, 
