Used 2024 Mazda, CX-50 Turbo Premium, $36,992, Fair Price, 6,054 miles, 
Used 2024 Mazda, CX-90 Plug-In Hybrid Premium Plus, $35,999, Excellent Price, 42,516 miles, 
Used 2024 Mazda, CX-50 Premium, $28,759, Excellent Price, 25,769 miles, 
Used 2024 Mazda, CX-50 Premium, $27,998, Excellent Price, 27,257 miles, 
Used 2024 Mazda, CX-5 2.5 S Carbon Edition, $28,645, Great Price, 8,932 miles, 
Used 2024 Mazda, CX-5 2.5 Turbo Signature, $32,459, Excellent Price, 15,511 miles, 
Used 2024 Mazda, CX-50 Turbo Premium Plus, $36,652, Great Price, 7,050 miles, 
Used 2024 Mazda, CX-50 Preferred, $24,998, Great Price, 40,711 miles, 
Used 2024 Mazda, CX-90 Plug-In Hybrid Premium, $41,998, Great Price, 6,033 miles, 
Used 2024 Mazda, CX-90 Premium, $34,998, Great Price, 38,854 miles, 
Used 2024 Mazda, CX-90 Plug-In Hybrid Premium Plus, $41,000, Excellent Price, 11,071 miles, 
Used 2024 Mazda, CX-5 2.5 S Select, $23,991, Great Price, 20,155 miles, 
Used 2024 Mazda, CX-90 S Premium Plus, $46,500, Great Price, 5,438 miles, 
Used 2024 Mazda, CX-5 2.5 S Premium, $30,547, Great Price, 6,266 miles, 
Used 2024 Mazda, CX-50 Turbo Premium, $36,992, Fair Price, 6,054 miles, 
Used 2024 Mazda, CX-90 Preferred, $35,017, Fair Price, 16,910 miles, 
Used 2024 Mazda, CX-5 2.5 Turbo Premium, $35,477, Fair Price, 3,722 miles, 
Used 2024 Mazda, CX-90 Premium, $34,998, Fair Price, 32,558 miles, 
Used 2024 Mazda, CX-50 Select, $29,184, High Price, 2,814 miles, 
Used 2024 Mazda, CX-90 Preferred, $33,056, Fair Price, 31,202 miles, 
Used 2024 Mazda, CX-30 Preferred, $26,874, Fair Price, 6,690 miles, 
Used 2024 Mazda, CX-50 Turbo Premium, $36,992, Fair Price, 6,054 miles, 
Used 2024 Mazda, CX-90 Plug-In Hybrid Premium Plus, $35,999, Excellent Price, 42,516 miles, 
Used 2024 Mazda, CX-50 Premium, $28,759, Excellent Price, 25,769 miles, 
Used 2024 Mazda, CX-50 Premium, $27,998, Excellent Price, 27,257 miles, 
Used 2024 Mazda, CX-5 2.5 S Carbon Edition, $28,645, Great Price, 8,932 miles, 
Used 2024 Mazda, CX-5 2.5 Turbo Signature, $32,459, Excellent Price, 15,511 miles, 
Used 2024 Mazda, CX-50 Turbo Premium Plus, $36,652, Great Price, 7,050 miles, 
Used 2024 Mazda, CX-50 Preferred, $24,998, Great Price, 40,711 miles, 
Used 2024 Mazda, CX-90 Plug-In Hybrid Premium, $41,998, Great Price, 6,033 miles, 
Used 2024 Mazda, CX-90 Premium, $34,998, Great Price, 38,854 miles, 
Used 2024 Mazda, CX-90 Plug-In Hybrid Premium Plus, $41,000, Excellent Price, 11,071 miles, 
Used 2024 Mazda, CX-5 2.5 S Select, $23,991, Great Price, 20,155 miles, 
Used 2024 Mazda, CX-90 S Premium Plus, $46,500, Great Price, 5,438 miles, 
Used 2024 Mazda, CX-5 2.5 S Premium, $30,547, Great Price, 6,266 miles, 
Used 2024 Mazda, CX-50 Turbo Premium, $36,992, Fair Price, 6,054 miles, 
Used 2024 Mazda, CX-90 Preferred, $35,017, Fair Price, 16,910 miles, 
Used 2024 Mazda, CX-5 2.5 Turbo Premium, $35,477, Fair Price, 3,722 miles, 
Used 2024 Mazda, CX-90 Premium, $34,998, Fair Price, 32,558 miles, 
Used 2024 Mazda, CX-50 Select, $29,184, High Price, 2,814 miles, 
Used 2024 Mazda, CX-90 Preferred, $33,056, Fair Price, 31,202 miles, 
