Year/Make, Model, Price, Rating, Mileage
Used 2020 Mercedes-Benz, GLS 580 4MATIC, 44749, Excellent Price, 64603, 
Used 2020 Mercedes-Benz, AMG C 43 Sedan 4MATIC, 39999, Fair Price, 33347, 
Used 2020 Mercedes-Benz, CLA 250 4MATIC, 25354, Fair Price, 51019, 
Used 2020 Mercedes-Benz, AMG C 43 Sedan 4MATIC, 29444, Excellent Price, 72301, 
Used 2020 Mercedes-Benz, GLS 580 4MATIC, 44749, Excellent Price, 64603, 
Used 2020 Mercedes-Benz, GLC 300 SUV RWD, 26998, Fair Price, 47271, 
Used 2020 Mercedes-Benz, AMG G 63 4MATIC, 141995, Great Price, 21039, 
Used 2020 Mercedes-Benz, GLA 250 4MATIC, 20441, Great Price, 63726, 
Used 2020 Mercedes-Benz, GLS 450 4MATIC, 44579, Fair Price, 46062, 
Used 2020 Mercedes-Benz, CLA 250 4MATIC, 21590, Fair Price, 61177, 
Used 2020 Mercedes-Benz, GLE 450 4MATIC, 38899, Fair Price, 46197, 
Used 2020 Mercedes-Benz, GLC 300 SUV 4MATIC, 28555, High Price, 47749, 
Used 2020 Mercedes-Benz, AMG GT 53 4-Door Coupe, 63998, Great Price, 22266, 
Used 2020 Mercedes-Benz, AMG S 63 Sedan 4MATIC+, 74399, High Price, 41075, 
