Used 2022 Nissan, Rogue SL AWD, $26,109, Great Price, 36,192 miles, 
Used 2022 Nissan, Pathfinder SL 4WD, $31,840, Great Price, 31,220 miles, 
Used 2022 Nissan, Frontier SV Crew Cab Short Bed 4WD, $28,753, Great Price, 49,790 miles, 
Used 2022 Nissan, Altima 2.5 SV FWD, $17,977, Excellent Price, 64,979 miles, 
Used 2022 Nissan, Sentra SV CVT, $19,998, Fair Price, 33,478 miles, 
Used 2022 Nissan, Murano AWD SV, $22,899, Great Price, 32,101 miles, 
Used 2022 Nissan, Pathfinder SL 4WD, $25,731, Great Price, 71,670 miles, 
Used 2022 Nissan, Rogue SV AWD, $21,555, Great Price, 57,202 miles, 
Used 2022 Nissan, Rogue Platinum AWD, $25,649, Excellent Price, 22,283 miles, 
Used 2022 Nissan, Frontier SV Crew Cab Short Bed 4WD, $31,501, Great Price, 20,508 miles, 
Used 2022 Nissan, Frontier PRO-4X Crew Cab 4WD, $36,988, High Price, 43,223 miles, 
Used 2022 Nissan, Altima 2.5 SR AWD, $21,120, Fair Price, 51,998 miles, 
Used 2022 Nissan, Rogue Platinum AWD, $27,599, Fair Price, 30,605 miles, 
Used 2022 Nissan, Altima 2.5 SV FWD, $17,993, Fair Price, 33,483 miles, 
Used 2022 Nissan, Rogue Sport SL FWD, $18,991, Great Price, 29,123 miles, 
Used 2022 Nissan, Altima 2.5 Platinum AWD, $23,399, Great Price, 34,046 miles, 
Used 2022 Nissan, Pathfinder SV 4WD, $25,999, High Price, 52,841 miles, 
Used 2022 Nissan, Rogue Sport SL AWD, $21,495, Excellent Price, 40,954 miles, 
Used 2022 Nissan, Altima 2.5 SR FWD, $20,495, Great Price, 66,265 miles, 
Used 2022 Nissan, Rogue SV AWD, $20,999, Great Price, 26,201 miles, 
Used 2022 Nissan, Rogue SL AWD, $26,109, Great Price, 36,192 miles, 
Used 2022 Nissan, Pathfinder SL 4WD, $31,840, Great Price, 31,220 miles, 
Used 2022 Nissan, Frontier SV Crew Cab Short Bed 4WD, $28,753, Great Price, 49,790 miles, 
Used 2022 Nissan, Altima 2.5 SV FWD, $17,977, Excellent Price, 64,979 miles, 
Used 2022 Nissan, Sentra SV CVT, $19,998, Fair Price, 33,478 miles, 
Used 2022 Nissan, Murano AWD SV, $22,899, Great Price, 32,101 miles, 
Used 2022 Nissan, Pathfinder SL 4WD, $25,731, Great Price, 71,670 miles, 
Used 2022 Nissan, Rogue SV AWD, $21,555, Great Price, 57,202 miles, 
Used 2022 Nissan, Rogue Platinum AWD, $25,649, Excellent Price, 22,283 miles, 
Used 2022 Nissan, Frontier SV Crew Cab Short Bed 4WD, $31,501, Great Price, 20,508 miles, 
Used 2022 Nissan, Frontier PRO-4X Crew Cab 4WD, $36,988, High Price, 43,223 miles, 
Used 2022 Nissan, Altima 2.5 SR AWD, $21,120, Fair Price, 51,998 miles, 
Used 2022 Nissan, Rogue Platinum AWD, $27,599, Fair Price, 30,605 miles, 
Used 2022 Nissan, Altima 2.5 SV FWD, $17,993, Fair Price, 33,483 miles, 
Used 2022 Nissan, Rogue Sport SL FWD, $18,991, Great Price, 29,123 miles, 
Used 2022 Nissan, Altima 2.5 Platinum AWD, $23,399, Great Price, 34,046 miles, 
Used 2022 Nissan, Pathfinder SV 4WD, $25,999, High Price, 52,841 miles, 
Used 2022 Nissan, Rogue Sport SL AWD, $21,495, Excellent Price, 40,954 miles, 
Used 2022 Nissan, Altima 2.5 SR FWD, $20,495, Great Price, 66,265 miles, 
Used 2022 Nissan, Rogue SV AWD, $20,999, Great Price, 26,201 miles, 
