Year/Make, Model, Price, Rating, Mileage
Used 2022 Jeep, Grand Cherokee WK Limited 4WD, 26803, Excellent Price, 39783, 
Used 2013 BMW, M6 Coupe, 30900, Excellent Price, 64000, 
Used 2009 Audi, A6 Prestige Sedan 3.0L quattro, 10995, Excellent Price, 64745, 
Used 2009 Aston Martin, DB9 Volante Auto, 52900, Excellent Price, 17590, 
Used 2020 Hyundai, Santa Fe SEL 2.4L AWD, 17449, Excellent Price, 76079, 
Used 2019 Jeep, Wrangler Rubicon, 27779, Excellent Price, 49300, 
Used 2023 Ford, Bronco Wildtrak 4 Door Advanced 4x4, 42995, Excellent Price, 28684, 
Used 2015 BMW, 328i xDrive Sedan, 14995, Excellent Price, 75785, 
Used 2010 Bentley, Continental Supersports Coupe, 98911, Excellent Price, 4415, 
Used 2021 Ford, F-150 XLT SuperCrew 5.5' Box 4WD, 31900, Excellent Price, 63977, 
Used 2012 Acura, TL SH-AWD Automatic with Technology Package, 9249, Excellent Price, 125817, 
Used 2022 Ford, F-150 LARIAT SuperCrew 5.5' Box 4WD, 35153, Excellent Price, 93349, 
Used 2022 Ram, 1500 Big Horn Crew Cab 6'4" Box 4WD, 37224, Excellent Price, 20783, 
Used 2018 BMW, M5 Sedan, 53500, Excellent Price, 70804, 
Used 2022 Kia, Sorento Hybrid EX AWD, 28891, Excellent Price, 29106, 
Used 2016 Acura, MDX SH-AWD with Advance Package, 12244, Excellent Price, 142530, 
Used 2019 Maserati, Quattroporte S Q4 GranSport 3.0L, 33500, Excellent Price, 50679, 
Used 2019 Land Rover, Range Rover HSE V6 Supercharged SWB, 38900, Excellent Price, 45981, 
Used 2014 Bentley, Flying Spur W12 Sedan, 52900, Excellent Price, 42900, 
Used 2019 Jeep, Cherokee Latitude Plus 4WD, 14485, Excellent Price, 82667, 
