Year/Make, Model, Price, Rating, Mileage
Used 2018 Acura, MDX SH-AWD with Advance Package, 20991, Excellent Price, 107411, 
Used 2018 Acura, TLX 2.4L FWD with Technology Package, 18300, Great Price, 81236, 
Used 2018 Acura, RLX Sport Hybrid SH-AWD with Advance Package, 31199, Excellent Price, 30455, 
Used 2018 Acura, MDX SH-AWD with Technology Package, 22166, Great Price, 79699, 
Used 2018 Acura, TLX 2.4L FWD with Technology Package, 17423, Great Price, 80698, 
Used 2018 Acura, MDX SH-AWD with Technology Package, 24998, Great Price, 82034, 
Used 2018 Acura, ILX with AcuraWatch Plus, 18990, Great Price, 38389, 
Used 2018 Acura, RDX SH-AWD with Technology Package, 15995, Fair Price, 105516, 
Used 2018 Acura, MDX FWD, 21980, High Price, 94214, 
Used 2018 Acura, TLX 2.4L FWD, 17430, High Price, 86224, 
Used 2018 Acura, RDX SH-AWD with AcuraWatch Plus/Technology Package, 15699, Fair Price, 117245, 
Used 2018 Acura, RDX SH-AWD, 17897, High Price, 91536, 
Used 2018 Acura, MDX FWD with Technology Package, 19775, Excellent Price, 99694, 
Used 2018 Acura, ILX with Premium Package, 15920, Excellent Price, 65322, 
