Used 2022 Buick, Enclave Essence FWD, $25,775, Excellent Price, 56,012 miles, 
Used 2022 Buick, Encore GX Select FWD, $18,970, Great Price, 37,870 miles, 
Used 2022 Buick, Envision Avenir AWD, $30,998, Great Price, 21,367 miles, 
Used 2022 Buick, Encore GX Essence FWD, $22,300, Great Price, 555 miles, 
Used 2022 Buick, Encore GX Preferred FWD, $19,547, Great Price, 8,584 miles, 
Used 2022 Buick, Encore GX Select FWD, $21,580, Fair Price, 14,407 miles, 
Used 2022 Buick, Envision Preferred FWD, $21,475, Excellent Price, 46,008 miles, 
Used 2022 Buick, Enclave Premium FWD, $32,988, Great Price, 29,166 miles, 
Used 2022 Buick, Enclave Essence AWD, $29,988, Great Price, 30,032 miles, 
Used 2022 Buick, Encore GX Preferred FWD, $18,695, Great Price, 36,156 miles, 
Used 2022 Buick, Enclave Premium FWD, $32,088, Great Price, 31,749 miles, 
Used 2022 Buick, Envision Avenir FWD, $30,952, Fair Price, 30,279 miles, 
Used 2022 Buick, Envision Preferred FWD, $24,488, High Price, 41,936 miles, 
Used 2022 Buick, Enclave Essence FWD, $29,495, Great Price, 53,204 miles, 
Used 2022 Buick, Encore GX Essence FWD, $20,633, Fair Price, 56,525 miles, 
Used 2022 Buick, Enclave Avenir AWD, $40,998, High Price, 45,576 miles, 
Used 2022 Buick, Envision Essence FWD, $26,000, Fair Price, 42,634 miles, 
Used 2022 Buick, Enclave Essence AWD, $34,498, High Price, 35,484 miles, 
Used 2022 Buick, Encore GX Preferred FWD, $19,920, Great Price, 17,592 miles, 
Used 2022 Buick, Enclave Avenir AWD, $35,757, Fair Price, 62,475 miles, 
Used 2022 Buick, Encore GX Select FWD, $17,999, Great Price, 55,275 miles, 
Used 2022 Buick, Enclave Essence FWD, $28,495, High Price, 47,054 miles, 
Used 2022 Buick, Encore GX Select FWD, $19,700, Fair Price, 37,047 miles, 
Used 2022 Buick, Envision Preferred FWD, $23,299, High Price, 54,356 miles, 
Used 2022 Buick, Envision Essence AWD, $29,395, Fair Price, 30,420 miles, 
