Year/Make, Model, Price, Rating, Mileage
Used 2018 Cadillac, XT5 Luxury AWD, 14998, Excellent Price, 104993, 
Used 2018 Cadillac, XT5 FWD Luxury, 19998, Excellent Price, 76003, 
Used 2018 Cadillac, XT5 Premium Luxury FWD, 17792, Fair Price, 92492, 
Used 2018 Cadillac, XT5 FWD Luxury, 21300, Fair Price, 53820, 
Used 2018 Cadillac, ATS Sedan 2.0T RWD, 16388, Fair Price, 67869, 
Used 2018 Cadillac, XT5 Premium Luxury FWD, 17750, Great Price, 88158, 
Used 2018 Cadillac, XT5 Platinum AWD, 24470, Excellent Price, 57767, 
Used 2018 Cadillac, CTS Luxury 2.0T AWD, 16499, Fair Price, 86768, 
Used 2018 Cadillac, Escalade Premium Luxury 4WD, 35498, Fair Price, 59031, 
Used 2018 Cadillac, XT5 Premium Luxury FWD, 17690, High Price, 95813, 
Used 2018 Cadillac, Escalade ESV Platinum 4WD, 33900, Fair Price, 92616, 
Used 2018 Cadillac, XT5 Luxury AWD, 17395, Excellent Price, 89601, 
Used 2018 Cadillac, XT5 FWD Luxury, 15889, Great Price, 100948, 
Used 2018 Cadillac, CTS Luxury 2.0T RWD, 17349, High Price, 69401, 
Used 2018 Cadillac, Escalade ESV Luxury 2WD, 26999, Fair Price, 102200, 
Used 2018 Cadillac, ATS Sedan 2.0T RWD, 17500, High Price, 49023, 
Used 2018 Cadillac, XT5 Platinum AWD, 19500, Excellent Price, 90072, 
Used 2018 Cadillac, XT5 Luxury AWD, 21999, Fair Price, 60507, 
Used 2018 Cadillac, Escalade Platinum 2WD, 29999, High Price, 130056, 
Used 2018 Cadillac, Escalade ESV Premium Luxury 4WD, 32400, Fair Price, 76173, 
