Year/Make, Model, Price, Rating, Mileage
Used 2022 Chrysler, Pacifica Touring L FWD, 21100, Excellent Price, 64029, 
Used 2022 Chrysler, Pacifica Limited FWD, 32998, Great Price, 39617, 
Used 2022 Chrysler, Pacifica Limited FWD, 32998, Fair Price, 42560, 
Used 2022 Chrysler, 300 Touring RWD, 23998, Fair Price, 43175, 
Used 2022 Chrysler, Pacifica Touring L FWD, 20700, Great Price, 60996, 
Used 2022 Chrysler, Pacifica Touring L FWD, 22500, Fair Price, 68831, 
Used 2022 Chrysler, 300 S RWD, 25997, Great Price, 52857, 
Used 2022 Chrysler, Pacifica Hybrid Touring L FWD, 31998, Fair Price, 39141, 
Used 2022 Chrysler, Pacifica Limited AWD, 34810, High Price, 24435, 
Used 2022 Chrysler, Pacifica Hybrid Touring L FWD, 22200, Fair Price, 78185, 
Used 2022 Chrysler, Voyager LX FWD, 17385, High Price, 100225, 
Used 2022 Chrysler, Pacifica Touring L FWD, 27998, High Price, 56862, 
