Year/Make, Model, Price, Rating, Mileage
Used 2019 INFINITI, Q50 3.0t SPORT AWD, 23998, Excellent Price, 73621, 
Used 2019 INFINITI, QX60 2019.5 PURE AWD, 14701, Great Price, 98998, 
Used 2019 INFINITI, QX50 LUXE AWD, 25998, Fair Price, 24640, 
Used 2019 INFINITI, QX60 LUXE AWD, 19900, Great Price, 74677, 
Used 2019 INFINITI, QX50 ESSENTIAL AWD, 23859, Excellent Price, 33215, 
Used 2019 INFINITI, QX50 ESSENTIAL AWD, 16488, Fair Price, 102425, 
Used 2019 INFINITI, QX60 2019.5 PURE AWD, 22484, Fair Price, 52853, 
Used 2019 INFINITI, QX80 LUXE AWD, 21995, High Price, 124251, 
Used 2019 INFINITI, QX60 PURE AWD, 19420, Excellent Price, 53929, 
Used 2019 INFINITI, QX50 ESSENTIAL AWD, 19985, Excellent Price, 72624, 
Used 2019 INFINITI, Q50 3.0t LUXE RWD, 18950, Fair Price, 72998, 
Used 2019 INFINITI, QX50 LUXE AWD, 19417, High Price, 57319, 
Used 2019 INFINITI, QX80 LUXE AWD, 24922, Fair Price, 89829, 
Used 2019 INFINITI, Q70L 3.7x LUXE AWD, 25420, High Price, 56526, 
Used 2019 INFINITI, QX60 2019.5 LUXE AWD, 17999, High Price, 96161, 
Used 2019 INFINITI, QX80 LUXE AWD, 21499, High Price, 127260, 
Used 2019 INFINITI, QX80 LUXE AWD, 24655, High Price, 98203, 
Used 2019 INFINITI, QX80 LUXE AWD, 23325, High Price, 93379, 
Used 2019 INFINITI, QX80 LUXE RWD, 28941, Great Price, 70620, 
Used 2019 INFINITI, QX80 LUXE RWD, 25744, High Price, 93921, 
Used 2019 INFINITI, QX80 LUXE AWD, 30819, Great Price, 55599, 
Used 2019 INFINITI, QX80 LUXE RWD, 25755, Fair Price, 86973, 
Used 2019 INFINITI, QX30 PURE FWD, 15990, High Price, 83151, 
